dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,0.001641,0.999999,0.001000
6.561667,6.561662,0.006564,0.999998,0.002001
9.842500,9.842485,0.014774,0.999995,0.003004
13.123333,13.123298,0.026279,0.999992,0.004010
16.404167,16.404098,0.041090,0.999987,0.005019
19.685000,19.684881,0.059220,0.999982,0.006034
22.965833,22.965644,0.080686,0.999975,0.007053
26.246667,26.246383,0.105509,0.999967,0.008080
29.527500,29.527095,0.133710,0.999958,0.009113
32.808333,32.807776,0.165316,0.999948,0.010155
36.089167,36.088422,0.200356,0.999937,0.011207
39.370000,39.369029,0.238863,0.999925,0.012268
42.650833,42.649594,0.280870,0.999911,0.013341
45.931667,45.930111,0.326418,0.999896,0.014426
49.212500,49.210576,0.375545,0.999879,0.015524
52.493333,52.490985,0.428299,0.999862,0.016636
55.774167,55.771333,0.484724,0.999842,0.017763
59.055000,59.051615,0.544873,0.999821,0.018906
62.335833,62.331825,0.608798,0.999799,0.020066
65.616667,65.611958,0.676556,0.999774,0.021243
68.897500,68.892009,0.748207,0.999748,0.022439
72.178333,72.171971,0.823813,0.999720,0.023654
75.459167,75.451837,0.903440,0.999690,0.024890
78.740000,78.731602,0.987157,0.999658,0.026147
82.020833,82.011258,1.075035,0.999624,0.027427
85.301667,85.290798,1.167150,0.999587,0.028730
88.582500,88.570214,1.263579,0.999548,0.030057
91.863333,91.849497,1.364403,0.999507,0.031410
95.144167,95.128640,1.469706,0.999462,0.032788
98.425000,98.407633,1.579576,0.999415,0.034193
101.705833,101.686466,1.694102,0.999365,0.035627
104.986667,104.965130,1.813378,0.999312,0.037089
108.267500,108.243615,1.937499,0.999255,0.038581
111.548333,111.521908,2.066564,0.999196,0.040103
114.829167,114.799999,2.200677,0.999132,0.041657
118.110000,118.077875,2.339942,0.999065,0.043244
121.390833,121.355523,2.484467,0.998993,0.044864
124.671667,124.632929,2.634364,0.998917,0.046519
127.952500,127.910081,2.789747,0.998837,0.048209
131.233333,131.186962,2.950733,0.998752,0.049935
134.514167,134.463556,3.117443,0.998663,0.051698
137.795000,137.739849,3.290000,0.998568,0.053499
141.075833,141.015820,3.468530,0.998468,0.055339
144.356667,144.291454,3.653163,0.998362,0.057220
147.637500,147.566730,3.844030,0.998250,0.059140
150.918333,150.841628,4.041268,0.998131,0.061103
154.199167,154.116129,4.245015,0.998007,0.063108
157.480000,157.390208,4.455411,0.997875,0.065157
160.760833,160.663844,4.672602,0.997736,0.067250
164.041667,163.937012,4.896734,0.997594,0.069320
167.322500,167.209702,5.127731,0.997440,0.071504
170.603333,170.481874,5.365970,0.997278,0.073734
173.884167,173.753499,5.611597,0.997107,0.076008
177.165000,177.024550,5.864755,0.996928,0.078325
180.445833,180.294998,6.125586,0.996740,0.080685
183.726667,183.564813,6.394227,0.996542,0.083086
187.007500,186.833967,6.670812,0.996336,0.085527
190.288333,190.102426,6.955472,0.996120,0.088008
193.569167,193.370161,7.248336,0.995894,0.090528
196.850000,196.637139,7.549527,0.995658,0.093085
200.130833,199.903327,7.859168,0.995412,0.095678
203.411667,203.168692,8.177376,0.995156,0.098308
206.692500,206.433198,8.504267,0.994889,0.100971
209.973333,209.696812,8.839952,0.994612,0.103669
213.254167,212.959498,9.184541,0.994324,0.106399
216.535000,216.221220,9.538139,0.994024,0.109160
219.815833,219.481941,9.900848,0.993714,0.111953
223.096667,222.741624,10.272767,0.993392,0.114775
226.377500,226.000233,10.653992,0.993058,0.117625
229.658333,229.257728,11.044617,0.992713,0.120504
232.939167,232.514071,11.444729,0.992356,0.123409
236.220000,235.769223,11.854416,0.991987,0.126340
239.500833,239.023145,12.273760,0.991606,0.129296
242.781667,242.275798,12.702842,0.991213,0.132276
246.062500,245.527141,13.141737,0.990808,0.135279
249.343333,248.777133,13.590520,0.990390,0.138303
252.624167,252.025735,14.049260,0.989960,0.141349
255.905000,255.272906,14.518024,0.989517,0.144414
259.185833,258.518605,14.996876,0.989062,0.147498
262.466667,261.762790,15.485877,0.988595,0.150600
265.747500,265.005420,15.985083,0.988115,0.153719
269.028333,268.246454,16.494549,0.987622,0.156854
272.309167,271.485851,17.014326,0.987116,0.160004
275.590000,274.723569,17.544460,0.986598,0.163169
278.870833,277.959566,18.084998,0.986067,0.166346
282.151667,281.193801,18.635979,0.985524,0.169535
285.432500,284.426233,19.197442,0.984968,0.172735
288.713333,287.656821,19.769421,0.984400,0.175946
291.994167,290.885523,20.351949,0.983819,0.179165
295.275000,294.112299,20.945053,0.983226,0.182393
298.555833,297.337109,21.548759,0.982620,0.185628
301.836667,300.559911,22.163089,0.982002,0.188869
305.117500,303.780667,22.788062,0.981372,0.192116
308.398333,306.999336,23.423694,0.980730,0.195367
311.679167,310.215879,24.069996,0.980076,0.198621
314.960000,313.430258,24.726979,0.979411,0.201877
318.240833,316.642434,25.394649,0.978734,0.205135
321.521667,319.852369,26.073008,0.978045,0.208394
324.802500,323.060027,26.762057,0.977345,0.211651
328.083333,326.265370,27.461793,0.976634,0.214908
