dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006666,0.999978,0.006665
3.000000,2.999950,0.014997,0.999950,0.009996
4.000000,3.999882,0.026656,0.999911,0.013323
5.000000,4.999769,0.041641,0.999861,0.016646
6.000000,5.999601,0.059948,0.999801,0.019965
7.000000,6.999367,0.081570,0.999729,0.023278
8.000000,7.999055,0.106501,0.999647,0.026584
9.000000,8.998656,0.134735,0.999553,0.029882
10.000000,9.998159,0.166262,0.999450,0.033172
11.000000,10.997552,0.201075,0.999335,0.036452
12.000000,11.996826,0.239162,0.999211,0.039721
13.000000,12.995970,0.280513,0.999076,0.042978
14.000000,13.994975,0.325115,0.998931,0.046223
15.000000,14.993829,0.372955,0.998776,0.049455
16.000000,15.992524,0.424019,0.998612,0.052672
17.000000,16.991050,0.478293,0.998438,0.055873
18.000000,17.989397,0.535760,0.998255,0.059058
19.000000,18.987556,0.596404,0.998062,0.062226
20.000000,19.985518,0.660207,0.997861,0.065376
21.000000,20.983274,0.727149,0.997651,0.068506
22.000000,21.980817,0.797211,0.997432,0.071616
23.000000,22.978136,0.870373,0.997206,0.074704
24.000000,23.975225,0.946613,0.996971,0.077771
25.000000,24.972076,1.025907,0.996729,0.080815
26.000000,25.968681,1.108234,0.996480,0.083834
27.000000,26.965033,1.193567,0.996223,0.086829
28.000000,27.961125,1.281883,0.995960,0.089797
29.000000,28.956951,1.373153,0.995690,0.092739
30.000000,29.952504,1.467352,0.995415,0.095654
31.000000,30.947779,1.564451,0.995133,0.098539
32.000000,31.942769,1.664420,0.994846,0.101395
33.000000,32.937469,1.767230,0.994554,0.104220
34.000000,33.931876,1.872850,0.994258,0.107014
35.000000,34.925983,1.981248,0.993956,0.109776
36.000000,35.919787,2.092390,0.993651,0.112504
37.000000,36.913284,2.206244,0.993343,0.115198
38.000000,37.906471,2.322774,0.993031,0.117856
39.000000,38.899345,2.441945,0.992716,0.120479
40.000000,39.891902,2.563720,0.992399,0.123065
41.000000,40.884141,2.688062,0.992079,0.125613
42.000000,41.876060,2.814933,0.991758,0.128122
43.000000,42.867658,2.944293,0.991436,0.130592
44.000000,43.858932,3.076102,0.991113,0.133020
45.000000,44.849884,3.210320,0.990790,0.135408
46.000000,45.840512,3.346904,0.990467,0.137753
47.000000,46.830818,3.485811,0.990144,0.140054
48.000000,47.820800,3.626998,0.989822,0.142312
49.000000,48.810462,3.770420,0.989501,0.144524
50.000000,49.799803,3.916031,0.989182,0.146691
51.000000,50.788891,4.063356,0.988930,0.148381
52.000000,51.777665,4.212778,0.988617,0.150455
53.000000,52.766126,4.364252,0.988306,0.152485
54.000000,53.754277,4.517733,0.987998,0.154470
55.000000,54.742122,4.673177,0.987692,0.156412
56.000000,55.729662,4.830543,0.987389,0.158312
57.000000,56.716901,4.989788,0.987089,0.160171
58.000000,57.703841,5.150872,0.986792,0.161990
59.000000,58.690487,5.313755,0.986499,0.163770
60.000000,59.676840,5.478399,0.986208,0.165511
61.000000,60.662904,5.644765,0.985920,0.167215
62.000000,61.648682,5.812818,0.985636,0.168883
63.000000,62.634177,5.982520,0.985355,0.170515
64.000000,63.619393,6.153837,0.985077,0.172113
65.000000,64.604332,6.326735,0.984803,0.173677
66.000000,65.588999,6.501180,0.984531,0.175209
67.000000,66.573396,6.677142,0.984263,0.176709
68.000000,67.557526,6.854588,0.983998,0.178178
69.000000,68.541393,7.033488,0.983736,0.179618
70.000000,69.525000,7.213814,0.983478,0.181028
71.000000,70.508350,7.395536,0.983222,0.182411
72.000000,71.491446,7.578627,0.982970,0.183767
73.000000,72.474291,7.763061,0.982720,0.185097
74.000000,73.456888,7.948812,0.982474,0.186401
75.000000,74.439239,8.135855,0.982230,0.187682
76.000000,75.421348,8.324168,0.981989,0.188939
77.000000,76.403218,8.513726,0.981750,0.190174
78.000000,77.384850,8.704508,0.981515,0.191388
79.000000,78.366248,8.896494,0.981281,0.192581
80.000000,79.347413,9.089663,0.981050,0.193754
81.000000,80.328349,9.283996,0.980821,0.194909
82.000000,81.309056,9.479476,0.980595,0.196047
83.000000,82.289538,9.676084,0.980370,0.197167
84.000000,83.269797,9.873805,0.980147,0.198272
85.000000,84.249833,10.072624,0.979926,0.199362
86.000000,85.229649,10.272525,0.979706,0.200438
87.000000,86.209246,10.473496,0.979488,0.201501
88.000000,87.188626,10.675523,0.979272,0.202552
89.000000,88.167790,10.878596,0.979056,0.203592
90.000000,89.146738,11.082703,0.978841,0.204621
91.000000,90.125472,11.287834,0.978628,0.205641
92.000000,91.103993,11.493982,0.978414,0.206652
93.000000,92.082301,11.701137,0.978202,0.207656
94.000000,93.060397,11.909292,0.977990,0.208654
95.000000,94.038280,12.118443,0.977777,0.209646
96.000000,95.015952,12.328582,0.977565,0.210633
97.000000,95.993411,12.539706,0.977353,0.211616
98.000000,96.970658,12.751812,0.977140,0.212596
99.000000,97.947691,12.964897,0.976927,0.213574
100.000000,98.924511,13.178960,0.976713,0.214551
