dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,0.005468,0.999994,0.003333
6.561667,6.561618,0.021870,0.999978,0.006665
9.842500,9.842336,0.049202,0.999950,0.009996
13.123333,13.122945,0.087455,0.999911,0.013323
16.404167,16.403408,0.136618,0.999861,0.016646
19.685000,19.683690,0.196678,0.999801,0.019965
22.965833,22.963755,0.267616,0.999729,0.023278
26.246667,26.243567,0.349412,0.999647,0.026584
29.527500,29.523091,0.442042,0.999553,0.029882
32.808333,32.802292,0.545480,0.999450,0.033172
36.089167,36.081135,0.659693,0.999335,0.036452
39.370000,39.359587,0.784651,0.999211,0.039721
42.650833,42.637612,0.920315,0.999076,0.042978
45.931667,45.915179,1.066647,0.998931,0.046223
49.212500,49.192255,1.223602,0.998776,0.049455
52.493333,52.468806,1.391137,0.998612,0.052672
55.774167,55.744802,1.569200,0.998438,0.055873
59.055000,59.020212,1.757741,0.998255,0.059058
62.335833,62.295006,1.956703,0.998062,0.062226
65.616667,65.569153,2.166028,0.997861,0.065376
68.897500,68.842626,2.385654,0.997651,0.068506
72.178333,72.115396,2.615517,0.997432,0.071616
75.459167,75.387435,2.855549,0.997206,0.074704
78.740000,78.658719,3.105678,0.996971,0.077771
82.020833,81.929220,3.365831,0.996729,0.080815
85.301667,85.198915,3.635930,0.996480,0.083834
88.582500,88.467780,3.915895,0.996223,0.086829
91.863333,91.735792,4.205643,0.995960,0.089797
95.144167,95.002931,4.505087,0.995690,0.092739
98.425000,98.269174,4.814138,0.995415,0.095654
101.705833,101.534504,5.132702,0.995133,0.098539
104.986667,104.798901,5.460685,0.994846,0.101395
108.267500,108.062348,5.797988,0.994554,0.104220
111.548333,111.324829,6.144509,0.994258,0.107014
114.829167,114.586329,6.500143,0.993956,0.109776
118.110000,117.846835,6.864783,0.993651,0.112504
121.390833,121.106334,7.238318,0.993343,0.115198
124.671667,124.364814,7.620633,0.993031,0.117856
127.952500,127.622267,8.011613,0.992716,0.120479
131.233333,130.878682,8.411137,0.992399,0.123065
134.514167,134.134053,8.819083,0.992079,0.125613
137.795000,137.388374,9.235325,0.991758,0.128122
141.075833,140.641640,9.659734,0.991436,0.130592
144.356667,143.893848,10.092179,0.991113,0.133020
147.637500,147.144995,10.532524,0.990790,0.135408
150.918333,150.395081,10.980633,0.990467,0.137753
154.199167,153.644107,11.436364,0.990144,0.140054
157.480000,156.892075,11.899575,0.989822,0.142312
160.760833,160.138990,12.370119,0.989501,0.144524
164.041667,163.384855,12.847846,0.989246,0.146261
167.322500,166.629888,13.331195,0.988930,0.148381
170.603333,169.873888,13.821423,0.988617,0.150455
173.884167,173.116865,14.318383,0.988306,0.152485
177.165000,176.358825,14.821928,0.987998,0.154470
180.445833,179.599778,15.331915,0.987692,0.156412
183.726667,182.839733,15.848206,0.987389,0.158312
187.007500,186.078699,16.370663,0.987089,0.160171
190.288333,189.316687,16.899152,0.986792,0.161990
193.569167,192.553705,17.433545,0.986499,0.163770
196.850000,195.789765,17.973714,0.986208,0.165511
200.130833,199.024876,18.519534,0.985920,0.167215
203.411667,202.259049,19.070885,0.985636,0.168883
206.692500,205.492295,19.627650,0.985355,0.170515
209.973333,208.724624,20.189712,0.985077,0.172113
213.254167,211.956047,20.756962,0.984803,0.173677
216.535000,215.186574,21.329289,0.984531,0.175209
219.815833,218.416216,21.906590,0.984263,0.176709
223.096667,221.644984,22.488761,0.983998,0.178178
226.377500,224.872888,23.075703,0.983736,0.179618
229.658333,228.099939,23.667321,0.983478,0.181028
232.939167,231.326146,24.263520,0.983222,0.182411
236.220000,234.551519,24.864212,0.982970,0.183767
239.500833,237.776069,25.469309,0.982720,0.185097
242.781667,240.999806,26.078727,0.982474,0.186401
246.062500,244.222737,26.692385,0.982230,0.187682
249.343333,247.444874,27.310206,0.981989,0.188939
252.624167,250.666224,27.932115,0.981750,0.190174
255.905000,253.886795,28.558041,0.981515,0.191388
259.185833,257.106597,29.187914,0.981281,0.192581
262.466667,260.325638,29.821670,0.981050,0.193754
265.747500,263.543924,30.459245,0.980821,0.194909
269.028333,266.761462,31.100580,0.980595,0.196047
272.309167,269.978260,31.745620,0.980370,0.197167
275.590000,273.194324,32.394309,0.980147,0.198272
278.870833,276.409660,33.046599,0.979926,0.199362
282.151667,279.624273,33.702442,0.979706,0.200438
285.432500,282.838168,34.361793,0.979488,0.201501
288.713333,286.051350,35.024612,0.979272,0.202552
291.994167,289.263823,35.690859,0.979056,0.203592
295.275000,292.475590,36.360500,0.978841,0.204621
298.555833,295.686654,37.033503,0.978628,0.205641
301.836667,298.897018,37.709838,0.978414,0.206652
305.117500,302.106684,38.389479,0.978202,0.207656
308.398333,305.315652,39.072404,0.977990,0.208654
311.679167,308.523925,39.758590,0.977777,0.209646
314.960000,311.731502,40.448023,0.977565,0.210633
318.240833,314.938383,41.140687,0.977353,0.211616
321.521667,318.144566,41.836571,0.977140,0.212596
324.802500,321.350050,42.535667,0.976927,0.213574
328.083333,324.554834,43.237971,0.976713,0.214551
