dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006666,0.999978,0.006665
3.000000,2.999950,0.014995,0.999950,0.009994
4.000000,3.999882,0.026652,0.999911,0.013319
5.000000,4.999769,0.041631,0.999862,0.016638
6.000000,5.999601,0.059926,0.999801,0.019951
7.000000,6.999367,0.081530,0.999730,0.023255
8.000000,7.999057,0.106433,0.999647,0.026550
9.000000,8.998659,0.134625,0.999555,0.029834
10.000000,9.998163,0.166096,0.999452,0.033105
11.000000,10.997559,0.200831,0.999339,0.036363
12.000000,11.996837,0.238817,0.999215,0.039606
13.000000,12.995987,0.280037,0.999082,0.042832
14.000000,13.994998,0.324475,0.998940,0.046041
15.000000,14.993863,0.372112,0.998787,0.049230
16.000000,15.992570,0.422928,0.998626,0.052399
17.000000,16.991112,0.476903,0.998456,0.055546
18.000000,17.989480,0.534013,0.998277,0.058670
19.000000,18.987664,0.594235,0.998090,0.061770
20.000000,19.985658,0.657544,0.997895,0.064843
21.000000,20.983453,0.723913,0.997693,0.067890
22.000000,21.981041,0.793314,0.997483,0.070908
23.000000,22.978416,0.865718,0.997266,0.073895
24.000000,23.975571,0.941094,0.997043,0.076852
25.000000,24.972499,1.019411,0.996813,0.079776
26.000000,25.969194,1.100635,0.996577,0.082666
27.000000,26.965652,1.184732,0.996336,0.085521
28.000000,27.961865,1.271666,0.996090,0.088340
29.000000,28.957831,1.361399,0.995840,0.091120
30.000000,29.953544,1.453894,0.995585,0.093862
31.000000,30.949000,1.549109,0.995327,0.096562
32.000000,31.944197,1.647005,0.995065,0.099221
33.000000,32.939130,1.747537,0.994801,0.101837
34.000000,33.933798,1.850664,0.994534,0.104408
35.000000,34.928198,1.956339,0.994266,0.106934
36.000000,35.922330,2.064516,0.993996,0.109413
37.000000,36.916191,2.175148,0.993726,0.111843
38.000000,37.909781,2.288185,0.993455,0.114223
39.000000,38.903101,2.403577,0.993185,0.116552
40.000000,39.896151,2.521273,0.992915,0.118830
41.000000,40.888931,2.641219,0.992646,0.121053
42.000000,41.881443,2.763361,0.992379,0.123222
43.000000,42.873690,2.887644,0.992115,0.125335
44.000000,43.865673,3.014011,0.991853,0.127390
45.000000,44.857397,3.142404,0.991594,0.129386
46.000000,45.848863,3.272763,0.991340,0.131323
47.000000,46.840077,3.405029,0.991089,0.133198
48.000000,47.831044,3.539138,0.990844,0.135010
49.000000,48.821768,3.675028,0.990604,0.136759
50.000000,49.812254,3.812635,0.990370,0.138443
51.000000,50.802554,3.951581,0.990187,0.139749
52.000000,51.792630,4.092112,0.989967,0.141302
53.000000,52.782489,4.234164,0.989753,0.142791
54.000000,53.772138,4.377673,0.989546,0.144218
55.000000,54.761584,4.522579,0.989346,0.145583
56.000000,55.750832,4.668820,0.989153,0.146889
57.000000,56.739892,4.816338,0.988967,0.148137
58.000000,57.728768,4.965076,0.988788,0.149328
59.000000,58.717470,5.114976,0.988616,0.150463
60.000000,59.706002,5.265984,0.988450,0.151544
61.000000,60.694373,5.418046,0.988292,0.152572
62.000000,61.682589,5.571111,0.988141,0.153549
63.000000,62.670657,5.725128,0.987997,0.154475
64.000000,63.658584,5.880046,0.987859,0.155353
65.000000,64.646378,6.035817,0.987728,0.156183
66.000000,65.634043,6.192396,0.987604,0.156967
67.000000,66.621588,6.349735,0.987486,0.157705
68.000000,67.609018,6.507792,0.987375,0.158401
69.000000,68.596339,6.666523,0.987270,0.159054
70.000000,69.583559,6.825886,0.987171,0.159666
71.000000,70.570684,6.985842,0.987078,0.160239
72.000000,71.557718,7.146352,0.986991,0.160774
73.000000,72.544668,7.307377,0.986910,0.161271
74.000000,73.531540,7.468882,0.986835,0.161733
75.000000,74.518339,7.630832,0.986764,0.162161
76.000000,75.505070,7.793193,0.986699,0.162556
77.000000,76.491739,7.955934,0.986639,0.162919
78.000000,77.478351,8.119022,0.986584,0.163252
79.000000,78.464910,8.282429,0.986534,0.163556
80.000000,79.451420,8.446126,0.986488,0.163833
81.000000,80.437887,8.610086,0.986447,0.164083
82.000000,81.424315,8.774283,0.986409,0.164308
83.000000,82.410706,8.938694,0.986375,0.164510
84.000000,83.397067,9.103295,0.986346,0.164689
85.000000,84.383399,9.268064,0.986319,0.164847
86.000000,85.369706,9.432982,0.986296,0.164985
87.000000,86.355992,9.598028,0.986276,0.165105
88.000000,87.342259,9.763186,0.986259,0.165208
89.000000,88.328511,9.928438,0.986244,0.165295
90.000000,89.314749,10.093770,0.986232,0.165367
91.000000,90.300975,10.259168,0.986222,0.165427
92.000000,91.287193,10.424619,0.986214,0.165474
93.000000,92.273404,10.590113,0.986208,0.165511
94.000000,93.259610,10.755639,0.986203,0.165539
95.000000,94.245811,10.921188,0.986200,0.165559
96.000000,95.232009,11.086755,0.986198,0.165572
97.000000,96.218207,11.252331,0.986196,0.165580
98.000000,97.204403,11.417914,0.986196,0.165585
99.000000,98.190598,11.583500,0.986195,0.165586
100.000000,99.176794,11.749086,0.986195,0.165586
