dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,0.005468,0.999994,0.003333
6.561680,6.561631,0.021869,0.999978,0.006665
9.842520,9.842356,0.049197,0.999950,0.009994
13.123360,13.122971,0.087441,0.999911,0.013319
16.404199,16.403442,0.136585,0.999862,0.016638
19.685039,19.683731,0.196608,0.999801,0.019951
22.965879,22.963803,0.267486,0.999730,0.023255
26.246719,26.243624,0.349189,0.999647,0.026550
29.527559,29.523159,0.441685,0.999555,0.029834
32.808399,32.802372,0.544934,0.999452,0.033105
36.089239,36.081231,0.658895,0.999339,0.036363
39.370079,39.359701,0.783519,0.999215,0.039606
42.650919,42.637751,0.918756,0.999082,0.042832
45.931759,45.915349,1.064550,0.998940,0.046041
49.212598,49.192463,1.220839,0.998787,0.049230
52.493438,52.469062,1.387559,0.998626,0.052399
55.774278,55.745118,1.564641,0.998456,0.055546
59.055118,59.020602,1.752011,0.998277,0.058670
62.335958,62.295486,1.949590,0.998090,0.061770
65.616798,65.569743,2.157296,0.997895,0.064843
68.897638,68.843348,2.375042,0.997693,0.067890
72.178478,72.116276,2.602735,0.997483,0.070908
75.459318,75.388504,2.840282,0.997266,0.073895
78.740157,78.660009,3.087580,0.997043,0.076852
82.020997,81.930771,3.344525,0.996813,0.079776
85.301837,85.200769,3.611009,0.996577,0.082666
88.582677,88.469986,3.886917,0.996336,0.085521
91.863517,91.738404,4.172133,0.996090,0.088340
95.144357,95.006007,4.466533,0.995840,0.091120
98.425197,98.272781,4.769992,0.995585,0.093862
101.706037,101.538714,5.082379,0.995327,0.096562
104.986877,104.803794,5.403558,0.995065,0.099221
108.267717,108.068012,5.733391,0.994801,0.101837
111.548556,111.331358,6.071732,0.994534,0.104408
114.829396,114.593827,6.418436,0.994266,0.106934
118.110236,117.855413,6.773348,0.993996,0.109413
121.391076,121.116112,7.136313,0.993726,0.111843
124.671916,124.375924,7.507169,0.993455,0.114223
127.952756,127.634847,7.885752,0.993185,0.116552
131.233596,130.892883,8.271892,0.992915,0.118830
134.514436,134.150036,8.665415,0.992646,0.121053
137.795276,137.406310,9.066145,0.992379,0.123222
141.076115,140.661713,9.473897,0.992115,0.125335
144.356955,143.916251,9.888487,0.991853,0.127390
147.637795,147.169936,10.309724,0.991594,0.129386
150.918635,150.422779,10.737413,0.991340,0.131323
154.199475,153.674794,11.171355,0.991089,0.133198
157.480315,156.925997,11.611346,0.990844,0.135010
160.761155,160.176403,12.057180,0.990604,0.136759
164.041995,163.426031,12.508645,0.990370,0.138443
167.322835,166.675047,12.964505,0.990187,0.139749
170.603675,169.923328,13.425565,0.989967,0.141302
173.884514,173.170897,13.891614,0.989753,0.142791
177.165354,176.417776,14.362446,0.989546,0.144218
180.446194,179.663988,14.837858,0.989346,0.145583
183.727034,182.909555,15.317652,0.989153,0.146889
187.007874,186.154500,15.801635,0.988967,0.148137
190.288714,189.398847,16.289618,0.988788,0.149328
193.569554,192.642616,16.781416,0.988616,0.150463
196.850394,195.885833,17.276850,0.988450,0.151544
200.131234,199.128520,17.775743,0.988292,0.152572
203.412073,202.370698,18.277924,0.988141,0.153549
206.692913,205.612392,18.783227,0.987997,0.154475
209.973753,208.853624,19.291488,0.987859,0.155353
213.254593,212.094414,19.802550,0.987728,0.156183
216.535433,215.334787,20.316259,0.987604,0.156967
219.816273,218.574762,20.832465,0.987486,0.157705
223.097113,221.814362,21.351024,0.987375,0.158401
226.377953,225.053607,21.871794,0.987270,0.159054
229.658793,228.292518,22.394640,0.987171,0.159666
232.939633,231.531114,22.919430,0.987078,0.160239
236.220472,234.769416,23.446035,0.986991,0.160774
239.501312,238.007441,23.974334,0.986910,0.161271
242.782152,241.245210,24.504206,0.986835,0.161733
246.062992,244.482739,25.035538,0.986764,0.162161
249.343832,247.720047,25.568220,0.986699,0.162556
252.624672,250.957150,26.102144,0.986639,0.162919
255.905512,254.194064,26.637211,0.986584,0.163252
259.186352,257.430806,27.173322,0.986534,0.163556
262.467192,260.667389,27.710386,0.986488,0.163833
265.748031,263.903829,28.248312,0.986447,0.164083
269.028871,267.140140,28.787018,0.986409,0.164308
272.309711,270.376333,29.326424,0.986375,0.164510
275.590551,273.612423,29.866453,0.986346,0.164689
278.871391,276.848421,30.407035,0.986319,0.164847
282.152231,280.084338,30.948103,0.986296,0.164985
285.433071,283.320184,31.489593,0.986276,0.165105
288.713911,286.555969,32.031449,0.986259,0.165208
291.994751,289.791701,32.573616,0.986244,0.165295
295.275591,293.027390,33.116044,0.986232,0.165367
298.556430,296.263043,33.658688,0.986222,0.165427
301.837270,299.498665,34.201507,0.986214,0.165474
305.118110,302.734265,34.744465,0.986208,0.165511
308.398950,305.969848,35.287529,0.986203,0.165539
311.679790,309.205417,35.830671,0.986200,0.165559
314.960630,312.440973,36.373867,0.986198,0.165572
318.241470,315.676531,36.917097,0.986196,0.165580
321.522310,318.912082,37.460348,0.986196,0.165585
324.803150,322.147632,38.003608,0.986195,0.165586
328.083990,325.383181,38.546870,0.986195,0.165586
