dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,0.000000,1.000000,0.000000
6.561667,6.561667,0.000003,1.000000,0.000002
9.842500,9.842500,0.000015,1.000000,0.000006
13.123333,13.123333,0.000047,1.000000,0.000014
16.404167,16.404167,0.000114,1.000000,0.000028
19.685000,19.685000,0.000236,1.000000,0.000048
22.965833,22.965833,0.000438,1.000000,0.000076
26.246667,26.246667,0.000747,1.000000,0.000114
29.527500,29.527500,0.001196,1.000000,0.000162
32.808333,32.808333,0.001823,1.000000,0.000222
36.089167,36.089166,0.002669,1.000000,0.000296
39.370000,39.370000,0.003780,1.000000,0.000384
42.650833,42.650833,0.005206,1.000000,0.000488
45.931667,45.931665,0.007002,1.000000,0.000610
49.212500,49.212498,0.009227,1.000000,0.000750
52.493333,52.493330,0.011945,1.000000,0.000910
55.774167,55.774162,0.015223,0.999999,0.001092
59.055000,59.054993,0.019134,0.999999,0.001296
62.335833,62.335823,0.023753,0.999999,0.001524
65.616667,65.616652,0.029163,0.999998,0.001778
68.897500,68.897479,0.035448,0.999998,0.002058
72.178333,72.178304,0.042697,0.999997,0.002366
75.459167,75.459127,0.051006,0.999996,0.002704
78.740000,78.739947,0.060472,0.999995,0.003072
82.020833,82.020762,0.071199,0.999994,0.003472
85.301667,85.301573,0.083292,0.999992,0.003906
88.582500,88.582379,0.096865,0.999990,0.004374
91.863333,91.863177,0.112032,0.999988,0.004878
95.144167,95.143967,0.128915,0.999985,0.005420
98.425000,98.424747,0.147637,0.999982,0.006000
101.705833,101.705515,0.168328,0.999978,0.006620
104.986667,104.986269,0.191122,0.999973,0.007282
108.267500,108.267006,0.216155,0.999968,0.007986
111.548333,111.547725,0.243571,0.999962,0.008734
114.829167,114.828422,0.273515,0.999955,0.009528
118.110000,118.109093,0.306139,0.999946,0.010368
121.390833,121.389734,0.341598,0.999937,0.011256
124.671667,124.670342,0.380051,0.999926,0.012193
127.952500,127.950912,0.421663,0.999913,0.013182
131.233333,131.231437,0.466601,0.999899,0.014222
134.514167,134.511912,0.515039,0.999883,0.015315
137.795000,137.792332,0.567154,0.999864,0.016463
141.075833,141.072687,0.623127,0.999844,0.017667
144.356667,144.352972,0.683144,0.999821,0.018929
147.637500,147.633176,0.747395,0.999795,0.020249
150.918333,150.913290,0.816074,0.999766,0.021629
154.199167,154.193304,0.889381,0.999734,0.023070
157.480000,157.473206,0.967518,0.999698,0.024574
160.760833,160.752984,1.050694,0.999658,0.026141
164.041667,164.032625,1.139120,0.999614,0.027770
167.322500,167.312115,1.232997,0.999566,0.029469
170.603333,170.591437,1.332555,0.999512,0.031233
173.884167,173.870575,1.438007,0.999453,0.033061
177.165000,177.149511,1.549560,0.999389,0.034952
180.445833,180.428226,1.667416,0.999319,0.036904
183.726667,183.706701,1.791775,0.999243,0.038915
187.007500,186.984915,1.922830,0.999160,0.040985
190.288333,190.262846,2.060771,0.999070,0.043113
193.569167,193.540473,2.205782,0.998974,0.045296
196.850000,196.817770,2.358045,0.998870,0.047533
200.130833,200.094715,2.517736,0.998758,0.049823
203.411667,203.371279,2.685027,0.998638,0.052165
206.692500,206.647438,2.860084,0.998511,0.054558
209.973333,209.923162,3.043071,0.998374,0.056999
213.254167,213.198426,3.234146,0.998229,0.059488
216.535000,216.473199,3.433462,0.998075,0.062023
219.815833,219.747450,3.641170,0.997911,0.064603
223.096667,223.021148,3.857414,0.997738,0.067226
226.377500,226.294261,4.082334,0.997555,0.069892
229.658333,229.566757,4.316066,0.997361,0.072598
232.939167,232.838602,4.558742,0.997158,0.075344
236.220000,236.109762,4.810488,0.996943,0.078127
239.500833,239.380201,5.071427,0.996718,0.080947
242.781667,242.649883,5.341677,0.996482,0.083803
246.062500,245.918773,5.621350,0.996235,0.086692
249.343333,249.186834,5.910556,0.995977,0.089614
252.624167,252.454027,6.209399,0.995707,0.092566
255.905000,255.720315,6.517979,0.995425,0.095549
259.185833,258.985659,6.836391,0.995131,0.098560
262.466667,262.250021,7.164725,0.994826,0.101598
265.747500,265.513360,7.503069,0.994508,0.104661
269.028333,268.775637,7.851502,0.994178,0.107748
272.309167,272.036812,8.210103,0.993836,0.110859
275.590000,275.296845,8.578945,0.993482,0.113991
278.870833,278.555696,8.958094,0.993115,0.117142
282.151667,281.813322,9.347615,0.992736,0.120313
285.432500,285.069685,9.747567,0.992344,0.123501
288.713333,288.324742,10.158004,0.991940,0.126705
291.994167,291.578454,10.578976,0.991524,0.129923
295.275000,294.830779,11.010529,0.991095,0.133154
298.555833,298.081678,11.452704,0.990654,0.136398
301.836667,301.331108,11.905536,0.990201,0.139651
305.117500,304.579032,12.369059,0.989735,0.142914
308.398333,307.825407,12.843298,0.989257,0.146184
311.679167,311.070195,13.328279,0.988768,0.149461
314.960000,314.313357,13.824018,0.988266,0.152743
318.240833,317.554854,14.330530,0.987753,0.156028
321.521667,320.794648,14.847824,0.987228,0.159315
324.802500,324.032701,15.375905,0.986691,0.162604
328.083333,327.268976,15.914775,0.986144,0.165892
