dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,0.000000,1.000000,0.000000
6.561680,6.561680,0.000003,1.000000,0.000002
9.842520,9.842520,0.000015,1.000000,0.000006
13.123360,13.123360,0.000047,1.000000,0.000014
16.404199,16.404199,0.000114,1.000000,0.000028
19.685039,19.685039,0.000236,1.000000,0.000048
22.965879,22.965879,0.000438,1.000000,0.000076
26.246719,26.246719,0.000747,1.000000,0.000114
29.527559,29.527559,0.001196,1.000000,0.000162
32.808399,32.808399,0.001823,1.000000,0.000222
36.089239,36.089239,0.002669,1.000000,0.000296
39.370079,39.370078,0.003780,1.000000,0.000384
42.650919,42.650918,0.005206,1.000000,0.000488
45.931759,45.931757,0.007002,1.000000,0.000610
49.212598,49.212596,0.009227,1.000000,0.000750
52.493438,52.493435,0.011945,1.000000,0.000910
55.774278,55.774273,0.015223,0.999999,0.001092
59.055118,59.055111,0.019134,0.999999,0.001296
62.335958,62.335948,0.023753,0.999999,0.001524
65.616798,65.616783,0.029163,0.999998,0.001778
68.897638,68.897617,0.035448,0.999998,0.002058
72.178478,72.178449,0.042698,0.999997,0.002366
75.459318,75.459278,0.051006,0.999996,0.002704
78.740157,78.740104,0.060472,0.999995,0.003072
82.020997,82.020927,0.071199,0.999994,0.003472
85.301837,85.301744,0.083292,0.999992,0.003906
88.582677,88.582556,0.096865,0.999990,0.004374
91.863517,91.863361,0.112033,0.999988,0.004878
95.144357,95.144157,0.128915,0.999985,0.005420
98.425197,98.424944,0.147637,0.999982,0.006000
101.706037,101.705718,0.168329,0.999978,0.006620
104.986877,104.986479,0.191122,0.999973,0.007282
108.267717,108.267223,0.216156,0.999968,0.007986
111.548556,111.547948,0.243571,0.999962,0.008734
114.829396,114.828652,0.273516,0.999955,0.009528
118.110236,118.109329,0.306140,0.999946,0.010368
121.391076,121.389977,0.341598,0.999937,0.011256
124.671916,124.670592,0.380052,0.999926,0.012193
127.952756,127.951167,0.421664,0.999913,0.013182
131.233596,131.231699,0.466602,0.999899,0.014222
134.514436,134.512181,0.515040,0.999883,0.015315
137.795276,137.792607,0.567155,0.999864,0.016463
141.076115,141.072969,0.623128,0.999844,0.017667
144.356955,144.353260,0.683145,0.999821,0.018929
147.637795,147.633471,0.747396,0.999795,0.020249
150.918635,150.913591,0.816076,0.999766,0.021629
154.199475,154.193612,0.889383,0.999734,0.023070
157.480315,157.473521,0.967520,0.999698,0.024574
160.761155,160.753306,1.050696,0.999658,0.026141
164.041995,164.032953,1.139122,0.999614,0.027774
167.322835,167.312450,1.232999,0.999566,0.029469
170.603675,170.591778,1.332558,0.999512,0.031233
173.884514,173.870922,1.438010,0.999453,0.033061
177.165354,177.149865,1.549563,0.999389,0.034952
180.446194,180.428587,1.667420,0.999319,0.036904
183.727034,183.707068,1.791779,0.999243,0.038915
187.007874,186.985289,1.922834,0.999160,0.040985
190.288714,190.263227,2.060775,0.999070,0.043113
193.569554,193.540860,2.205787,0.998974,0.045296
196.850394,196.818164,2.358050,0.998870,0.047533
200.131234,200.095115,2.517741,0.998758,0.049823
203.412073,203.371686,2.685032,0.998638,0.052165
206.692913,206.647851,2.860090,0.998511,0.054558
209.973753,209.923582,3.043077,0.998374,0.056999
213.254593,213.198852,3.234152,0.998229,0.059488
216.535433,216.473632,3.433469,0.998075,0.062023
219.816273,219.747889,3.641177,0.997911,0.064603
223.097113,223.021594,3.857421,0.997738,0.067226
226.377953,226.294714,4.082342,0.997555,0.069892
229.658793,229.567216,4.316075,0.997361,0.072598
232.939633,232.839068,4.558751,0.997158,0.075344
236.220472,236.110234,4.810498,0.996943,0.078127
239.501312,239.380679,5.071437,0.996718,0.080947
242.782152,242.650369,5.341687,0.996482,0.083803
246.062992,245.919265,5.621361,0.996235,0.086692
249.343832,249.187332,5.910568,0.995977,0.089614
252.624672,252.454532,6.209412,0.995707,0.092566
255.905512,255.720826,6.517992,0.995425,0.095549
259.186352,258.986177,6.836405,0.995131,0.098560
262.467192,262.250545,7.164740,0.994826,0.101598
265.748031,265.513891,7.503084,0.994508,0.104661
269.028871,268.776174,7.851518,0.994178,0.107748
272.309711,272.037356,8.210120,0.993836,0.110859
275.590551,275.297395,8.578962,0.993482,0.113991
278.871391,278.556253,8.958112,0.993115,0.117142
282.152231,281.813886,9.347634,0.992736,0.120313
285.433071,285.070255,9.747587,0.992344,0.123501
288.713911,288.325319,10.158025,0.991940,0.126705
291.994751,291.579037,10.578998,0.991524,0.129923
295.275591,294.831369,11.010551,0.991095,0.133154
298.556430,298.082274,11.452727,0.990654,0.136398
301.837270,301.331711,11.905560,0.990201,0.139651
305.118110,304.579641,12.369083,0.989735,0.142914
308.398950,307.826023,12.843324,0.989257,0.146184
311.679790,311.070818,13.328305,0.988768,0.149461
314.960630,314.313986,13.824045,0.988266,0.152743
318.241470,317.555490,14.330558,0.987753,0.156028
321.522310,320.795290,14.847853,0.987228,0.159315
324.803150,324.033349,15.375936,0.986691,0.162604
328.083990,327.269631,15.914807,0.986144,0.165892
