dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.001640,0.999999,-0.001000
6.561667,6.561662,-0.006562,0.999998,-0.002000
9.842500,9.842485,-0.014764,0.999995,-0.003000
13.123333,13.123298,-0.026249,0.999992,-0.004001
16.404167,16.404098,-0.041018,0.999987,-0.005002
19.685000,19.684882,-0.059074,0.999982,-0.006005
22.965833,22.965645,-0.080422,0.999975,-0.007009
26.246667,26.246386,-0.105068,0.999968,-0.008016
29.527500,29.527100,-0.133020,0.999959,-0.009025
32.808333,32.807784,-0.164290,0.999950,-0.010038
36.089167,36.088435,-0.198889,0.999939,-0.011055
39.370000,39.369049,-0.236835,0.999927,-0.012078
42.650833,42.649622,-0.278147,0.999914,-0.013107
45.931667,45.930151,-0.322846,0.999900,-0.014143
49.212500,49.210631,-0.370959,0.999885,-0.015188
52.493333,52.491059,-0.422516,0.999868,-0.016243
55.774167,55.771431,-0.477549,0.999850,-0.017308
59.055000,59.051741,-0.536097,0.999831,-0.018385
62.335833,62.331987,-0.598200,0.999810,-0.019476
65.616667,65.612162,-0.663906,0.999788,-0.020581
68.897500,68.892262,-0.733265,0.999764,-0.021703
72.178333,72.172281,-0.806332,0.999739,-0.022842
75.459167,75.452214,-0.883166,0.999712,-0.024000
78.740000,78.732056,-0.963832,0.999683,-0.025178
82.020833,82.011799,-1.048400,0.999652,-0.026378
85.301667,85.291437,-1.136943,0.999619,-0.027602
88.582500,88.570963,-1.229540,0.999584,-0.028850
91.863333,91.850370,-1.326274,0.999546,-0.030124
95.144167,95.129649,-1.427235,0.999506,-0.031426
98.425000,98.408793,-1.532515,0.999463,-0.032757
101.705833,101.687791,-1.642211,0.999418,-0.034119
104.986667,104.966636,-1.756426,0.999369,-0.035512
108.267500,108.245316,-1.875267,0.999318,-0.036939
111.548333,111.523820,-1.998844,0.999262,-0.038400
114.829167,114.802139,-2.127273,0.999204,-0.039897
118.110000,118.080259,-2.260673,0.999141,-0.041430
121.390833,121.358167,-2.399166,0.999075,-0.043002
124.671667,124.635851,-2.542881,0.999004,-0.044613
127.952500,127.913296,-2.691946,0.998929,-0.046264
131.233333,131.190486,-2.846495,0.998849,-0.047956
134.514167,134.467407,-3.006665,0.998765,-0.049690
137.795000,137.744041,-3.172594,0.998675,-0.051468
141.075833,141.020372,-3.344425,0.998579,-0.053288
144.356667,144.296379,-3.522301,0.998478,-0.055153
147.637500,147.572044,-3.706369,0.998371,-0.057062
150.918333,150.847347,-3.896776,0.998257,-0.059017
154.199167,154.122267,-4.093670,0.998137,-0.061018
157.480000,157.396780,-4.297203,0.998009,-0.063064
160.760833,160.670864,-4.507525,0.997875,-0.065156
164.041667,163.944495,-4.724788,0.997733,-0.067295
167.322500,167.217648,-4.949143,0.997583,-0.069480
170.603333,170.490296,-5.180742,0.997425,-0.071711
173.884167,173.762412,-5.419736,0.997259,-0.073988
177.165000,177.033968,-5.666276,0.997084,-0.076311
180.445833,180.304935,-5.920511,0.996900,-0.078679
183.726667,183.575284,-6.182589,0.996707,-0.081092
187.007500,186.844981,-6.452656,0.996504,-0.083549
190.288333,190.113997,-6.730859,0.996291,-0.086050
193.569167,193.382298,-7.017338,0.996068,-0.088595
196.850000,196.649851,-7.312233,0.995834,-0.091181
200.130833,199.916619,-7.615683,0.995590,-0.093809
203.411667,203.182570,-7.927822,0.995335,-0.096477
206.692500,206.447665,-8.248779,0.995069,-0.099185
209.973333,209.711869,-8.578684,0.994791,-0.101931
213.254167,212.975142,-8.917661,0.994502,-0.104715
216.535000,216.237448,-9.265828,0.994201,-0.107534
219.815833,219.498747,-9.623303,0.993889,-0.110388
223.096667,222.759000,-9.990197,0.993564,-0.113276
226.377500,226.018167,-10.366618,0.993226,-0.116196
229.658333,229.276207,-10.752669,0.992877,-0.119146
232.939167,232.533079,-11.148447,0.992515,-0.122126
236.220000,235.788743,-11.554048,0.992140,-0.125133
239.500833,239.043157,-11.969559,0.991753,-0.128167
242.781667,242.296279,-12.395064,0.991353,-0.131226
246.062500,245.548068,-12.830643,0.990940,-0.134307
249.343333,248.798481,-13.276369,0.990514,-0.137411
252.624167,252.047477,-13.732312,0.990076,-0.140535
255.905000,255.295013,-14.198535,0.989624,-0.143678
259.185833,258.541049,-14.675098,0.989161,-0.146838
262.466667,261.785541,-15.162056,0.988684,-0.150014
265.747500,265.028449,-15.659458,0.988194,-0.153205
269.028333,268.269730,-16.167348,0.987693,-0.156408
272.309167,271.509344,-16.685767,0.987178,-0.159623
275.590000,274.747250,-17.214751,0.986651,-0.162848
278.870833,277.983407,-17.754332,0.986112,-0.166082
282.151667,281.217774,-18.304536,0.985560,-0.169324
285.432500,284.450312,-18.865386,0.984997,-0.172572
288.713333,287.680982,-19.436903,0.984421,-0.175826
291.994167,290.909743,-20.019103,0.983834,-0.179084
295.275000,294.136558,-20.611997,0.983235,-0.182345
298.555833,297.361388,-21.215594,0.982624,-0.185609
301.836667,300.584195,-21.829903,0.982001,-0.188874
305.117500,303.804941,-22.454925,0.981367,-0.192140
308.398333,307.023588,-23.090662,0.980722,-0.195406
311.679167,310.240103,-23.737115,0.980066,-0.198672
314.960000,313.454445,-24.394279,0.979399,-0.201936
318.240833,316.666579,-25.062150,0.978720,-0.205199
321.521667,319.876469,-25.740724,0.978031,-0.208460
324.802500,323.084079,-26.429993,0.977331,-0.211719
328.083333,326.289375,-27.129950,0.976619,-0.214975
