dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005468,0.999994,-0.003333
6.561667,6.561618,-0.021872,0.999978,-0.006667
9.842500,9.842336,-0.049211,0.999950,-0.010000
13.123333,13.122944,-0.087485,0.999911,-0.013332
16.404167,16.403407,-0.136690,0.999861,-0.016664
19.685000,19.683688,-0.196824,0.999800,-0.019994
22.965833,22.963750,-0.267880,0.999728,-0.023322
26.246667,26.243558,-0.349853,0.999645,-0.026648
29.527500,29.523075,-0.442732,0.999551,-0.029971
32.808333,32.802265,-0.546506,0.999446,-0.033289
36.089167,36.081093,-0.661160,0.999330,-0.036603
39.370000,39.359523,-0.786677,0.999203,-0.039911
42.650833,42.637520,-0.923037,0.999066,-0.043213
45.931667,45.915048,-1.070216,0.998918,-0.046506
49.212500,49.192075,-1.228185,0.998760,-0.049791
52.493333,52.468565,-1.396915,0.998591,-0.053065
55.774167,55.744485,-1.576369,0.998412,-0.056328
59.055000,59.019803,-1.766508,0.998224,-0.059579
62.335833,62.294485,-1.967288,0.998025,-0.062815
65.616667,65.568501,-2.178662,0.997817,-0.066036
68.897500,68.841820,-2.400576,0.997600,-0.069240
72.178333,72.114410,-2.632972,0.997374,-0.072426
75.459167,75.386244,-2.875790,0.997139,-0.075592
78.740000,78.657293,-3.128962,0.996895,-0.078738
82.020833,81.927531,-3.392416,0.996644,-0.081860
85.301667,85.196929,-3.666076,0.996384,-0.084959
88.582500,88.465465,-3.949860,0.996118,-0.088032
91.863333,91.733113,-4.243683,0.995844,-0.091078
95.144167,94.999852,-4.547454,0.995563,-0.094096
98.425000,98.265660,-4.861076,0.995276,-0.097084
101.705833,101.530517,-5.184450,0.994983,-0.100040
104.986667,104.794403,-5.517471,0.994685,-0.102964
108.267500,108.057303,-5.860029,0.994382,-0.105854
111.548333,111.319199,-6.212012,0.994074,-0.108709
114.829167,114.580078,-6.573300,0.993761,-0.111527
118.110000,117.839926,-6.943773,0.993445,-0.114307
121.390833,121.098732,-7.323305,0.993126,-0.117049
124.671667,124.356486,-7.711767,0.992804,-0.119751
127.952500,127.613178,-8.109025,0.992479,-0.122412
131.233333,130.868803,-8.514945,0.992153,-0.125031
134.514167,134.123353,-8.929388,0.991825,-0.127607
137.795000,137.376825,-9.352211,0.991496,-0.130140
141.075833,140.629216,-9.783272,0.991166,-0.132628
144.356667,143.880525,-10.222423,0.990836,-0.135072
147.637500,147.130751,-10.669517,0.990506,-0.137470
150.918333,150.379896,-11.124404,0.990177,-0.139822
154.199167,153.627961,-11.586933,0.989848,-0.142128
157.480000,156.874952,-12.056951,0.989521,-0.144388
160.760833,160.120872,-12.534306,0.989196,-0.146601
164.041667,163.365727,-13.018844,0.988872,-0.148767
167.322500,166.609525,-13.510411,0.988551,-0.150886
170.603333,169.852273,-14.008854,0.988233,-0.152958
173.884167,173.093981,-14.514020,0.987917,-0.154984
177.165000,176.334659,-15.025756,0.987604,-0.156963
180.445833,179.574316,-15.543910,0.987295,-0.158897
183.726667,182.812965,-16.068334,0.986989,-0.160785
187.007500,186.050616,-16.598877,0.986687,-0.162628
190.288333,189.287283,-17.135395,0.986389,-0.164426
193.569167,192.522979,-17.677740,0.986095,-0.166181
196.850000,195.757716,-18.225773,0.985805,-0.167893
200.130833,198.991508,-18.779353,0.985519,-0.169563
203.411667,202.224370,-19.338343,0.985238,-0.171192
206.692500,205.456315,-19.902610,0.984960,-0.172780
209.973333,208.687357,-20.472024,0.984687,-0.174329
213.254167,211.917510,-21.046459,0.984419,-0.175840
216.535000,215.146789,-21.625790,0.984154,-0.177315
219.815833,218.375207,-22.209900,0.983894,-0.178754
223.096667,221.602777,-22.798674,0.983638,-0.180158
226.377500,224.829514,-23.392000,0.983386,-0.181529
229.658333,228.055430,-23.989773,0.983137,-0.182869
232.939167,231.280538,-24.591890,0.982893,-0.184178
236.220000,234.504850,-25.198254,0.982652,-0.185458
239.500833,237.728378,-25.808773,0.982415,-0.186711
242.781667,240.951133,-26.423358,0.982181,-0.187937
246.062500,244.173126,-27.041927,0.981950,-0.189139
249.343333,247.394366,-27.664401,0.981723,-0.190318
252.624167,250.614865,-28.290706,0.981498,-0.191475
255.905000,253.834629,-28.920773,0.981275,-0.192612
259.185833,257.053667,-29.554539,0.981055,-0.193729
262.466667,260.271987,-30.191942,0.980837,-0.194830
265.747500,263.489595,-30.832930,0.980621,-0.195914
269.028333,266.706497,-31.477450,0.980407,-0.196984
272.309167,269.922699,-32.125457,0.980194,-0.198040
275.590000,273.138204,-32.776910,0.979982,-0.199084
278.870833,276.353018,-33.431770,0.979772,-0.200118
282.151667,279.567142,-34.090005,0.979562,-0.201141
285.432500,282.780579,-34.751584,0.979353,-0.202157
288.713333,285.993331,-35.416481,0.979145,-0.203164
291.994167,289.205400,-36.084673,0.978936,-0.204166
295.275000,292.416785,-36.756142,0.978728,-0.205162
298.555833,295.627488,-37.430870,0.978520,-0.206153
301.836667,298.837506,-38.108844,0.978311,-0.207140
305.117500,302.046839,-38.790053,0.978102,-0.208125
308.398333,305.255486,-39.474488,0.977893,-0.209107
311.679167,308.463445,-40.162142,0.977683,-0.210087
314.960000,311.670713,-40.853009,0.977472,-0.211066
318.240833,314.877288,-41.547087,0.977260,-0.212044
321.521667,318.083167,-42.244372,0.977047,-0.213022
324.802500,321.288347,-42.944864,0.976834,-0.213999
328.083333,324.492824,-43.648560,0.976619,-0.214975
