dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,-0.005468,0.999994,-0.003333
6.561680,6.561631,-0.021872,0.999978,-0.006667
9.842520,9.842356,-0.049211,0.999950,-0.009999
13.123360,13.122971,-0.087484,0.999911,-0.013332
16.404199,16.403440,-0.136687,0.999861,-0.016662
19.685039,19.683727,-0.196816,0.999800,-0.019992
22.965879,22.963796,-0.267863,0.999728,-0.023318
26.246719,26.243611,-0.349818,0.999645,-0.026641
29.527559,29.523135,-0.442669,0.999551,-0.029960
32.808399,32.802334,-0.546400,0.999446,-0.033273
36.089239,36.081170,-0.660989,0.999331,-0.036579
39.370079,39.359610,-0.786414,0.999205,-0.039878
42.650919,42.637619,-0.922645,0.999068,-0.043167
45.931759,45.915162,-1.069648,0.998921,-0.046445
49.212598,49.192207,-1.227386,0.998764,-0.049710
52.493438,52.468719,-1.395814,0.998597,-0.052961
55.774278,55.744667,-1.574882,0.998420,-0.056196
59.055118,59.020019,-1.764536,0.998233,-0.059413
62.335958,62.294745,-1.964712,0.998038,-0.062611
65.616798,65.568816,-2.175344,0.997834,-0.065787
68.897638,68.842201,-2.396358,0.997621,-0.068939
72.178478,72.114875,-2.627671,0.997400,-0.072065
75.459318,75.386812,-2.869198,0.997171,-0.075164
78.740157,78.657985,-3.120842,0.996935,-0.078233
82.020997,81.928373,-3.382504,0.996692,-0.081270
85.301837,85.197953,-3.654075,0.996443,-0.084274
88.582677,88.466704,-3.935441,0.996187,-0.087241
91.863517,91.734608,-4.226479,0.995926,-0.090170
95.144357,95.001649,-4.527061,0.995661,-0.093058
98.425197,98.267810,-4.837052,0.995390,-0.095905
101.706037,101.533078,-5.156310,0.995117,-0.098707
104.986877,104.797442,-5.484687,0.994839,-0.101464
108.267717,108.060892,-5.822029,0.994559,-0.104172
111.548556,111.323420,-6.168175,0.994277,-0.106830
114.829396,114.585020,-6.522957,0.993994,-0.109437
118.110236,117.845687,-6.886205,0.993709,-0.111990
121.391076,121.105422,-7.257740,0.993425,-0.114488
124.671916,124.364222,-7.637380,0.993140,-0.116930
127.952756,127.622090,-8.024936,0.992857,-0.119314
131.233596,130.879030,-8.420217,0.992574,-0.121639
134.514436,134.135048,-8.823026,0.992294,-0.123903
137.795276,137.390150,-9.233163,0.992017,-0.126106
141.076115,140.644347,-9.650423,0.991742,-0.128246
144.356955,143.897650,-10.074601,0.991472,-0.130322
147.637795,147.150072,-10.505486,0.991205,-0.132334
150.918635,150.401626,-10.942865,0.990943,-0.134281
154.199475,153.652330,-11.386525,0.990686,-0.136163
157.480315,156.902199,-11.836251,0.990435,-0.137979
160.761155,160.151255,-12.291825,0.990190,-0.139728
164.041995,163.399515,-12.753030,0.989951,-0.141411
167.322835,166.647003,-13.219648,0.989719,-0.143028
170.603675,169.893740,-13.691461,0.989493,-0.144578
173.884514,173.139749,-14.168253,0.989275,-0.146063
177.165354,176.385056,-14.649807,0.989065,-0.147482
180.446194,179.629684,-15.135909,0.988862,-0.148835
183.727034,182.873660,-15.626346,0.988667,-0.150124
187.007874,186.117010,-16.120906,0.988480,-0.151349
190.288714,189.359761,-16.619383,0.988302,-0.152512
193.569554,192.601938,-17.121571,0.988131,-0.153612
196.850394,195.843571,-17.627268,0.987969,-0.154651
200.131234,199.084685,-18.136277,0.987815,-0.155631
203.412073,202.325308,-18.648403,0.987670,-0.156552
206.692913,205.565466,-19.163457,0.987532,-0.157416
209.973753,208.805188,-19.681255,0.987403,-0.158224
213.254593,212.044499,-20.201616,0.987282,-0.158979
216.535433,215.283425,-20.724366,0.987169,-0.159681
219.816273,218.521992,-21.249337,0.987063,-0.160333
223.097113,221.760225,-21.776365,0.986965,-0.160936
226.377953,224.998148,-22.305293,0.986874,-0.161491
229.658793,228.235784,-22.835970,0.986790,-0.162002
232.939633,231.473158,-23.368252,0.986714,-0.162470
236.220472,234.710290,-23.902000,0.986643,-0.162896
239.501312,237.947201,-24.437083,0.986579,-0.163284
242.782152,241.183912,-24.973376,0.986521,-0.163634
246.062992,244.420442,-25.510762,0.986469,-0.163950
249.343832,247.656809,-26.049127,0.986422,-0.164233
252.624672,250.893031,-26.588369,0.986380,-0.164484
255.905512,254.129122,-27.128389,0.986342,-0.164707
259.186352,257.365099,-27.669097,0.986310,-0.164904
262.467192,260.600975,-28.210407,0.986281,-0.165075
265.748031,263.836763,-28.752242,0.986256,-0.165224
269.028871,267.072476,-29.294532,0.986235,-0.165352
272.309711,270.308123,-29.837209,0.986216,-0.165461
275.590551,273.543714,-30.380217,0.986201,-0.165553
278.871391,276.779259,-30.923502,0.986188,-0.165630
282.152231,280.014765,-31.467016,0.986177,-0.165694
285.433071,283.250240,-32.010717,0.986169,-0.165745
288.713911,286.485690,-32.554570,0.986162,-0.165786
291.994751,289.721120,-33.098543,0.986156,-0.165818
295.275591,292.956534,-33.642608,0.986152,-0.165843
298.556430,296.191935,-34.186743,0.986149,-0.165861
301.837270,299.427329,-34.730929,0.986147,-0.165874
305.118110,302.662717,-35.275152,0.986145,-0.165883
308.398950,305.898101,-35.819399,0.986144,-0.165889
311.679790,309.133478,-36.363661,0.986144,-0.165893
314.960630,312.368860,-36.907932,0.986143,-0.165895
318.241470,315.604239,-37.452208,0.986143,-0.165896
321.522310,318.839618,-37.996486,0.986143,-0.165896
324.803150,322.074996,-38.540764,0.986143,-0.165896
328.083990,325.310374,-39.085043,0.986143,-0.165896
