dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.000000,1.000000,-0.000000
6.561667,6.561667,-0.000000,1.000000,-0.000000
9.842500,9.842500,-0.000001,1.000000,-0.000000
13.123333,13.123333,-0.000004,1.000000,-0.000001
16.404167,16.404167,-0.000011,1.000000,-0.000003
19.685000,19.685000,-0.000028,1.000000,-0.000007
22.965833,22.965833,-0.000060,1.000000,-0.000013
26.246667,26.246667,-0.000117,1.000000,-0.000022
29.527500,29.527500,-0.000211,1.000000,-0.000036
32.808333,32.808333,-0.000356,1.000000,-0.000054
36.089167,36.089167,-0.000573,1.000000,-0.000079
39.370000,39.370000,-0.000883,1.000000,-0.000112
42.650833,42.650833,-0.001315,1.000000,-0.000153
45.931667,45.931667,-0.001900,1.000000,-0.000205
49.212500,49.212500,-0.002675,1.000000,-0.000269
52.493333,52.493333,-0.003683,1.000000,-0.000347
55.774167,55.774166,-0.004972,1.000000,-0.000441
59.055000,59.054999,-0.006595,1.000000,-0.000552
62.335833,62.335832,-0.008612,1.000000,-0.000681
65.616667,65.616664,-0.011090,1.000000,-0.000832
68.897500,68.897496,-0.014099,0.999999,-0.001006
72.178333,72.178327,-0.017720,0.999999,-0.001205
75.459167,75.459158,-0.022038,0.999999,-0.001431
78.740000,78.739987,-0.027145,0.999999,-0.001687
82.020833,82.020815,-0.033140,0.999998,-0.001973
85.301667,85.301641,-0.040129,0.999997,-0.002293
88.582500,88.582464,-0.048225,0.999996,-0.002648
91.863333,91.863284,-0.057548,0.999995,-0.003041
95.144167,95.144100,-0.068223,0.999994,-0.003473
98.425000,98.424911,-0.080385,0.999992,-0.003947
101.705833,101.705715,-0.094172,0.999990,-0.004465
104.986667,104.986512,-0.109732,0.999987,-0.005028
108.267500,108.267298,-0.127218,0.999984,-0.005639
111.548333,111.548073,-0.146787,0.999980,-0.006299
114.829167,114.828834,-0.168605,0.999975,-0.007010
118.110000,118.109577,-0.192844,0.999970,-0.007774
121.390833,121.390301,-0.219678,0.999963,-0.008593
124.671667,124.671001,-0.249291,0.999955,-0.009468
127.952500,127.951672,-0.281868,0.999946,-0.010401
131.233333,131.232311,-0.317601,0.999935,-0.011392
134.514167,134.512911,-0.356685,0.999923,-0.012444
137.795000,137.793467,-0.399321,0.999908,-0.013557
141.075833,141.073972,-0.445711,0.999891,-0.014733
144.356667,144.354419,-0.496062,0.999872,-0.015972
147.637500,147.634799,-0.550584,0.999851,-0.017276
150.918333,150.915103,-0.609489,0.999826,-0.018644
154.199167,154.195322,-0.672992,0.999798,-0.020078
157.480000,157.475443,-0.741307,0.999767,-0.021578
160.760833,160.755456,-0.814652,0.999732,-0.023144
164.041667,164.035348,-0.893245,0.999693,-0.024777
167.322500,167.315104,-0.977305,0.999649,-0.026477
170.603333,170.594709,-1.067050,0.999601,-0.028243
173.884167,173.874147,-1.162696,0.999548,-0.030075
177.165000,177.153401,-1.264463,0.999489,-0.031973
180.445833,180.432452,-1.372564,0.999424,-0.033937
183.726667,183.711282,-1.487214,0.999353,-0.035965
187.007500,186.989867,-1.608624,0.999276,-0.038058
190.288333,190.268187,-1.737004,0.999191,-0.040213
193.569167,193.546218,-1.872559,0.999099,-0.042431
196.850000,196.823936,-2.015492,0.999000,-0.044711
200.130833,200.101314,-2.166002,0.998893,-0.047050
203.411667,203.378327,-2.324283,0.998777,-0.049448
206.692500,206.654944,-2.490526,0.998652,-0.051903
209.973333,209.931139,-2.664917,0.998518,-0.054414
213.254167,213.206879,-2.847634,0.998375,-0.056979
216.535000,216.482134,-3.038854,0.998223,-0.059597
219.815833,219.756872,-3.238745,0.998060,-0.062265
223.096667,223.031057,-3.447472,0.997886,-0.064982
226.377500,226.304658,-3.665189,0.997703,-0.067746
229.658333,229.577637,-3.892050,0.997508,-0.070555
232.939167,232.849960,-4.128198,0.997302,-0.073407
236.220000,236.121589,-4.373769,0.997085,-0.076300
239.500833,239.392486,-4.628897,0.996856,-0.079232
242.781667,242.662614,-4.893703,0.996616,-0.082200
246.062500,245.931934,-5.168305,0.996364,-0.085203
249.343333,249.200407,-5.452813,0.996099,-0.088238
252.624167,252.467993,-5.747330,0.995823,-0.091304
255.905000,255.734653,-6.051951,0.995535,-0.094398
259.185833,259.000345,-6.366766,0.995234,-0.097518
262.466667,262.265031,-6.691857,0.994921,-0.100662
265.747500,265.528670,-7.027298,0.994595,-0.103827
269.028333,268.791221,-7.373159,0.994258,-0.107013
272.309167,272.052644,-7.729501,0.993908,-0.110217
275.590000,275.312898,-8.096381,0.993545,-0.113436
278.870833,278.571943,-8.473847,0.993171,-0.116670
282.151667,281.829740,-8.861943,0.992784,-0.119916
285.432500,285.086248,-9.260707,0.992385,-0.123173
288.713333,288.341428,-9.670172,0.991974,-0.126439
291.994167,291.595240,-10.090366,0.991552,-0.129712
295.275000,294.847646,-10.521309,0.991117,-0.132992
298.555833,298.098607,-10.963022,0.990671,-0.136277
301.836667,301.348085,-11.415517,0.990213,-0.139565
305.117500,304.596041,-11.878805,0.989743,-0.142856
308.398333,307.842439,-12.352892,0.989263,-0.146148
311.679167,311.087241,-12.837783,0.988771,-0.149442
314.960000,314.330409,-13.333478,0.988267,-0.152735
318.240833,317.571909,-13.839976,0.987753,-0.156027
321.521667,320.811702,-14.357274,0.987227,-0.159318
324.802500,324.049753,-14.885367,0.986691,-0.162608
328.083333,327.286025,-15.424252,0.986143,-0.165896
