dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,-0.000000,1.000000,-0.000000
2.000000,2.000000,-0.000000,1.000000,-0.000000
3.000000,3.000000,-0.000000,1.000000,-0.000000
4.000000,4.000000,-0.000001,1.000000,-0.000001
5.000000,5.000000,-0.000003,1.000000,-0.000003
6.000000,6.000000,-0.000008,1.000000,-0.000007
7.000000,7.000000,-0.000018,1.000000,-0.000013
8.000000,8.000000,-0.000036,1.000000,-0.000022
9.000000,9.000000,-0.000064,1.000000,-0.000036
10.000000,10.000000,-0.000109,1.000000,-0.000054
11.000000,11.000000,-0.000175,1.000000,-0.000079
12.000000,12.000000,-0.000269,1.000000,-0.000112
13.000000,13.000000,-0.000401,1.000000,-0.000153
14.000000,14.000000,-0.000579,1.000000,-0.000205
15.000000,15.000000,-0.000815,1.000000,-0.000269
16.000000,16.000000,-0.001123,1.000000,-0.000347
17.000000,17.000000,-0.001515,1.000000,-0.000441
18.000000,18.000000,-0.002010,1.000000,-0.000552
19.000000,18.999999,-0.002625,1.000000,-0.000681
20.000000,19.999999,-0.003380,1.000000,-0.000832
21.000000,20.999999,-0.004297,0.999999,-0.001006
22.000000,21.999998,-0.005401,0.999999,-0.001205
23.000000,22.999997,-0.006717,0.999999,-0.001431
24.000000,23.999996,-0.008274,0.999999,-0.001687
25.000000,24.999994,-0.010101,0.999998,-0.001973
26.000000,25.999992,-0.012231,0.999997,-0.002293
27.000000,26.999989,-0.014699,0.999996,-0.002648
28.000000,27.999985,-0.017541,0.999995,-0.003041
29.000000,28.999980,-0.020794,0.999994,-0.003473
30.000000,29.999973,-0.024501,0.999992,-0.003947
31.000000,30.999964,-0.028704,0.999990,-0.004465
32.000000,31.999953,-0.033446,0.999987,-0.005028
33.000000,32.999938,-0.038776,0.999984,-0.005639
34.000000,33.999921,-0.044741,0.999980,-0.006299
35.000000,34.999898,-0.051391,0.999975,-0.007010
36.000000,35.999871,-0.058779,0.999970,-0.007774
37.000000,36.999838,-0.066958,0.999963,-0.008593
38.000000,37.999797,-0.075984,0.999955,-0.009468
39.000000,38.999748,-0.085913,0.999946,-0.010401
40.000000,39.999688,-0.096805,0.999935,-0.011392
41.000000,40.999617,-0.108718,0.999923,-0.012444
42.000000,41.999533,-0.121713,0.999908,-0.013557
43.000000,42.999433,-0.135853,0.999891,-0.014733
44.000000,43.999315,-0.151200,0.999872,-0.015972
45.000000,44.999177,-0.167818,0.999851,-0.017276
46.000000,45.999015,-0.185773,0.999826,-0.018644
47.000000,46.998828,-0.205128,0.999798,-0.020078
48.000000,47.998611,-0.225951,0.999767,-0.021578
49.000000,48.998361,-0.248306,0.999732,-0.023144
50.000000,49.998074,-0.272262,0.999693,-0.024777
51.000000,50.997746,-0.297883,0.999649,-0.026477
52.000000,51.997371,-0.325237,0.999601,-0.028243
53.000000,52.996946,-0.354391,0.999548,-0.030075
54.000000,53.996465,-0.385409,0.999489,-0.031973
55.000000,54.995921,-0.418358,0.999424,-0.033937
56.000000,55.995311,-0.453304,0.999353,-0.035965
57.000000,56.994626,-0.490310,0.999276,-0.038058
58.000000,57.993859,-0.529440,0.999191,-0.040213
59.000000,58.993005,-0.570757,0.999099,-0.042431
60.000000,59.992056,-0.614323,0.999000,-0.044711
61.000000,60.991003,-0.660199,0.998893,-0.047050
62.000000,61.989838,-0.708443,0.998777,-0.049448
63.000000,62.988553,-0.759114,0.998652,-0.051903
64.000000,63.987139,-0.812268,0.998518,-0.054414
65.000000,64.985587,-0.867961,0.998375,-0.056979
66.000000,65.983886,-0.926245,0.998223,-0.059597
67.000000,66.982028,-0.987172,0.998060,-0.062265
68.000000,67.980002,-1.050791,0.997886,-0.064982
69.000000,68.977798,-1.117152,0.997703,-0.067746
70.000000,69.975404,-1.186299,0.997508,-0.070555
71.000000,70.972810,-1.258277,0.997302,-0.073407
72.000000,71.970004,-1.333128,0.997085,-0.076300
73.000000,72.966976,-1.410890,0.996856,-0.079232
74.000000,73.963713,-1.491604,0.996616,-0.082200
75.000000,74.960203,-1.575302,0.996364,-0.085203
76.000000,75.956436,-1.662021,0.996099,-0.088238
77.000000,76.952398,-1.751790,0.995823,-0.091304
78.000000,77.948078,-1.844638,0.995535,-0.094398
79.000000,78.943463,-1.940594,0.995234,-0.097518
80.000000,79.938541,-2.039682,0.994921,-0.100662
81.000000,80.933300,-2.141925,0.994595,-0.103827
82.000000,81.927728,-2.247343,0.994258,-0.107013
83.000000,82.921812,-2.355957,0.993908,-0.110217
84.000000,83.915539,-2.467782,0.993545,-0.113436
85.000000,84.908898,-2.582834,0.993171,-0.116670
86.000000,85.901876,-2.701126,0.992784,-0.119916
87.000000,86.894462,-2.822669,0.992385,-0.123173
88.000000,87.886643,-2.947474,0.991974,-0.126439
89.000000,88.878407,-3.075550,0.991552,-0.129712
90.000000,89.869742,-3.206901,0.991117,-0.132992
91.000000,90.860637,-3.341536,0.990671,-0.136277
92.000000,91.851080,-3.479457,0.990213,-0.139565
93.000000,92.841059,-3.620667,0.989743,-0.142856
94.000000,93.830563,-3.765169,0.989263,-0.146148
95.000000,94.819581,-3.912964,0.988771,-0.149442
96.000000,95.808100,-4.064052,0.988267,-0.152735
97.000000,96.796111,-4.218433,0.987753,-0.156027
98.000000,97.783602,-4.376106,0.987227,-0.159318
99.000000,98.770562,-4.537069,0.986691,-0.162608
100.000000,99.756980,-4.701321,0.986143,-0.165896
