dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,0.005468,0.999994,0.003333
6.561680,6.561631,0.021872,0.999978,0.006667
9.842520,9.842356,0.049212,0.999950,0.010000
13.123360,13.122971,0.087485,0.999911,0.013332
16.404199,16.403440,0.136691,0.999861,0.016664
19.685039,19.683727,0.196824,0.999800,0.019994
22.965879,22.963796,0.267881,0.999728,0.023322
26.246719,26.243610,0.349854,0.999645,0.026648
29.527559,29.523134,0.442733,0.999551,0.029971
32.808399,32.802331,0.546507,0.999446,0.033289
36.089239,36.081165,0.661161,0.999330,0.036603
39.370079,39.359601,0.786679,0.999203,0.039911
42.650919,42.637605,0.923039,0.999066,0.043213
45.931759,45.915140,1.070218,0.998918,0.046506
49.212598,49.192173,1.228188,0.998760,0.049791
52.493438,52.468670,1.396918,0.998591,0.053065
55.774278,55.744597,1.576372,0.998412,0.056328
59.055118,59.019921,1.766512,0.998224,0.059579
62.335958,62.294610,1.967292,0.998025,0.062815
65.616798,65.568633,2.178666,0.997817,0.066036
68.897638,68.841957,2.400580,0.997600,0.069240
72.178478,72.114555,2.632978,0.997374,0.072426
75.459318,75.386395,2.875796,0.997139,0.075592
78.740157,78.657451,3.128968,0.996895,0.078738
82.020997,81.927694,3.392423,0.996644,0.081860
85.301837,85.197100,3.666083,0.996384,0.084959
88.582677,88.465642,3.949868,0.996118,0.088032
91.863517,91.733297,4.243692,0.995844,0.091078
95.144357,95.000042,4.547463,0.995563,0.094096
98.425197,98.265857,4.861086,0.995276,0.097084
101.706037,101.530720,5.184461,0.994983,0.100040
104.986877,104.794613,5.517482,0.994685,0.102964
108.267717,108.057519,5.860041,0.994382,0.105854
111.548556,111.319422,6.212024,0.994074,0.108709
114.829396,114.580307,6.573313,0.993761,0.111527
118.110236,117.840162,6.943787,0.993445,0.114307
121.391076,121.098974,7.323320,0.993126,0.117049
124.671916,124.356734,7.711782,0.992804,0.119751
127.952756,127.613433,8.109041,0.992479,0.122412
131.233596,130.869064,8.514962,0.992153,0.125031
134.514436,134.123621,8.929406,0.991825,0.127607
137.795276,137.377100,9.352230,0.991496,0.130140
141.076115,140.629498,9.783291,0.991166,0.132628
144.356955,143.880813,10.222443,0.990836,0.135072
147.637795,147.131045,10.669538,0.990506,0.137470
150.918635,150.380196,11.124426,0.990177,0.139822
154.199475,153.628268,11.586956,0.989848,0.142128
157.480315,156.875266,12.056975,0.989521,0.144388
160.761155,160.121192,12.534331,0.989196,0.146601
164.041995,163.366054,13.018870,0.988872,0.148767
167.322835,166.609858,13.510438,0.988551,0.150886
170.603675,169.852613,14.008882,0.988233,0.152958
173.884514,173.094328,14.514049,0.987917,0.154984
177.165354,176.335011,15.025786,0.987604,0.156963
180.446194,179.574675,15.543942,0.987295,0.158897
183.727034,182.813330,16.068366,0.986989,0.160785
187.007874,186.050988,16.598911,0.986687,0.162628
190.288714,189.287662,17.135429,0.986389,0.164426
193.569554,192.523364,17.677776,0.986095,0.166181
196.850394,195.758107,18.225809,0.985805,0.167893
200.131234,198.991906,18.779390,0.985519,0.169563
203.412073,202.224775,19.338382,0.985238,0.171192
206.692913,205.456726,19.902650,0.984960,0.172780
209.973753,208.687774,20.472065,0.984687,0.174329
213.254593,211.917934,21.046501,0.984419,0.175840
216.535433,215.147219,21.625834,0.984154,0.177315
219.816273,218.375643,22.209945,0.983894,0.178754
223.097113,221.603220,22.798719,0.983638,0.180158
226.377953,224.829963,23.392047,0.983386,0.181529
229.658793,228.055886,23.989821,0.983137,0.182869
232.939633,231.281000,24.591939,0.982893,0.184178
236.220472,234.505319,25.198304,0.982652,0.185458
239.501312,237.728853,25.808824,0.982415,0.186711
242.782152,240.951615,26.423411,0.982181,0.187937
246.062992,244.173614,27.041981,0.981950,0.189139
249.343832,247.394861,27.664456,0.981723,0.190318
252.624672,250.615366,28.290763,0.981498,0.191475
255.905512,253.835136,28.920831,0.981275,0.192612
259.186352,257.054181,29.554598,0.981055,0.193729
262.467192,260.272507,30.192003,0.980837,0.194830
265.748031,263.490122,30.832991,0.980621,0.195914
269.028871,266.707031,31.477513,0.980407,0.196984
272.309711,269.923239,32.125522,0.980194,0.198040
275.590551,273.138751,32.776975,0.979982,0.199084
278.871391,276.353570,33.431837,0.979772,0.200118
282.152231,279.567701,34.090073,0.979562,0.201141
285.433071,282.781145,34.751653,0.979353,0.202157
288.713911,285.993903,35.416551,0.979145,0.203164
291.994751,289.205978,36.084745,0.978936,0.204166
295.275591,292.417370,36.756215,0.978728,0.205162
298.556430,295.628079,37.430945,0.978520,0.206153
301.837270,298.838104,38.108920,0.978311,0.207140
305.118110,302.047443,38.790131,0.978102,0.208125
308.398950,305.256097,39.474567,0.977893,0.209107
311.679790,308.464062,40.162222,0.977683,0.210087
314.960630,311.671336,40.853091,0.977472,0.211066
318.241470,314.877918,41.547170,0.977260,0.212044
321.522310,318.083803,42.244457,0.977047,0.213022
324.803150,321.288989,42.944950,0.976834,0.213999
328.083990,324.493473,43.648648,0.976619,0.214975
