dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006667,0.999978,0.006667
3.000000,2.999950,0.015000,0.999950,0.010000
4.000000,3.999881,0.026665,0.999911,0.013332
5.000000,4.999769,0.041663,0.999861,0.016664
6.000000,5.999600,0.059992,0.999800,0.019994
7.000000,6.999365,0.081650,0.999728,0.023322
8.000000,7.999052,0.106635,0.999645,0.026648
9.000000,8.998651,0.134945,0.999551,0.029971
10.000000,9.998150,0.166575,0.999446,0.033289
11.000000,10.997539,0.201522,0.999330,0.036603
12.000000,11.996807,0.239780,0.999203,0.039911
13.000000,12.995942,0.281342,0.999066,0.043213
14.000000,13.994935,0.326202,0.998918,0.046506
15.000000,14.993774,0.374352,0.998760,0.049791
16.000000,15.992451,0.425781,0.998591,0.053065
17.000000,16.990953,0.480478,0.998412,0.056328
18.000000,17.989272,0.538433,0.998224,0.059579
19.000000,18.987397,0.599631,0.998025,0.062815
20.000000,19.985319,0.664057,0.997817,0.066036
21.000000,20.983029,0.731697,0.997600,0.069240
22.000000,21.980516,0.802532,0.997374,0.072426
23.000000,22.977773,0.876543,0.997139,0.075592
24.000000,23.974791,0.953709,0.996895,0.078738
25.000000,24.971561,1.034010,0.996644,0.081860
26.000000,25.968076,1.117422,0.996384,0.084959
27.000000,26.964328,1.203920,0.996118,0.088032
28.000000,27.960309,1.293477,0.995844,0.091078
29.000000,28.956013,1.386067,0.995563,0.094096
30.000000,29.951433,1.481659,0.995276,0.097084
31.000000,30.946563,1.580224,0.994983,0.100040
32.000000,31.941398,1.681729,0.994685,0.102964
33.000000,32.935932,1.786141,0.994382,0.105854
34.000000,33.930160,1.893425,0.994074,0.108709
35.000000,34.924078,2.003546,0.993761,0.111527
36.000000,35.917681,2.116466,0.993445,0.114307
37.000000,36.910967,2.232148,0.993126,0.117049
38.000000,37.903933,2.350551,0.992804,0.119751
39.000000,38.896575,2.471636,0.992479,0.122412
40.000000,39.888891,2.595360,0.992153,0.125031
41.000000,40.880880,2.721683,0.991825,0.127607
42.000000,41.872540,2.850560,0.991496,0.130140
43.000000,42.863871,2.981947,0.991166,0.132628
44.000000,43.854872,3.115801,0.990836,0.135072
45.000000,44.845543,3.252075,0.990506,0.137470
46.000000,45.835884,3.390725,0.990177,0.139822
47.000000,46.825896,3.531704,0.989848,0.142128
48.000000,47.815581,3.674966,0.989521,0.144388
49.000000,48.804939,3.820464,0.989196,0.146601
50.000000,49.793973,3.968151,0.988872,0.148767
51.000000,50.782685,4.117981,0.988551,0.150886
52.000000,51.771076,4.269907,0.988233,0.152958
53.000000,52.759151,4.423882,0.987917,0.154984
54.000000,53.746911,4.579859,0.987604,0.156963
55.000000,54.734361,4.737793,0.987295,0.158897
56.000000,55.721503,4.897638,0.986989,0.160785
57.000000,56.708341,5.059348,0.986687,0.162628
58.000000,57.694879,5.222879,0.986389,0.164426
59.000000,58.681121,5.388186,0.986095,0.166181
60.000000,59.667071,5.555227,0.985805,0.167893
61.000000,60.652733,5.723958,0.985519,0.169563
62.000000,61.638111,5.894339,0.985238,0.171192
63.000000,62.623210,6.066328,0.984960,0.172780
64.000000,63.608034,6.239886,0.984687,0.174329
65.000000,64.592586,6.414973,0.984419,0.175840
66.000000,65.576872,6.591554,0.984154,0.177315
67.000000,66.560896,6.769591,0.983894,0.178754
68.000000,67.544662,6.949050,0.983638,0.180158
69.000000,68.528173,7.129896,0.983386,0.181529
70.000000,69.511434,7.312097,0.983137,0.182869
71.000000,70.494449,7.495623,0.982893,0.184178
72.000000,71.477221,7.680443,0.982652,0.185458
73.000000,72.459754,7.866530,0.982415,0.186711
74.000000,73.442052,8.053856,0.982181,0.187937
75.000000,74.424118,8.242396,0.981950,0.189139
76.000000,75.405954,8.432126,0.981723,0.190318
77.000000,76.387564,8.623024,0.981498,0.191475
78.000000,77.368950,8.815069,0.981275,0.192612
79.000000,78.350114,9.008241,0.981055,0.193729
80.000000,79.331060,9.202522,0.980837,0.194830
81.000000,80.311789,9.397896,0.980621,0.195914
82.000000,81.292303,9.594346,0.980407,0.196984
83.000000,82.272603,9.791859,0.980194,0.198040
84.000000,83.252691,9.990422,0.979982,0.199084
85.000000,84.232568,10.190024,0.979772,0.200118
86.000000,85.212235,10.390654,0.979562,0.201141
87.000000,86.191693,10.592304,0.979353,0.202157
88.000000,87.170942,10.794965,0.979145,0.203164
89.000000,88.149982,10.998630,0.978936,0.204166
90.000000,89.128814,11.203294,0.978728,0.205162
91.000000,90.107438,11.408952,0.978520,0.206153
92.000000,91.085854,11.615599,0.978311,0.207140
93.000000,92.064061,11.823232,0.978102,0.208125
94.000000,93.042058,12.031848,0.977893,0.209107
95.000000,94.019846,12.241445,0.977683,0.210087
96.000000,94.997423,12.452022,0.977472,0.211066
97.000000,95.974789,12.663577,0.977260,0.212044
98.000000,96.951943,12.876110,0.977047,0.213022
99.000000,97.928884,13.089621,0.976834,0.213999
100.000000,98.905611,13.304108,0.976619,0.214975
