dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006667,0.999978,0.006667
3.000000,2.999950,0.015000,0.999950,0.009999
4.000000,3.999881,0.026665,0.999911,0.013332
5.000000,4.999769,0.041662,0.999861,0.016662
6.000000,5.999600,0.059990,0.999800,0.019992
7.000000,6.999365,0.081645,0.999728,0.023318
8.000000,7.999053,0.106625,0.999645,0.026641
9.000000,8.998652,0.134926,0.999551,0.029960
10.000000,9.998151,0.166543,0.999446,0.033273
11.000000,10.997541,0.201470,0.999331,0.036579
12.000000,11.996809,0.239699,0.999205,0.039878
13.000000,12.995946,0.281222,0.999068,0.043167
14.000000,13.994941,0.326029,0.998921,0.046445
15.000000,14.993785,0.374107,0.998764,0.049710
16.000000,15.992466,0.425444,0.998597,0.052961
17.000000,16.990974,0.480024,0.998420,0.056196
18.000000,17.989302,0.537830,0.998233,0.059413
19.000000,18.987438,0.598844,0.998038,0.062611
20.000000,19.985375,0.663045,0.997834,0.065787
21.000000,20.983103,0.730410,0.997621,0.068939
22.000000,21.980614,0.800914,0.997400,0.072065
23.000000,22.977900,0.874531,0.997171,0.075164
24.000000,23.974954,0.951233,0.996935,0.078233
25.000000,24.971768,1.030987,0.996692,0.081270
26.000000,25.968336,1.113762,0.996443,0.084274
27.000000,26.964651,1.199522,0.996187,0.087241
28.000000,27.960709,1.288231,0.995926,0.090170
29.000000,28.956503,1.379848,0.995661,0.093058
30.000000,29.952028,1.474333,0.995390,0.095905
31.000000,30.947282,1.571643,0.995117,0.098707
32.000000,31.942260,1.671733,0.994839,0.101464
33.000000,32.936960,1.774554,0.994559,0.104172
34.000000,33.931378,1.880060,0.994277,0.106830
35.000000,34.925514,1.988197,0.993994,0.109437
36.000000,35.919366,2.098915,0.993709,0.111990
37.000000,36.912932,2.212159,0.993425,0.114488
38.000000,37.906215,2.327873,0.993140,0.116930
39.000000,38.899213,2.446000,0.992857,0.119314
40.000000,39.891928,2.566482,0.992574,0.121639
41.000000,40.884362,2.689258,0.992294,0.123903
42.000000,41.876518,2.814268,0.992017,0.126106
43.000000,42.868397,2.941449,0.991742,0.128246
44.000000,43.860004,3.070738,0.991472,0.130322
45.000000,44.851342,3.202072,0.991205,0.132334
46.000000,45.842416,3.335385,0.990943,0.134281
47.000000,46.833230,3.470613,0.990686,0.136163
48.000000,47.823790,3.607689,0.990435,0.137979
49.000000,48.814102,3.746548,0.990190,0.139728
50.000000,49.804172,3.887123,0.989951,0.141411
51.000000,50.794007,4.029349,0.989719,0.143028
52.000000,51.783612,4.173157,0.989493,0.144578
53.000000,52.772996,4.318484,0.989275,0.146063
54.000000,53.762165,4.465261,0.989065,0.147482
55.000000,54.751128,4.613425,0.988862,0.148835
56.000000,55.739892,4.762910,0.988667,0.150124
57.000000,56.728465,4.913652,0.988480,0.151349
58.000000,57.716855,5.065588,0.988302,0.152512
59.000000,58.705071,5.218655,0.988131,0.153612
60.000000,59.693120,5.372791,0.987969,0.154651
61.000000,60.681012,5.527937,0.987815,0.155631
62.000000,61.668754,5.684033,0.987670,0.156552
63.000000,62.656354,5.841022,0.987532,0.157416
64.000000,63.643821,5.998846,0.987403,0.158224
65.000000,64.631163,6.157453,0.987282,0.158979
66.000000,65.618388,6.316787,0.987169,0.159681
67.000000,66.605503,6.476798,0.987063,0.160333
68.000000,67.592516,6.637436,0.986965,0.160936
69.000000,68.579435,6.798653,0.986874,0.161491
70.000000,69.566267,6.960404,0.986790,0.162002
71.000000,70.553018,7.122643,0.986714,0.162470
72.000000,71.539696,7.285330,0.986643,0.162896
73.000000,72.526307,7.448423,0.986579,0.163284
74.000000,73.512857,7.611885,0.986521,0.163634
75.000000,74.499351,7.775680,0.986469,0.163950
76.000000,75.485795,7.939774,0.986422,0.164233
77.000000,76.472196,8.104135,0.986380,0.164484
78.000000,77.458556,8.268733,0.986342,0.164707
79.000000,78.444882,8.433541,0.986310,0.164904
80.000000,79.431177,8.598532,0.986281,0.165075
81.000000,80.417445,8.763683,0.986256,0.165224
82.000000,81.403691,8.928973,0.986235,0.165352
83.000000,82.389916,9.094381,0.986216,0.165461
84.000000,83.376124,9.259890,0.986201,0.165553
85.000000,84.362318,9.425483,0.986188,0.165630
86.000000,85.348500,9.591146,0.986177,0.165694
87.000000,86.334673,9.756867,0.986169,0.165745
88.000000,87.320838,9.922633,0.986162,0.165786
89.000000,88.306997,10.088436,0.986156,0.165818
90.000000,89.293152,10.254267,0.986152,0.165843
91.000000,90.279302,10.420119,0.986149,0.165861
92.000000,91.265450,10.585987,0.986147,0.165874
93.000000,92.251596,10.751866,0.986145,0.165883
94.000000,93.237741,10.917753,0.986144,0.165889
95.000000,94.223884,11.083644,0.986144,0.165893
96.000000,95.210028,11.249538,0.986143,0.165895
97.000000,96.196172,11.415433,0.986143,0.165896
98.000000,97.182316,11.581329,0.986143,0.165896
99.000000,98.168459,11.747225,0.986143,0.165896
100.000000,99.154602,11.913121,0.986143,0.165896
