dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,0.000000,1.000000,0.000000
6.561680,6.561680,0.000000,1.000000,0.000000
9.842520,9.842520,0.000001,1.000000,0.000000
13.123360,13.123360,0.000004,1.000000,0.000001
16.404199,16.404199,0.000011,1.000000,0.000003
19.685039,19.685039,0.000028,1.000000,0.000007
22.965879,22.965879,0.000060,1.000000,0.000013
26.246719,26.246719,0.000117,1.000000,0.000022
29.527559,29.527559,0.000211,1.000000,0.000036
32.808399,32.808399,0.000356,1.000000,0.000054
36.089239,36.089239,0.000573,1.000000,0.000079
39.370079,39.370079,0.000883,1.000000,0.000112
42.650919,42.650919,0.001315,1.000000,0.000153
45.931759,45.931758,0.001900,1.000000,0.000205
49.212598,49.212598,0.002675,1.000000,0.000269
52.493438,52.493438,0.003683,1.000000,0.000347
55.774278,55.774278,0.004972,1.000000,0.000441
59.055118,59.055117,0.006595,1.000000,0.000552
62.335958,62.335956,0.008612,1.000000,0.000681
65.616798,65.616795,0.011090,1.000000,0.000832
68.897638,68.897634,0.014099,0.999999,0.001006
72.178478,72.178472,0.017720,0.999999,0.001205
75.459318,75.459309,0.022038,0.999999,0.001431
78.740157,78.740144,0.027145,0.999999,0.001687
82.020997,82.020979,0.033140,0.999998,0.001973
85.301837,85.301811,0.040129,0.999997,0.002293
88.582677,88.582641,0.048225,0.999996,0.002648
91.863517,91.863468,0.057548,0.999995,0.003041
95.144357,95.144290,0.068223,0.999994,0.003473
98.425197,98.425107,0.080385,0.999992,0.003947
101.706037,101.705919,0.094173,0.999990,0.004465
104.986877,104.986722,0.109733,0.999987,0.005028
108.267717,108.267515,0.127218,0.999984,0.005639
111.548556,111.548296,0.146787,0.999980,0.006299
114.829396,114.829063,0.168606,0.999975,0.007010
118.110236,118.109813,0.192844,0.999970,0.007774
121.391076,121.390544,0.219679,0.999963,0.008593
124.671916,124.671250,0.249291,0.999955,0.009468
127.952756,127.951928,0.281868,0.999946,0.010401
131.233596,131.232573,0.317601,0.999935,0.011392
134.514436,134.513180,0.356686,0.999923,0.012444
137.795276,137.793743,0.399321,0.999908,0.013557
141.076115,141.074254,0.445712,0.999891,0.014733
144.356955,144.354707,0.496063,0.999872,0.015972
147.637795,147.635094,0.550585,0.999851,0.017276
150.918635,150.915405,0.609491,0.999826,0.018644
154.199475,154.195630,0.672993,0.999798,0.020078
157.480315,157.475758,0.741308,0.999767,0.021578
160.761155,160.755778,0.814654,0.999732,0.023144
164.041995,164.035676,0.893247,0.999693,0.024777
167.322835,167.315438,0.977307,0.999649,0.026477
170.603675,170.595050,1.067052,0.999601,0.028243
173.884514,173.874495,1.162699,0.999548,0.030075
177.165354,177.153755,1.264465,0.999489,0.031973
180.446194,180.432813,1.372567,0.999424,0.033937
183.727034,183.711649,1.487217,0.999353,0.035965
187.007874,186.990241,1.608627,0.999276,0.038058
190.288714,190.268568,1.737007,0.999191,0.040213
193.569554,193.546605,1.872563,0.999099,0.042431
196.850394,196.824330,2.015496,0.999000,0.044711
200.131234,200.101715,2.166006,0.998893,0.047050
203.412073,203.378733,2.324288,0.998777,0.049448
206.692913,206.655358,2.490531,0.998652,0.051903
209.973753,209.931559,2.664922,0.998518,0.054414
213.254593,213.207306,2.847640,0.998375,0.056979
216.535433,216.482567,3.038860,0.998223,0.059597
219.816273,219.757311,3.238752,0.998060,0.062265
223.097113,223.031504,3.447478,0.997886,0.064982
226.377953,226.305110,3.665197,0.997703,0.067746
229.658793,229.578096,3.892058,0.997508,0.070555
232.939633,232.850425,4.128206,0.997302,0.073407
236.220472,236.122061,4.373778,0.997085,0.076300
239.501312,239.392965,4.628906,0.996856,0.079232
242.782152,242.663100,4.893713,0.996616,0.082200
246.062992,245.932426,5.168315,0.996364,0.085203
249.343832,249.200905,5.452824,0.996099,0.088238
252.624672,252.468498,5.747341,0.995823,0.091304
255.905512,255.735164,6.051963,0.995535,0.094398
259.186352,259.000863,6.366779,0.995234,0.097518
262.467192,262.265556,6.691870,0.994921,0.100662
265.748031,265.529201,7.027312,0.994595,0.103827
269.028871,268.791758,7.373174,0.994258,0.107013
272.309711,272.053188,7.729517,0.993908,0.110217
275.590551,275.313448,8.096397,0.993545,0.113436
278.871391,278.572500,8.473864,0.993171,0.116670
282.152231,281.830303,8.861961,0.992784,0.119916
285.433071,285.086818,9.260726,0.992385,0.123173
288.713911,288.342004,9.670192,0.991974,0.126439
291.994751,291.595823,10.090386,0.991552,0.129712
295.275591,294.848236,10.521330,0.991117,0.132992
298.556430,298.099203,10.963044,0.990671,0.136277
301.837270,301.348687,11.415540,0.990213,0.139565
305.118110,304.596650,11.878829,0.989743,0.142856
308.398950,307.843055,12.352917,0.989263,0.146148
311.679790,311.087863,12.837808,0.988771,0.149442
314.960630,314.331038,13.333504,0.988267,0.152735
318.241470,317.572544,13.840003,0.987753,0.156027
321.522310,320.812343,14.357302,0.987227,0.159318
324.803150,324.050401,14.885397,0.986691,0.162608
328.083990,327.286680,15.424283,0.986143,0.165896
