dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,-0.005468,0.999994,-0.003333
6.561680,6.561631,-0.021872,0.999978,-0.006667
9.842520,9.842356,-0.049212,0.999950,-0.010000
13.123360,13.122971,-0.087487,0.999911,-0.013333
16.404199,16.403440,-0.136697,0.999861,-0.016665
19.685039,19.683727,-0.196840,0.999800,-0.019998
22.965879,22.963796,-0.267914,0.999728,-0.023329
26.246719,26.243609,-0.349915,0.999645,-0.026659
29.527559,29.523131,-0.442840,0.999550,-0.029987
32.808399,32.802326,-0.546681,0.999445,-0.033314
36.089239,36.081157,-0.661432,0.999329,-0.036638
39.370079,39.359588,-0.787081,0.999201,-0.039958
42.650919,42.637584,-0.923616,0.999063,-0.043274
45.931759,45.915110,-1.071022,0.998914,-0.046584
49.212598,49.192129,-1.229280,0.998755,-0.049889
52.493438,52.468607,-1.398367,0.998585,-0.053186
55.774278,55.744510,-1.578259,0.998404,-0.056474
59.055118,59.019803,-1.768923,0.998213,-0.059753
62.335958,62.294454,-1.970328,0.998012,-0.063021
65.616798,65.568429,-2.182433,0.997801,-0.066276
68.897638,68.841696,-2.405195,0.997581,-0.069517
72.178478,72.114224,-2.638565,0.997351,-0.072743
75.459318,75.385983,-2.882490,0.997112,-0.075951
78.740157,78.656941,-3.136910,0.996863,-0.079140
82.020997,81.927072,-3.401761,0.996607,-0.082309
85.301837,85.196347,-3.676971,0.996342,-0.085456
88.582677,88.464741,-3.962466,0.996069,-0.088578
91.863517,91.732227,-4.258164,0.995789,-0.091675
95.144357,94.998781,-4.563977,0.995502,-0.094744
98.425197,98.264382,-4.879812,0.995208,-0.097784
101.706037,101.529009,-5.205569,0.994907,-0.100793
104.986877,104.792640,-5.541146,0.994601,-0.103769
108.267717,108.055259,-5.886430,0.994290,-0.106711
111.548556,111.316848,-6.241308,0.993974,-0.109616
114.829396,114.577393,-6.605658,0.993653,-0.112485
118.110236,117.836880,-6.979353,0.993329,-0.115314
121.391076,121.095297,-7.362264,0.993001,-0.118102
124.671916,124.352634,-7.754255,0.992671,-0.120848
127.952756,127.608883,-8.155186,0.992338,-0.123552
131.233596,130.864037,-8.564912,0.992004,-0.126210
134.514436,134.118091,-8.983286,0.991668,-0.128823
137.795276,137.371042,-9.410157,0.991331,-0.131389
141.076115,140.622887,-9.845368,0.990994,-0.133908
144.356955,143.873626,-10.288763,0.990657,-0.136378
147.637795,147.123261,-10.740181,0.990321,-0.138798
150.918635,150.371794,-11.199459,0.989985,-0.141169
154.199475,153.619230,-11.666433,0.989652,-0.143490
157.480315,156.865575,-12.140938,0.989320,-0.145760
160.761155,160.110834,-12.622806,0.988991,-0.147979
164.041995,163.355017,-13.111869,0.988664,-0.150146
167.322835,166.598133,-13.607961,0.988340,-0.152263
170.603675,169.840192,-14.110913,0.988020,-0.154328
173.884514,173.081205,-14.620558,0.987703,-0.156343
177.165354,176.321186,-15.136729,0.987390,-0.158307
180.446194,179.560146,-15.659263,0.987081,-0.160221
183.727034,182.798101,-16.187995,0.986777,-0.162086
187.007874,186.035064,-16.722764,0.986477,-0.163902
190.288714,189.271050,-17.263412,0.986181,-0.165669
193.569554,192.506075,-17.809783,0.985891,-0.167390
196.850394,195.740155,-18.361723,0.985605,-0.169065
200.131234,198.973304,-18.919084,0.985324,-0.170695
203.412073,202.205540,-19.481720,0.985048,-0.172281
206.692913,205.436878,-20.049489,0.984777,-0.173824
209.973753,208.667335,-20.622253,0.984510,-0.175327
213.254593,211.896925,-21.199881,0.984249,-0.176789
216.535433,215.125665,-21.782245,0.983992,-0.178213
219.816273,218.353570,-22.369221,0.983740,-0.179601
223.097113,221.580654,-22.960692,0.983492,-0.180954
226.377953,224.806931,-23.556545,0.983248,-0.182273
229.658793,228.032417,-24.156673,0.983008,-0.183560
232.939633,231.257122,-24.760975,0.982773,-0.184818
236.220472,234.481061,-25.369356,0.982541,-0.186047
239.501312,237.704245,-25.981725,0.982312,-0.187249
242.782152,240.926685,-26.597998,0.982087,-0.188427
246.062992,244.148390,-27.218095,0.981865,-0.189581
249.343832,247.369372,-27.841945,0.981646,-0.190714
252.624672,250.589637,-28.469480,0.981429,-0.191828
255.905512,253.809194,-29.100638,0.981214,-0.192923
259.186352,257.028051,-29.735361,0.981001,-0.194002
262.467192,260.246212,-30.373600,0.980790,-0.195066
265.748031,263.463683,-31.015307,0.980581,-0.196117
269.028871,266.680469,-31.660441,0.980372,-0.197155
272.309711,269.896573,-32.308966,0.980165,-0.198184
275.590551,273.111998,-32.960849,0.979958,-0.199203
278.871391,276.326746,-33.616061,0.979752,-0.200214
282.152231,279.540819,-34.274579,0.979547,-0.201218
285.433071,282.754217,-34.936382,0.979341,-0.202216
288.713911,285.966940,-35.601452,0.979135,-0.203210
291.994751,289.178988,-36.269775,0.978929,-0.204199
295.275591,292.390360,-36.941339,0.978723,-0.205186
298.556430,295.601055,-37.616134,0.978516,-0.206169
301.837270,298.811070,-38.294154,0.978309,-0.207151
305.118110,302.020404,-38.975393,0.978101,-0.208132
308.398950,305.229054,-39.659845,0.977892,-0.209111
311.679790,308.437017,-40.347510,0.977682,-0.210089
314.960630,311.644291,-41.038383,0.977472,-0.211067
318.241470,314.850872,-41.732464,0.977260,-0.212045
321.522310,318.056757,-42.429751,0.977047,-0.213022
324.803150,321.261943,-43.130244,0.976834,-0.213999
328.083990,324.466427,-43.833942,0.976619,-0.214975
