dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,-0.001667,0.999994,-0.003333
2.000000,1.999985,-0.006667,0.999978,-0.006667
3.000000,2.999950,-0.015000,0.999950,-0.010000
4.000000,3.999881,-0.026666,0.999911,-0.013333
5.000000,4.999769,-0.041665,0.999861,-0.016665
6.000000,5.999600,-0.059997,0.999800,-0.019998
7.000000,6.999365,-0.081660,0.999728,-0.023329
8.000000,7.999052,-0.106654,0.999645,-0.026659
9.000000,8.998650,-0.134978,0.999550,-0.029987
10.000000,9.998149,-0.166628,0.999445,-0.033314
11.000000,10.997537,-0.201604,0.999329,-0.036638
12.000000,11.996802,-0.239902,0.999201,-0.039958
13.000000,12.995936,-0.281518,0.999063,-0.043274
14.000000,13.994925,-0.326448,0.998914,-0.046584
15.000000,14.993761,-0.374685,0.998755,-0.049889
16.000000,15.992431,-0.426222,0.998585,-0.053186
17.000000,16.990927,-0.481053,0.998404,-0.056474
18.000000,17.989236,-0.539168,0.998213,-0.059753
19.000000,18.987350,-0.600556,0.998012,-0.063021
20.000000,19.985257,-0.665206,0.997801,-0.066276
21.000000,20.982949,-0.733103,0.997581,-0.069517
22.000000,21.980416,-0.804235,0.997351,-0.072743
23.000000,22.977647,-0.878583,0.997112,-0.075951
24.000000,23.974636,-0.956130,0.996863,-0.079140
25.000000,24.971372,-1.036857,0.996607,-0.082309
26.000000,25.967847,-1.120741,0.996342,-0.085456
27.000000,26.964053,-1.207760,0.996069,-0.088578
28.000000,27.959983,-1.297888,0.995789,-0.091675
29.000000,28.955629,-1.391100,0.995502,-0.094744
30.000000,29.950984,-1.487367,0.995208,-0.097784
31.000000,30.946042,-1.586658,0.994907,-0.100793
32.000000,31.940797,-1.688941,0.994601,-0.103769
33.000000,32.935243,-1.794184,0.994290,-0.106711
34.000000,33.929375,-1.902351,0.993974,-0.109616
35.000000,34.923189,-2.013404,0.993653,-0.112485
36.000000,35.916681,-2.127307,0.993329,-0.115314
37.000000,36.909846,-2.244018,0.993001,-0.118102
38.000000,37.902683,-2.363497,0.992671,-0.120848
39.000000,38.895188,-2.485701,0.992338,-0.123552
40.000000,39.887359,-2.610585,0.992004,-0.126210
41.000000,40.879194,-2.738106,0.991668,-0.128823
42.000000,41.870693,-2.868216,0.991331,-0.131389
43.000000,42.861856,-3.000868,0.990994,-0.133908
44.000000,43.852681,-3.136015,0.990657,-0.136378
45.000000,44.843170,-3.273607,0.990321,-0.138798
46.000000,45.833323,-3.413595,0.989985,-0.141169
47.000000,46.823141,-3.555929,0.989652,-0.143490
48.000000,47.812627,-3.700558,0.989320,-0.145760
49.000000,48.801782,-3.847431,0.988991,-0.147979
50.000000,49.790609,-3.996498,0.988664,-0.150146
51.000000,50.779111,-4.147707,0.988340,-0.152263
52.000000,51.767290,-4.301006,0.988020,-0.154328
53.000000,52.755151,-4.456346,0.987703,-0.156343
54.000000,53.742697,-4.613675,0.987390,-0.158307
55.000000,54.729933,-4.772943,0.987081,-0.160221
56.000000,55.716861,-4.934101,0.986777,-0.162086
57.000000,56.703487,-5.097098,0.986477,-0.163902
58.000000,57.689816,-5.261888,0.986181,-0.165669
59.000000,58.675852,-5.428422,0.985891,-0.167390
60.000000,59.661599,-5.596653,0.985605,-0.169065
61.000000,60.647063,-5.766537,0.985324,-0.170695
62.000000,61.632249,-5.938028,0.985048,-0.172281
63.000000,62.617161,-6.111084,0.984777,-0.173824
64.000000,63.601804,-6.285663,0.984510,-0.175327
65.000000,64.586183,-6.461724,0.984249,-0.176789
66.000000,65.570303,-6.639228,0.983992,-0.178213
67.000000,66.554168,-6.818139,0.983740,-0.179601
68.000000,67.537783,-6.998419,0.983492,-0.180954
69.000000,68.521153,-7.180035,0.983248,-0.182273
70.000000,69.504281,-7.362954,0.983008,-0.183560
71.000000,70.487171,-7.547145,0.982773,-0.184818
72.000000,71.469827,-7.732580,0.982541,-0.186047
73.000000,72.452254,-7.919230,0.982312,-0.187249
74.000000,73.434453,-8.107070,0.982087,-0.188427
75.000000,74.416429,-8.296075,0.981865,-0.189581
76.000000,75.398184,-8.486225,0.981646,-0.190714
77.000000,76.379721,-8.677498,0.981429,-0.191828
78.000000,77.361042,-8.869874,0.981214,-0.192923
79.000000,78.342150,-9.063338,0.981001,-0.194002
80.000000,79.323045,-9.257873,0.980790,-0.195066
81.000000,80.303731,-9.453466,0.980581,-0.196117
82.000000,81.284207,-9.650102,0.980372,-0.197155
83.000000,82.264475,-9.847773,0.980165,-0.198184
84.000000,83.244537,-10.046467,0.979958,-0.199203
85.000000,84.224392,-10.246175,0.979752,-0.200214
86.000000,85.204042,-10.446892,0.979547,-0.201218
87.000000,86.183485,-10.648609,0.979341,-0.202216
88.000000,87.162723,-10.851323,0.979135,-0.203210
89.000000,88.141756,-11.055027,0.978929,-0.204199
90.000000,89.120582,-11.259720,0.978723,-0.205186
91.000000,90.099202,-11.465398,0.978516,-0.206169
92.000000,91.077614,-11.672058,0.978309,-0.207151
93.000000,92.055819,-11.879700,0.978101,-0.208132
94.000000,93.033816,-12.088321,0.977892,-0.209111
95.000000,94.011603,-12.297921,0.977682,-0.210089
96.000000,94.989180,-12.508499,0.977472,-0.211067
97.000000,95.966546,-12.720055,0.977260,-0.212045
98.000000,96.943699,-12.932588,0.977047,-0.213022
99.000000,97.920640,-13.146098,0.976834,-0.213999
100.000000,98.897367,-13.360585,0.976619,-0.214975
