dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005468,0.999994,-0.003333
6.561667,6.561618,-0.021872,0.999978,-0.006667
9.842500,9.842336,-0.049212,0.999950,-0.010000
13.123333,13.122944,-0.087487,0.999911,-0.013333
16.404167,16.403407,-0.136697,0.999861,-0.016665
19.685000,19.683688,-0.196840,0.999800,-0.019998
22.965833,22.963750,-0.267913,0.999728,-0.023329
26.246667,26.243556,-0.349914,0.999645,-0.026659
29.527500,29.523072,-0.442839,0.999550,-0.029987
32.808333,32.802260,-0.546680,0.999445,-0.033314
36.089167,36.081085,-0.661430,0.999329,-0.036638
39.370000,39.359509,-0.787079,0.999201,-0.039958
42.650833,42.637499,-0.923614,0.999063,-0.043274
45.931667,45.915018,-1.071020,0.998914,-0.046584
49.212500,49.192030,-1.229277,0.998755,-0.049889
52.493333,52.468502,-1.398365,0.998585,-0.053186
55.774167,55.744398,-1.578255,0.998404,-0.056474
59.055000,59.019685,-1.768920,0.998213,-0.059753
62.335833,62.294330,-1.970324,0.998012,-0.063021
65.616667,65.568298,-2.182429,0.997801,-0.066276
68.897500,68.841559,-2.405190,0.997581,-0.069517
72.178333,72.114080,-2.638560,0.997351,-0.072743
75.459167,75.385832,-2.882484,0.997112,-0.075951
78.740000,78.656784,-3.136904,0.996863,-0.079140
82.020833,81.926908,-3.401754,0.996607,-0.082309
85.301667,85.196177,-3.676964,0.996342,-0.085456
88.582500,88.464564,-3.962459,0.996069,-0.088578
91.863333,91.732043,-4.258156,0.995789,-0.091675
95.144167,94.998591,-4.563968,0.995502,-0.094744
98.425000,98.264186,-4.879802,0.995208,-0.097784
101.705833,101.528805,-5.205559,0.994907,-0.100793
104.986667,104.792430,-5.541135,0.994601,-0.103769
108.267500,108.055043,-5.886419,0.994290,-0.106711
111.548333,111.316625,-6.241295,0.993974,-0.109616
114.829167,114.577164,-6.605644,0.993653,-0.112485
118.110000,117.836644,-6.979339,0.993329,-0.115314
121.390833,121.095055,-7.362250,0.993001,-0.118102
124.671667,124.352385,-7.754240,0.992671,-0.120848
127.952500,127.608628,-8.155170,0.992338,-0.123552
131.233333,130.863776,-8.564895,0.992004,-0.126210
134.514167,134.117823,-8.983268,0.991668,-0.128823
137.795000,137.370767,-9.410138,0.991331,-0.131389
141.075833,140.622605,-9.845348,0.990994,-0.133908
144.356667,143.873338,-10.288742,0.990657,-0.136378
147.637500,147.122966,-10.740159,0.990321,-0.138798
150.918333,150.371493,-11.199436,0.989985,-0.141169
154.199167,153.618923,-11.666410,0.989652,-0.143490
157.480000,156.865261,-12.140914,0.989320,-0.145760
160.760833,160.110514,-12.622781,0.988991,-0.147979
164.041667,163.354690,-13.111843,0.988664,-0.150146
167.322500,166.597800,-13.607934,0.988340,-0.152263
170.603333,169.839852,-14.110885,0.988020,-0.154328
173.884167,173.080859,-14.620528,0.987703,-0.156343
177.165000,176.320833,-15.136699,0.987390,-0.158307
180.445833,179.559787,-15.659231,0.987081,-0.160221
183.726667,182.797735,-16.187962,0.986777,-0.162086
187.007500,186.034692,-16.722731,0.986477,-0.163902
190.288333,189.270672,-17.263377,0.986181,-0.165669
193.569167,192.505690,-17.809747,0.985891,-0.167390
196.850000,195.739763,-18.361686,0.985605,-0.169065
200.130833,198.972906,-18.919046,0.985324,-0.170695
203.411667,202.205136,-19.481681,0.985048,-0.172281
206.692500,205.436467,-20.049448,0.984777,-0.173824
209.973333,208.666917,-20.622212,0.984510,-0.175327
213.254167,211.896501,-21.199839,0.984249,-0.176789
216.535000,215.125235,-21.782201,0.983992,-0.178213
219.815833,218.353133,-22.369176,0.983740,-0.179601
223.096667,221.580210,-22.960646,0.983492,-0.180954
226.377500,224.806482,-23.556497,0.983248,-0.182273
229.658333,228.031960,-24.156625,0.983008,-0.183560
232.939167,231.256660,-24.760926,0.982773,-0.184818
236.220000,234.480592,-25.369305,0.982541,-0.186047
239.500833,237.703770,-25.981673,0.982312,-0.187249
242.781667,240.926203,-26.597944,0.982087,-0.188427
246.062500,244.147902,-27.218041,0.981865,-0.189581
249.343333,247.368877,-27.841890,0.981646,-0.190714
252.624167,250.589136,-28.469423,0.981429,-0.191828
255.905000,253.808687,-29.100579,0.981214,-0.192923
259.185833,257.027536,-29.735302,0.981001,-0.194002
262.466667,260.245691,-30.373539,0.980790,-0.195066
265.747500,263.463156,-31.015245,0.980581,-0.196117
269.028333,266.679935,-31.660378,0.980372,-0.197155
272.309167,269.896033,-32.308901,0.980165,-0.198184
275.590000,273.111452,-32.960783,0.979958,-0.199203
278.870833,276.326193,-33.615994,0.979752,-0.200214
282.151667,279.540260,-34.274510,0.979547,-0.201218
285.432500,282.753651,-34.936312,0.979341,-0.202216
288.713333,285.966368,-35.601381,0.979135,-0.203210
291.994167,289.178410,-36.269702,0.978929,-0.204199
295.275000,292.389776,-36.941265,0.978723,-0.205186
298.555833,295.600464,-37.616059,0.978516,-0.206169
301.836667,298.810473,-38.294078,0.978309,-0.207151
305.117500,302.019800,-38.975315,0.978101,-0.208132
308.398333,305.228444,-39.659766,0.977892,-0.209111
311.679167,308.436400,-40.347429,0.977682,-0.210089
314.960000,311.643667,-41.038301,0.977472,-0.211067
318.240833,314.850242,-41.732380,0.977260,-0.212045
321.521667,318.056121,-42.429666,0.977047,-0.213022
324.802500,321.261301,-43.130158,0.976834,-0.213999
328.083333,324.465778,-43.833854,0.976619,-0.214975
