dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,-0.005468,0.999994,-0.003333
6.561680,6.561631,-0.021872,0.999978,-0.006667
9.842520,9.842356,-0.049212,0.999950,-0.010000
13.123360,13.122971,-0.087487,0.999911,-0.013333
16.404199,16.403440,-0.136697,0.999861,-0.016665
19.685039,19.683727,-0.196838,0.999800,-0.019997
22.965879,22.963796,-0.267910,0.999728,-0.023328
26.246719,26.243609,-0.349906,0.999645,-0.026657
29.527559,29.523131,-0.442822,0.999550,-0.029984
32.808399,32.802327,-0.546649,0.999445,-0.033308
36.089239,36.081158,-0.661376,0.999329,-0.036629
39.370079,39.359591,-0.786988,0.999202,-0.039944
42.650919,42.637590,-0.923470,0.999064,-0.043254
45.931759,45.915118,-1.070797,0.998916,-0.046556
49.212598,49.192143,-1.228946,0.998757,-0.049850
52.493438,52.468629,-1.397885,0.998587,-0.053133
55.774278,55.744543,-1.577577,0.998408,-0.056405
59.055118,59.019851,-1.767981,0.998219,-0.059663
62.335958,62.294523,-1.969049,0.998020,-0.062905
65.616798,65.568526,-2.180726,0.997811,-0.066130
68.897638,68.841829,-2.402950,0.997593,-0.069335
72.178478,72.114405,-2.635654,0.997367,-0.072518
75.459318,75.386224,-2.878761,0.997132,-0.075676
78.740157,78.657260,-3.132188,0.996890,-0.078808
82.020997,81.927487,-3.395845,0.996640,-0.081911
85.301837,85.196882,-3.669630,0.996382,-0.084983
88.582677,88.465422,-3.953439,0.996119,-0.088021
91.863517,91.733087,-4.247154,0.995849,-0.091022
95.144357,94.999858,-4.550653,0.995574,-0.093984
98.425197,98.265718,-4.863804,0.995294,-0.096905
101.706037,101.530651,-5.186467,0.995009,-0.099783
104.986877,104.794646,-5.518495,0.994721,-0.102613
108.267717,108.057690,-5.859731,0.994430,-0.105396
111.548556,111.319777,-6.210012,0.994137,-0.108127
114.829396,114.580898,-6.569167,0.993842,-0.110805
118.110236,117.841050,-6.937019,0.993546,-0.113428
121.391076,121.100230,-7.313382,0.993250,-0.115993
124.671916,124.358438,-7.698064,0.992954,-0.118499
127.952756,127.615678,-8.090866,0.992659,-0.120943
131.233596,130.871954,-8.491586,0.992366,-0.123325
134.514436,134.127271,-8.900013,0.992076,-0.125641
137.795276,137.381640,-9.315932,0.991788,-0.127892
141.076115,140.635071,-9.739124,0.991504,-0.130075
144.356955,143.887578,-10.169366,0.991225,-0.132189
147.637795,147.139174,-10.606430,0.990950,-0.134234
150.918635,150.389878,-11.050086,0.990680,-0.136207
154.199475,153.639708,-11.500101,0.990417,-0.138110
157.480315,156.888684,-11.956240,0.990160,-0.139940
160.761155,160.136828,-12.418266,0.989910,-0.141699
164.041995,163.384164,-12.885941,0.989667,-0.143384
167.322835,166.630715,-13.359028,0.989432,-0.144997
170.603675,169.876508,-13.837289,0.989205,-0.146538
173.884514,173.121571,-14.320486,0.988986,-0.148007
177.165354,176.365929,-14.808385,0.988776,-0.149404
180.446194,179.609613,-15.300749,0.988575,-0.150730
183.727034,182.852652,-15.797349,0.988383,-0.151986
187.007874,186.095074,-16.297956,0.988199,-0.153172
190.288714,189.336910,-16.802343,0.988025,-0.154291
193.569554,192.578191,-17.310291,0.987861,-0.155343
196.850394,195.818946,-17.821580,0.987705,-0.156329
200.131234,199.059205,-18.336001,0.987559,-0.157251
203.412073,202.298999,-18.853346,0.987421,-0.158112
206.692913,205.538357,-19.373413,0.987293,-0.158912
209.973753,208.777308,-19.896008,0.987173,-0.159653
213.254593,212.015881,-20.420943,0.987062,-0.160338
216.535433,215.254103,-20.948036,0.986959,-0.160969
219.816273,218.492002,-21.477112,0.986865,-0.161547
223.097113,221.729603,-22.008004,0.986778,-0.162076
226.377953,224.966933,-22.540553,0.986699,-0.162558
229.658793,228.204015,-23.074606,0.986627,-0.162994
232.939633,231.440871,-23.610020,0.986562,-0.163387
236.220472,234.677526,-24.146658,0.986503,-0.163741
239.501312,237.913997,-24.684393,0.986451,-0.164056
242.782152,241.150306,-25.223105,0.986404,-0.164337
246.062992,244.386472,-25.762682,0.986363,-0.164584
249.343832,247.622510,-26.303022,0.986327,-0.164802
252.624672,250.858437,-26.844027,0.986295,-0.164991
255.905512,254.094268,-27.385611,0.986268,-0.165155
259.186352,257.330015,-27.927693,0.986244,-0.165295
262.467192,260.565690,-28.470200,0.986224,-0.165414
265.748031,263.801305,-29.013068,0.986207,-0.165515
269.028871,267.036870,-29.556237,0.986193,-0.165599
272.309711,270.272392,-30.099657,0.986182,-0.165668
275.590551,273.507880,-30.643281,0.986172,-0.165724
278.871391,276.743340,-31.187070,0.986165,-0.165768
282.152231,279.978779,-31.730989,0.986159,-0.165804
285.433071,283.214200,-32.275011,0.986154,-0.165831
288.713911,286.449609,-32.819111,0.986151,-0.165851
291.994751,289.685006,-33.363270,0.986148,-0.165867
295.275591,292.920398,-33.907470,0.986146,-0.165877
298.556430,296.155784,-34.451700,0.986145,-0.165885
301.837270,299.391166,-34.995951,0.986144,-0.165890
305.118110,302.626547,-35.540214,0.986144,-0.165893
308.398950,305.861926,-36.084484,0.986143,-0.165895
311.679790,309.097305,-36.628759,0.986143,-0.165895
314.960630,312.332684,-37.173037,0.986143,-0.165896
318.241470,315.568063,-37.717315,0.986143,-0.165896
321.522310,318.803441,-38.261594,0.986143,-0.165896
324.803150,322.038819,-38.805872,0.986143,-0.165896
328.083990,325.274197,-39.350151,0.986143,-0.165896
