dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005468,0.999994,-0.003333
6.561667,6.561618,-0.021872,0.999978,-0.006667
9.842500,9.842336,-0.049212,0.999950,-0.010000
13.123333,13.122944,-0.087487,0.999911,-0.013333
16.404167,16.403407,-0.136696,0.999861,-0.016665
19.685000,19.683688,-0.196838,0.999800,-0.019997
22.965833,22.963750,-0.267909,0.999728,-0.023328
26.246667,26.243557,-0.349906,0.999645,-0.026657
29.527500,29.523072,-0.442821,0.999550,-0.029984
32.808333,32.802261,-0.546648,0.999445,-0.033308
36.089167,36.081086,-0.661374,0.999329,-0.036629
39.370000,39.359513,-0.786987,0.999202,-0.039944
42.650833,42.637504,-0.923468,0.999064,-0.043254
45.931667,45.915027,-1.070795,0.998916,-0.046556
49.212500,49.192045,-1.228944,0.998757,-0.049850
52.493333,52.468524,-1.397882,0.998587,-0.053133
55.774167,55.744431,-1.577574,0.998408,-0.056405
59.055000,59.019733,-1.767978,0.998219,-0.059663
62.335833,62.294398,-1.969045,0.998020,-0.062905
65.616667,65.568395,-2.180721,0.997811,-0.066130
68.897500,68.841692,-2.402945,0.997593,-0.069335
72.178333,72.114261,-2.635649,0.997367,-0.072518
75.459167,75.386073,-2.878755,0.997132,-0.075676
78.740000,78.657103,-3.132182,0.996890,-0.078808
82.020833,81.927323,-3.395838,0.996640,-0.081911
85.301667,85.196712,-3.669623,0.996382,-0.084983
88.582500,88.465245,-3.953431,0.996119,-0.088021
91.863333,91.732904,-4.247146,0.995849,-0.091022
95.144167,94.999668,-4.550644,0.995574,-0.093984
98.425000,98.265521,-4.863794,0.995294,-0.096905
101.705833,101.530448,-5.186457,0.995009,-0.099783
104.986667,104.794436,-5.518483,0.994721,-0.102613
108.267500,108.057474,-5.859719,0.994430,-0.105396
111.548333,111.319554,-6.209999,0.994137,-0.108127
114.829167,114.580669,-6.569154,0.993842,-0.110805
118.110000,117.840814,-6.937005,0.993546,-0.113428
121.390833,121.099988,-7.313367,0.993250,-0.115993
124.671667,124.358190,-7.698048,0.992954,-0.118499
127.952500,127.615423,-8.090850,0.992659,-0.120943
131.233333,130.871692,-8.491569,0.992366,-0.123325
134.514167,134.127003,-8.899995,0.992076,-0.125641
137.795000,137.381365,-9.315913,0.991788,-0.127892
141.075833,140.634790,-9.739105,0.991504,-0.130075
144.356667,143.887290,-10.169346,0.991225,-0.132189
147.637500,147.138880,-10.606409,0.990950,-0.134234
150.918333,150.389578,-11.050064,0.990680,-0.136207
154.199167,153.639401,-11.500078,0.990417,-0.138110
157.480000,156.888370,-11.956216,0.990160,-0.139940
160.760833,160.136508,-12.418241,0.989910,-0.141699
164.041667,163.383837,-12.885916,0.989667,-0.143384
167.322500,166.630382,-13.359002,0.989432,-0.144997
170.603333,169.876169,-13.837261,0.989205,-0.146538
173.884167,173.121224,-14.320458,0.988986,-0.148007
177.165000,176.365577,-14.808355,0.988776,-0.149404
180.445833,179.609254,-15.300719,0.988575,-0.150730
183.726667,182.852286,-15.797318,0.988383,-0.151986
187.007500,186.094702,-16.297923,0.988199,-0.153172
190.288333,189.336532,-16.802310,0.988025,-0.154291
193.569167,192.577806,-17.310256,0.987861,-0.155343
196.850000,195.818554,-17.821545,0.987705,-0.156329
200.130833,199.058807,-18.335964,0.987559,-0.157251
203.411667,202.298594,-18.853308,0.987421,-0.158112
206.692500,205.537946,-19.373374,0.987293,-0.158912
209.973333,208.776890,-19.895969,0.987173,-0.159653
213.254167,212.015457,-20.420903,0.987062,-0.160338
216.535000,215.253672,-20.947994,0.986959,-0.160969
219.815833,218.491565,-21.477069,0.986865,-0.161547
223.096667,221.729160,-22.007960,0.986778,-0.162076
226.377500,224.966483,-22.540508,0.986699,-0.162558
229.658333,228.203558,-23.074560,0.986627,-0.162994
232.939167,231.440409,-23.609972,0.986562,-0.163387
236.220000,234.677056,-24.146610,0.986503,-0.163741
239.500833,237.913521,-24.684344,0.986451,-0.164056
242.781667,241.149824,-25.223055,0.986404,-0.164337
246.062500,244.385983,-25.762631,0.986363,-0.164584
249.343333,247.622015,-26.302969,0.986327,-0.164802
252.624167,250.857936,-26.843973,0.986295,-0.164991
255.905000,254.093760,-27.385556,0.986268,-0.165155
259.185833,257.329500,-27.927637,0.986244,-0.165295
262.466667,260.565169,-28.470143,0.986224,-0.165414
265.747500,263.800778,-29.013010,0.986207,-0.165515
269.028333,267.036336,-29.556178,0.986193,-0.165599
272.309167,270.271851,-30.099597,0.986182,-0.165668
275.590000,273.507333,-30.643219,0.986172,-0.165724
278.870833,276.742787,-31.187007,0.986165,-0.165768
282.151667,279.978219,-31.730926,0.986159,-0.165804
285.432500,283.213634,-32.274947,0.986154,-0.165831
288.713333,286.449036,-32.819046,0.986151,-0.165851
291.994167,289.684427,-33.363203,0.986148,-0.165867
295.275000,292.919812,-33.907402,0.986146,-0.165877
298.555833,296.155192,-34.451631,0.986145,-0.165885
301.836667,299.390567,-34.995881,0.986144,-0.165890
305.117500,302.625942,-35.540142,0.986144,-0.165893
308.398333,305.861314,-36.084412,0.986143,-0.165895
311.679167,309.096687,-36.628686,0.986143,-0.165895
314.960000,312.332060,-37.172962,0.986143,-0.165896
318.240833,315.567431,-37.717240,0.986143,-0.165896
321.521667,318.802803,-38.261517,0.986143,-0.165896
324.802500,322.038175,-38.805795,0.986143,-0.165896
328.083333,325.273546,-39.350072,0.986143,-0.165896
