dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,0.001640,0.999999,0.001000
6.561667,6.561662,0.006562,0.999998,0.002000
9.842500,9.842485,0.014764,0.999995,0.003000
13.123333,13.123298,0.026247,0.999992,0.004000
16.404167,16.404098,0.041012,0.999987,0.005000
19.685000,19.684882,0.059059,0.999982,0.006001
22.965833,22.965646,0.080389,0.999975,0.007002
26.246667,26.246387,0.105006,0.999968,0.008004
29.527500,29.527101,0.132913,0.999959,0.009008
32.808333,32.807786,0.164115,0.999950,0.010013
36.089167,36.088438,0.198619,0.999939,0.011021
39.370000,39.369053,0.236433,0.999928,0.012031
42.650833,42.649628,0.277569,0.999915,0.013046
45.931667,45.930160,0.322041,0.999901,0.014065
49.212500,49.210644,0.369866,0.999886,0.015090
52.493333,52.491078,0.421065,0.999870,0.016122
55.774167,55.771457,0.475661,0.999853,0.017161
59.055000,59.051777,0.533682,0.999834,0.018210
62.335833,62.332034,0.595161,0.999814,0.019269
65.616667,65.612224,0.660134,0.999793,0.020341
68.897500,68.892342,0.728644,0.999770,0.021425
72.178333,72.172383,0.800735,0.999746,0.022524
75.459167,75.452342,0.876460,0.999721,0.023640
78.740000,78.732214,0.955875,0.999693,0.024774
82.020833,82.011992,1.039043,0.999664,0.025928
85.301667,85.291672,1.126030,0.999633,0.027103
88.582500,88.571246,1.216911,0.999599,0.028302
91.863333,91.850708,1.311765,0.999564,0.029525
95.144167,95.130050,1.410676,0.999526,0.030776
98.425000,98.409264,1.513735,0.999486,0.032054
101.705833,101.688342,1.621038,0.999443,0.033363
104.986667,104.967275,1.732686,0.999398,0.034704
108.267500,108.246053,1.848788,0.999349,0.036078
111.548333,111.524666,1.969456,0.999297,0.037487
114.829167,114.803103,2.094808,0.999242,0.038934
118.110000,118.081354,2.224967,0.999183,0.040418
121.390833,121.359404,2.360062,0.999120,0.041943
124.671667,124.637241,2.500226,0.999053,0.043508
127.952500,127.914852,2.645596,0.998982,0.045117
131.233333,131.192221,2.796314,0.998906,0.046769
134.514167,134.469333,2.952526,0.998825,0.048466
137.795000,137.746171,3.114380,0.998739,0.050209
141.075833,141.022718,3.282030,0.998647,0.051999
144.356667,144.298955,3.455631,0.998550,0.053837
147.637500,147.574862,3.635341,0.998446,0.055723
150.918333,150.850420,3.821322,0.998336,0.057659
154.199167,154.125605,4.013734,0.998220,0.059644
157.480000,157.400397,4.212743,0.998096,0.061680
160.760833,160.674770,4.418513,0.997965,0.063766
164.041667,163.948701,4.631210,0.997826,0.065903
167.322500,167.222163,4.851000,0.997679,0.068090
170.603333,170.495130,5.078049,0.997524,0.070328
173.884167,173.767573,5.312522,0.997360,0.072616
177.165000,177.039464,5.554585,0.997187,0.074954
180.445833,180.310772,5.804399,0.997005,0.077341
183.726667,183.581465,6.062127,0.996813,0.079778
187.007500,186.851513,6.327927,0.996611,0.082262
190.288333,190.120881,6.601957,0.996398,0.084795
193.569167,193.389536,6.884372,0.996176,0.087373
196.850000,196.657442,7.175320,0.995942,0.089997
200.130833,199.924563,7.474951,0.995697,0.092665
203.411667,203.190864,7.783407,0.995441,0.095377
206.692500,206.456305,8.100828,0.995174,0.098130
209.973333,209.720848,8.427349,0.994894,0.100924
213.254167,212.984456,8.763099,0.994603,0.103756
216.535000,216.247087,9.108205,0.994299,0.106626
219.815833,219.508702,9.462785,0.993983,0.109532
223.096667,222.769260,9.826956,0.993655,0.112472
226.377500,226.028720,10.200825,0.993314,0.115444
229.658333,229.287041,10.584497,0.992960,0.118448
232.939167,232.544181,10.978070,0.992594,0.121480
236.220000,235.800097,11.381636,0.992215,0.124539
239.500833,239.054749,11.795280,0.991823,0.127623
242.781667,242.308093,12.219083,0.991418,0.130731
246.062500,245.560088,12.653120,0.991000,0.133861
249.343333,248.810691,13.097459,0.990569,0.137011
252.624167,252.059861,13.552162,0.990126,0.140179
255.905000,255.307555,14.017287,0.989670,0.143364
259.185833,258.553732,14.492885,0.989201,0.146564
262.466667,261.798350,14.979003,0.988720,0.149776
265.747500,265.041368,15.475680,0.988226,0.153001
269.028333,268.282746,15.982953,0.987720,0.156235
272.309167,271.522444,16.500853,0.987201,0.159478
275.590000,274.760420,17.029405,0.986671,0.162729
278.870833,277.996635,17.568632,0.986128,0.165986
282.151667,281.231051,18.118552,0.985574,0.169247
285.432500,284.463628,18.679179,0.985007,0.172512
288.713333,287.694328,19.250523,0.984429,0.175780
291.994167,290.923113,19.832593,0.983840,0.179050
295.275000,294.149945,20.425392,0.983239,0.182321
298.555833,297.374788,21.028924,0.982627,0.185592
301.836667,300.597603,21.643187,0.982003,0.188863
305.117500,303.818354,22.268181,0.981369,0.192134
308.398333,307.037005,22.903902,0.980723,0.195402
311.679167,310.253521,23.550345,0.980066,0.198670
314.960000,313.467864,24.207505,0.979399,0.201935
318.240833,316.679998,24.875375,0.978720,0.205199
321.521667,319.889889,25.553948,0.978031,0.208460
324.802500,323.097499,26.243217,0.977331,0.211719
328.083333,326.302795,26.943174,0.976619,0.214975
