dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,0.001640,0.999999,0.001000
6.561680,6.561675,0.006562,0.999998,0.002000
9.842520,9.842505,0.014764,0.999995,0.003000
13.123360,13.123325,0.026247,0.999992,0.004000
16.404199,16.404131,0.041012,0.999987,0.005000
19.685039,19.684921,0.059059,0.999982,0.006001
22.965879,22.965692,0.080390,0.999975,0.007002
26.246719,26.246439,0.105007,0.999968,0.008004
29.527559,29.527160,0.132914,0.999959,0.009008
32.808399,32.807851,0.164116,0.999950,0.010013
36.089239,36.088510,0.198619,0.999939,0.011021
39.370079,39.369132,0.236433,0.999928,0.012031
42.650919,42.649713,0.277570,0.999915,0.013046
45.931759,45.930252,0.322042,0.999901,0.014065
49.212598,49.210743,0.369867,0.999886,0.015090
52.493438,52.491183,0.421065,0.999870,0.016122
55.774278,55.771569,0.475662,0.999853,0.017161
59.055118,59.051895,0.533683,0.999834,0.018210
62.335958,62.332159,0.595162,0.999814,0.019269
65.616798,65.612355,0.660136,0.999793,0.020341
68.897638,68.892480,0.728645,0.999770,0.021425
72.178478,72.172527,0.800737,0.999746,0.022524
75.459318,75.452493,0.876462,0.999721,0.023640
78.740157,78.732371,0.955877,0.999693,0.024774
82.020997,82.012156,1.039045,0.999664,0.025928
85.301837,85.291843,1.126033,0.999633,0.027103
88.582677,88.571423,1.216914,0.999599,0.028302
91.863517,91.850892,1.311768,0.999564,0.029525
95.144357,95.130240,1.410679,0.999526,0.030776
98.425197,98.409461,1.513738,0.999486,0.032054
101.706037,101.688545,1.621041,0.999443,0.033363
104.986877,104.967485,1.732690,0.999398,0.034704
108.267717,108.246269,1.848792,0.999349,0.036078
111.548556,111.524889,1.969460,0.999297,0.037487
114.829396,114.803333,2.094812,0.999242,0.038934
118.110236,118.081590,2.224972,0.999183,0.040418
121.391076,121.359647,2.360067,0.999120,0.041943
124.671916,124.637491,2.500231,0.999053,0.043508
127.952756,127.915108,2.645602,0.998982,0.045117
131.233596,131.192484,2.796320,0.998906,0.046769
134.514436,134.469602,2.952532,0.998825,0.048466
137.795276,137.746447,3.114386,0.998739,0.050209
141.076115,141.023000,3.282037,0.998647,0.051999
144.356955,144.299244,3.455638,0.998550,0.053837
147.637795,147.575158,3.635349,0.998446,0.055723
150.918635,150.850721,3.821329,0.998336,0.057659
154.199475,154.125914,4.013742,0.998220,0.059644
157.480315,157.400711,4.212751,0.998096,0.061680
160.761155,160.675092,4.418522,0.997965,0.063766
164.041995,163.949029,4.631219,0.997826,0.065903
167.322835,167.222498,4.851010,0.997679,0.068090
170.603675,170.495471,5.078059,0.997524,0.070328
173.884514,173.767921,5.312533,0.997360,0.072616
177.165354,177.039818,5.554596,0.997187,0.074954
180.446194,180.311132,5.804410,0.997005,0.077341
183.727034,183.581833,6.062139,0.996813,0.079778
187.007874,186.851887,6.327940,0.996611,0.082262
190.288714,190.121262,6.601971,0.996398,0.084795
193.569554,193.389923,6.884385,0.996176,0.087373
196.850394,196.657835,7.175335,0.995942,0.089997
200.131234,199.924963,7.474966,0.995697,0.092665
203.412073,203.191270,7.783423,0.995441,0.095377
206.692913,206.456718,8.100844,0.995174,0.098130
209.973753,209.721268,8.427366,0.994894,0.100924
213.254593,212.984882,8.763117,0.994603,0.103756
216.535433,216.247519,9.108223,0.994299,0.106626
219.816273,219.509141,9.462804,0.993983,0.109532
223.097113,222.769705,9.826975,0.993655,0.112472
226.377953,226.029172,10.200846,0.993314,0.115444
229.658793,229.287499,10.584519,0.992960,0.118448
232.939633,232.544646,10.978092,0.992594,0.121480
236.220472,235.800569,11.381659,0.992215,0.124539
239.501312,239.055227,11.795304,0.991823,0.127623
242.782152,242.308578,12.219108,0.991418,0.130731
246.062992,245.560579,12.653145,0.991000,0.133861
249.343832,248.811189,13.097485,0.990569,0.137011
252.624672,252.060365,13.552189,0.990126,0.140179
255.905512,255.308065,14.017315,0.989670,0.143364
259.186352,258.554249,14.492914,0.989201,0.146564
262.467192,261.798873,14.979033,0.988720,0.149776
265.748031,265.041898,15.475711,0.988226,0.153001
269.028871,268.283283,15.982985,0.987720,0.156235
272.309711,271.522987,16.500886,0.987201,0.159478
275.590551,274.760969,17.029439,0.986671,0.162729
278.871391,277.997191,17.568667,0.986128,0.165986
282.152231,281.231614,18.118588,0.985574,0.169247
285.433071,284.464197,18.679216,0.985007,0.172512
288.713911,287.694904,19.250562,0.984429,0.175780
291.994751,290.923695,19.832632,0.983840,0.179050
295.275591,294.150534,20.425433,0.983239,0.182321
298.556430,297.375382,21.028966,0.982627,0.185592
301.837270,300.598204,21.643231,0.982003,0.188863
305.118110,303.818962,22.268226,0.981369,0.192134
308.398950,307.037619,22.903948,0.980723,0.195402
311.679790,310.254142,23.550392,0.980066,0.198670
314.960630,313.468491,24.207553,0.979399,0.201935
318.241470,316.680632,24.875425,0.978720,0.205199
321.522310,319.890529,25.553999,0.978031,0.208460
324.803150,323.098146,26.243269,0.977331,0.211719
328.083990,326.303447,26.943228,0.976619,0.214975
