dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006667,0.999978,0.006667
3.000000,2.999950,0.015000,0.999950,0.010000
4.000000,3.999881,0.026666,0.999911,0.013333
5.000000,4.999769,0.041665,0.999861,0.016665
6.000000,5.999600,0.059996,0.999800,0.019997
7.000000,6.999365,0.081659,0.999728,0.023328
8.000000,7.999052,0.106651,0.999645,0.026657
9.000000,8.998650,0.134972,0.999550,0.029984
10.000000,9.998149,0.166619,0.999445,0.033308
11.000000,10.997537,0.201587,0.999329,0.036629
12.000000,11.996803,0.239874,0.999202,0.039944
13.000000,12.995937,0.281474,0.999064,0.043254
14.000000,13.994928,0.326379,0.998916,0.046556
15.000000,14.993765,0.374583,0.998757,0.049850
16.000000,15.992438,0.426075,0.998587,0.053133
17.000000,16.990937,0.480846,0.998408,0.056405
18.000000,17.989251,0.538881,0.998219,0.059663
19.000000,18.987371,0.600166,0.998020,0.062905
20.000000,19.985287,0.664685,0.997811,0.066130
21.000000,20.982990,0.732419,0.997593,0.069335
22.000000,21.980471,0.803347,0.997367,0.072518
23.000000,22.977721,0.877446,0.997132,0.075676
24.000000,23.974733,0.954691,0.996890,0.078808
25.000000,24.971498,1.035053,0.996640,0.081911
26.000000,25.968010,1.118503,0.996382,0.084983
27.000000,26.964261,1.205008,0.996119,0.088021
28.000000,27.960245,1.294533,0.995849,0.091022
29.000000,28.955957,1.387039,0.995574,0.093984
30.000000,29.951391,1.482487,0.995294,0.096905
31.000000,30.946542,1.580835,0.995009,0.099783
32.000000,31.941408,1.682037,0.994721,0.102613
33.000000,32.935984,1.786046,0.994430,0.105396
34.000000,33.930268,1.892812,0.994137,0.108127
35.000000,34.924258,2.002282,0.993842,0.110805
36.000000,35.917952,2.114403,0.993546,0.113428
37.000000,36.911350,2.229119,0.993250,0.115993
38.000000,37.904452,2.346370,0.992954,0.118499
39.000000,38.897259,2.466096,0.992659,0.120943
40.000000,39.889771,2.588235,0.992366,0.123325
41.000000,40.881992,2.712724,0.992076,0.125641
42.000000,41.873924,2.839496,0.991788,0.127892
43.000000,42.865570,2.968485,0.991504,0.130075
44.000000,43.856934,3.099623,0.991225,0.132189
45.000000,44.848020,3.232840,0.990950,0.134234
46.000000,45.838835,3.368066,0.990680,0.136207
47.000000,46.829383,3.505231,0.990417,0.138110
48.000000,47.819671,3.644262,0.990160,0.139940
49.000000,48.809705,3.785087,0.989910,0.141699
50.000000,49.799493,3.927635,0.989667,0.143384
51.000000,50.789042,4.071832,0.989432,0.144997
52.000000,51.778360,4.217606,0.989205,0.146538
53.000000,52.767455,4.364884,0.988986,0.148007
54.000000,53.756335,4.513596,0.988776,0.149404
55.000000,54.745010,4.663668,0.988575,0.150730
56.000000,55.733488,4.815032,0.988383,0.151986
57.000000,56.721779,4.967617,0.988199,0.153172
58.000000,57.709890,5.121354,0.988025,0.154291
59.000000,58.697833,5.276177,0.987861,0.155343
60.000000,59.685615,5.432018,0.987705,0.156329
61.000000,60.673246,5.588813,0.987559,0.157251
62.000000,61.660735,5.746500,0.987421,0.158112
63.000000,62.648091,5.905016,0.987293,0.158912
64.000000,63.635323,6.064303,0.987173,0.159653
65.000000,64.622440,6.224304,0.987062,0.160338
66.000000,65.609451,6.384961,0.986959,0.160969
67.000000,66.596362,6.546224,0.986865,0.161547
68.000000,67.583183,6.708040,0.986778,0.162076
69.000000,68.569921,6.870360,0.986699,0.162558
70.000000,69.556584,7.033140,0.986627,0.162994
71.000000,70.543178,7.196334,0.986562,0.163387
72.000000,71.529710,7.359901,0.986503,0.163741
73.000000,72.516186,7.523803,0.986451,0.164056
74.000000,73.502613,7.688002,0.986404,0.164337
75.000000,74.488997,7.852466,0.986363,0.164584
76.000000,75.475341,8.017161,0.986327,0.164802
77.000000,76.461652,8.182059,0.986295,0.164991
78.000000,77.447933,8.347134,0.986268,0.165155
79.000000,78.434188,8.512361,0.986244,0.165295
80.000000,79.420422,8.677717,0.986224,0.165414
81.000000,80.406638,8.843183,0.986207,0.165515
82.000000,81.392838,9.008741,0.986193,0.165599
83.000000,82.379025,9.174375,0.986182,0.165668
84.000000,83.365202,9.340072,0.986172,0.165724
85.000000,84.351370,9.505819,0.986165,0.165768
86.000000,85.337532,9.671606,0.986159,0.165804
87.000000,86.323688,9.837423,0.986154,0.165831
88.000000,87.309841,10.003265,0.986151,0.165851
89.000000,88.295990,10.169125,0.986148,0.165867
90.000000,89.282137,10.334997,0.986146,0.165877
91.000000,90.268283,10.500878,0.986145,0.165885
92.000000,91.254427,10.666766,0.986144,0.165890
93.000000,92.240572,10.832657,0.986144,0.165893
94.000000,93.226715,10.998551,0.986143,0.165895
95.000000,94.212859,11.164446,0.986143,0.165895
96.000000,95.199002,11.330342,0.986143,0.165896
97.000000,96.185145,11.496238,0.986143,0.165896
98.000000,97.171289,11.662134,0.986143,0.165896
99.000000,98.157432,11.828030,0.986143,0.165896
100.000000,99.143575,11.993926,0.986143,0.165896
