dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000000,1.000000,0.000000
2.000000,2.000000,0.000000,1.000000,0.000000
3.000000,3.000000,0.000000,1.000000,0.000000
4.000000,4.000000,0.000000,1.000000,0.000000
5.000000,5.000000,0.000001,1.000000,0.000001
6.000000,6.000000,0.000002,1.000000,0.000002
7.000000,7.000000,0.000004,1.000000,0.000003
8.000000,8.000000,0.000009,1.000000,0.000006
9.000000,9.000000,0.000018,1.000000,0.000011
10.000000,10.000000,0.000033,1.000000,0.000019
11.000000,11.000000,0.000057,1.000000,0.000030
12.000000,12.000000,0.000094,1.000000,0.000045
13.000000,13.000000,0.000149,1.000000,0.000066
14.000000,14.000000,0.000228,1.000000,0.000094
15.000000,15.000000,0.000339,1.000000,0.000130
16.000000,16.000000,0.000491,1.000000,0.000175
17.000000,17.000000,0.000693,1.000000,0.000232
18.000000,18.000000,0.000959,1.000000,0.000302
19.000000,19.000000,0.001301,1.000000,0.000387
20.000000,20.000000,0.001737,1.000000,0.000489
21.000000,21.000000,0.002285,1.000000,0.000610
22.000000,21.999999,0.002964,1.000000,0.000752
23.000000,22.999999,0.003797,1.000000,0.000918
24.000000,23.999998,0.004808,0.999999,0.001110
25.000000,24.999998,0.006026,0.999999,0.001330
26.000000,25.999997,0.007479,0.999999,0.001581
27.000000,26.999995,0.009199,0.999998,0.001865
28.000000,27.999993,0.011221,0.999998,0.002185
29.000000,28.999990,0.013582,0.999997,0.002543
30.000000,29.999987,0.016321,0.999996,0.002942
31.000000,30.999982,0.019481,0.999994,0.003384
32.000000,31.999975,0.023106,0.999993,0.003872
33.000000,32.999966,0.027242,0.999990,0.004408
34.000000,33.999955,0.031939,0.999988,0.004994
35.000000,34.999941,0.037248,0.999984,0.005633
36.000000,35.999923,0.043224,0.999980,0.006327
37.000000,36.999901,0.049922,0.999975,0.007078
38.000000,37.999873,0.057401,0.999969,0.007889
39.000000,38.999838,0.065720,0.999962,0.008760
40.000000,39.999796,0.074941,0.999953,0.009694
41.000000,40.999744,0.085129,0.999943,0.010692
42.000000,41.999681,0.096348,0.999931,0.011757
43.000000,42.999605,0.108664,0.999917,0.012889
44.000000,43.999514,0.122147,0.999901,0.014089
45.000000,44.999405,0.136866,0.999882,0.015359
46.000000,45.999277,0.152890,0.999861,0.016700
47.000000,46.999126,0.170291,0.999836,0.018113
48.000000,47.998948,0.189140,0.999808,0.019598
49.000000,48.998740,0.209510,0.999776,0.021155
50.000000,49.998499,0.231474,0.999740,0.022784
51.000000,50.998220,0.255103,0.999700,0.024487
52.000000,51.997898,0.280472,0.999655,0.026262
53.000000,52.997528,0.307652,0.999605,0.028110
54.000000,53.997105,0.336717,0.999549,0.030030
55.000000,54.996624,0.367736,0.999487,0.032021
56.000000,55.996078,0.400783,0.999419,0.034083
57.000000,56.995460,0.435926,0.999344,0.036214
58.000000,57.994763,0.473234,0.999262,0.038414
59.000000,58.993981,0.512776,0.999172,0.040681
60.000000,59.993105,0.554618,0.999074,0.043014
61.000000,60.992127,0.598825,0.998968,0.045411
62.000000,61.991039,0.645461,0.998854,0.047870
63.000000,62.989831,0.694587,0.998730,0.050391
64.000000,63.988495,0.746262,0.998596,0.052969
65.000000,64.987020,0.800544,0.998453,0.055605
66.000000,65.985397,0.857490,0.998299,0.058295
67.000000,66.983615,0.917151,0.998136,0.061037
68.000000,67.981665,0.979580,0.997961,0.063829
69.000000,68.979533,1.044825,0.997775,0.066668
70.000000,69.977211,1.112932,0.997578,0.069553
71.000000,70.974686,1.183944,0.997370,0.072480
72.000000,71.971947,1.257904,0.997150,0.075447
73.000000,72.968982,1.334850,0.996918,0.078451
74.000000,73.965779,1.414819,0.996674,0.081491
75.000000,74.962326,1.497842,0.996418,0.084562
76.000000,75.958611,1.583953,0.996150,0.087664
77.000000,76.954622,1.673179,0.995870,0.090793
78.000000,77.950347,1.765547,0.995577,0.093947
79.000000,78.945773,1.861080,0.995272,0.097123
80.000000,79.940888,1.959800,0.994955,0.100319
81.000000,80.935679,2.061725,0.994626,0.103534
82.000000,81.930135,2.166873,0.994284,0.106764
83.000000,82.924244,2.275258,0.993931,0.110009
84.000000,83.917993,2.386894,0.993565,0.113265
85.000000,84.911370,2.501791,0.993187,0.116531
86.000000,85.904363,2.619959,0.992797,0.119805
87.000000,86.896960,2.741404,0.992396,0.123087
88.000000,87.889151,2.866134,0.991983,0.126373
89.000000,88.880922,2.994152,0.991558,0.129664
90.000000,89.872263,3.125462,0.991122,0.132957
91.000000,90.863162,3.260067,0.990674,0.136253
92.000000,91.853607,3.397969,0.990215,0.139550
93.000000,92.843588,3.539167,0.989745,0.142846
94.000000,93.833093,3.683661,0.989263,0.146143
95.000000,94.822111,3.831452,0.988771,0.149439
96.000000,95.810631,3.982539,0.988267,0.152733
97.000000,96.798642,4.136919,0.987753,0.156027
98.000000,97.786133,4.294591,0.987227,0.159318
99.000000,98.773093,4.455555,0.986691,0.162608
100.000000,99.759511,4.619807,0.986143,0.165896
