DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,10.000000,0.999988,0.000000,-0.005000,0.000000,1.000000,0.000000,0.005000,0.000000,0.999988
1.000000,1.000000,0.000000,9.994975,0.999987,0.000000,-0.005050,0.000000,1.000000,0.000000,0.005050,0.000000,0.999987
2.000000,2.000000,0.000000,9.989900,0.999987,0.000000,-0.005100,0.000000,1.000000,0.000000,0.005100,0.000000,0.999987
3.000000,3.000000,0.000000,9.984775,0.999987,0.000000,-0.005150,0.000000,1.000000,0.000000,0.005150,0.000000,0.999987
4.000000,4.000000,0.000000,9.979600,0.999986,0.000000,-0.005200,0.000000,1.000000,0.000000,0.005200,0.000000,0.999986
5.000000,5.000000,0.000000,9.974375,0.999986,0.000000,-0.005250,0.000000,1.000000,0.000000,0.005250,0.000000,0.999986
6.000000,6.000000,0.000000,9.969100,0.999986,0.000000,-0.005300,0.000000,1.000000,0.000000,0.005300,0.000000,0.999986
7.000000,7.000000,0.000000,9.963775,0.999986,0.000000,-0.005350,0.000000,1.000000,0.000000,0.005350,0.000000,0.999986
8.000000,8.000000,0.000000,9.958400,0.999985,0.000000,-0.005400,0.000000,1.000000,0.000000,0.005400,0.000000,0.999985
9.000000,9.000000,0.000000,9.952975,0.999985,0.000000,-0.005450,0.000000,1.000000,0.000000,0.005450,0.000000,0.999985
10.000000,10.000000,0.000000,9.947500,0.999985,0.000000,-0.005500,0.000000,1.000000,0.000000,0.005500,0.000000,0.999985
11.000000,11.000000,0.000000,9.941975,0.999985,0.000000,-0.005550,0.000000,1.000000,0.000000,0.005550,0.000000,0.999985
12.000000,12.000000,0.000000,9.936400,0.999984,0.000000,-0.005600,0.000000,1.000000,0.000000,0.005600,0.000000,0.999984
13.000000,13.000000,0.000000,9.930775,0.999984,0.000000,-0.005650,0.000000,1.000000,0.000000,0.005650,0.000000,0.999984
14.000000,14.000000,0.000000,9.925100,0.999984,0.000000,-0.005700,0.000000,1.000000,0.000000,0.005700,0.000000,0.999984
15.000000,15.000000,0.000000,9.919375,0.999983,0.000000,-0.005750,0.000000,1.000000,0.000000,0.005750,0.000000,0.999983
16.000000,16.000000,0.000000,9.913600,0.999983,0.000000,-0.005800,0.000000,1.000000,0.000000,0.005800,0.000000,0.999983
17.000000,17.000000,0.000000,9.907775,0.999983,0.000000,-0.005850,0.000000,1.000000,0.000000,0.005850,0.000000,0.999983
18.000000,18.000000,0.000000,9.901900,0.999983,0.000000,-0.005900,0.000000,1.000000,0.000000,0.005900,0.000000,0.999983
19.000000,19.000000,0.000000,9.895975,0.999982,0.000000,-0.005950,0.000000,1.000000,0.000000,0.005950,0.000000,0.999982
20.000000,20.000000,0.000000,9.890000,0.999982,0.000000,-0.006000,0.000000,1.000000,0.000000,0.006000,0.000000,0.999982
21.000000,21.000000,0.000000,9.883975,0.999982,0.000000,-0.006050,0.000000,1.000000,0.000000,0.006050,0.000000,0.999982
22.000000,22.000000,0.000000,9.877901,0.999981,0.000000,-0.006100,0.000000,1.000000,0.000000,0.006100,0.000000,0.999981
23.000000,23.000000,0.000000,9.871776,0.999981,0.000000,-0.006150,0.000000,1.000000,0.000000,0.006150,0.000000,0.999981
24.000000,24.000000,0.000000,9.865601,0.999981,0.000000,-0.006200,0.000000,1.000000,0.000000,0.006200,0.000000,0.999981
25.000000,25.000000,0.000000,9.859376,0.999980,0.000000,-0.006250,0.000000,1.000000,0.000000,0.006250,0.000000,0.999980
26.000000,26.000000,0.000000,9.853101,0.999980,0.000000,-0.006300,0.000000,1.000000,0.000000,0.006300,0.000000,0.999980
27.000000,27.000000,0.000000,9.846776,0.999980,0.000000,-0.006350,0.000000,1.000000,0.000000,0.006350,0.000000,0.999980
28.000000,28.000000,0.000000,9.840401,0.999980,0.000000,-0.006400,0.000000,1.000000,0.000000,0.006400,0.000000,0.999980
29.000000,29.000000,0.000000,9.833976,0.999979,0.000000,-0.006450,0.000000,1.000000,0.000000,0.006450,0.000000,0.999979
