DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,10.000000,0.999950,0.000000,0.010000,0.000000,1.000000,0.000000,-0.010000,0.000000,0.999950
1.000000,1.000000,0.000000,10.009925,0.999951,0.000000,0.009850,0.000000,1.000000,0.000000,-0.009850,0.000000,0.999951
2.000000,2.000000,0.000000,10.019700,0.999953,0.000000,0.009700,0.000000,1.000000,0.000000,-0.009700,0.000000,0.999953
3.000000,3.000000,0.000000,10.029325,0.999954,0.000000,0.009550,0.000000,1.000000,0.000000,-0.009550,0.000000,0.999954
4.000000,4.000000,0.000000,10.038800,0.999956,0.000000,0.009400,0.000000,1.000000,0.000000,-0.009400,0.000000,0.999956
5.000000,5.000000,0.000000,10.048125,0.999957,0.000000,0.009250,0.000000,1.000000,0.000000,-0.009250,0.000000,0.999957
6.000000,6.000000,0.000000,10.057300,0.999959,0.000000,0.009100,0.000000,1.000000,0.000000,-0.009100,0.000000,0.999959
7.000000,7.000000,0.000000,10.066325,0.999960,0.000000,0.008950,0.000000,1.000000,0.000000,-0.008950,0.000000,0.999960
8.000000,8.000000,0.000000,10.075200,0.999961,0.000000,0.008800,0.000000,1.000000,0.000000,-0.008800,0.000000,0.999961
9.000000,9.000000,0.000000,10.083924,0.999963,0.000000,0.008650,0.000000,1.000000,0.000000,-0.008650,0.000000,0.999963
10.000000,10.000000,0.000000,10.092499,0.999964,0.000000,0.008500,0.000000,1.000000,0.000000,-0.008500,0.000000,0.999964
11.000000,11.000000,0.000000,10.100924,0.999965,0.000000,0.008350,0.000000,1.000000,0.000000,-0.008350,0.000000,0.999965
12.000000,12.000000,0.000000,10.109199,0.999966,0.000000,0.008200,0.000000,1.000000,0.000000,-0.008200,0.000000,0.999966
13.000000,13.000000,0.000000,10.117324,0.999968,0.000000,0.008050,0.000000,1.000000,0.000000,-0.008050,0.000000,0.999968
14.000000,14.000000,0.000000,10.125299,0.999969,0.000000,0.007900,0.000000,1.000000,0.000000,-0.007900,0.000000,0.999969
15.000000,15.000000,0.000000,10.133123,0.999970,0.000000,0.007750,0.000000,1.000000,0.000000,-0.007750,0.000000,0.999970
16.000000,16.000000,0.000000,10.140798,0.999971,0.000000,0.007600,0.000000,1.000000,0.000000,-0.007600,0.000000,0.999971
17.000000,17.000000,0.000000,10.148323,0.999972,0.000000,0.007450,0.000000,1.000000,0.000000,-0.007450,0.000000,0.999972
18.000000,18.000000,0.000000,10.155698,0.999973,0.000000,0.007300,0.000000,1.000000,0.000000,-0.007300,0.000000,0.999973
19.000000,19.000000,0.000000,10.162923,0.999974,0.000000,0.007150,0.000000,1.000000,0.000000,-0.007150,0.000000,0.999974
20.000000,20.000000,0.000000,10.169997,0.999976,0.000000,0.007000,0.000000,1.000000,0.000000,-0.007000,0.000000,0.999976
21.000000,21.000000,0.000000,10.176922,0.999977,0.000000,0.006850,0.000000,1.000000,0.000000,-0.006850,0.000000,0.999977
22.000000,22.000000,0.000000,10.183697,0.999978,0.000000,0.006700,0.000000,1.000000,0.000000,-0.006700,0.000000,0.999978
23.000000,23.000000,0.000000,10.190322,0.999979,0.000000,0.006550,0.000000,1.000000,0.000000,-0.006550,0.000000,0.999979
24.000000,24.000000,0.000000,10.196797,0.999980,0.000000,0.006400,0.000000,1.000000,0.000000,-0.006400,0.000000,0.999980
25.000000,25.000000,0.000000,10.203121,0.999980,0.000000,0.006250,0.000000,1.000000,0.000000,-0.006250,0.000000,0.999980
