dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.894427,-0.447214
3.280840,31.162012,0.893123,-0.449813
6.561680,29.503657,0.891809,-0.452411
9.842520,27.833279,0.890486,-0.455010
13.123360,26.150827,0.889153,-0.457609
16.404199,24.456244,0.887811,-0.460208
19.685039,22.749477,0.886459,-0.462807
22.965879,21.030469,0.885097,-0.465406
26.246719,19.299164,0.883726,-0.468005
29.527559,17.555504,0.882345,-0.470604
32.808399,15.799431,0.880953,-0.473203
36.089239,14.030887,0.879553,-0.475802
39.370079,12.249812,0.878142,-0.478401
42.650919,10.456144,0.876721,-0.481000
45.931759,8.649824,0.875290,-0.483599
49.212598,6.830788,0.873849,-0.486198
52.493438,4.998974,0.872398,-0.488797
55.774278,3.154317,0.870937,-0.491395
59.055118,1.296754,0.869465,-0.493994
62.335958,-0.573782,0.867983,-0.496593
65.616798,-2.457357,0.866491,-0.499192
68.897638,-4.354038,0.864989,-0.501791
72.178478,-6.263895,0.863476,-0.504390
75.459318,-8.186996,0.861953,-0.506989
78.740157,-10.123411,0.860419,-0.509588
82.020997,-12.073213,0.858874,-0.512187
85.301837,-14.036473,0.857319,-0.514786
88.582677,-16.013265,0.855753,-0.517385
91.863517,-18.003663,0.854176,-0.519984
95.144357,-20.007743,0.852589,-0.522583
98.425197,-22.025582,0.850990,-0.525182
101.706037,-24.057256,0.849381,-0.527780
104.986877,-26.102845,0.847760,-0.530379
108.267717,-28.162428,0.846129,-0.532978
111.548556,-30.236088,0.844486,-0.535577
114.829396,-32.323905,0.842832,-0.538176
118.110236,-34.425964,0.841167,-0.540775
121.391076,-36.542350,0.839491,-0.543374
124.671916,-38.673148,0.837803,-0.545973
127.952756,-40.818445,0.836103,-0.548572
131.233596,-42.978331,0.834392,-0.551171
134.514436,-45.152895,0.832670,-0.553770
137.795276,-47.342229,0.830936,-0.556369
141.076115,-49.546424,0.829189,-0.558968
144.356955,-51.765576,0.827432,-0.561567
147.637795,-53.999780,0.825662,-0.564166
150.918635,-56.249132,0.823880,-0.566764
154.199475,-58.513731,0.822086,-0.569363
157.480315,-60.793678,0.820280,-0.571962
160.761155,-63.089074,0.818462,-0.574561
164.041995,-65.400022,0.816631,-0.577160
167.322835,-67.726627,0.814788,-0.579759
170.603675,-70.068995,0.812932,-0.582358
173.884514,-72.427235,0.811064,-0.584957
177.165354,-74.801456,0.809184,-0.587556
180.446194,-77.191771,0.807290,-0.590155
183.727034,-79.598292,0.805384,-0.592754
187.007874,-82.021135,0.803464,-0.595353
190.288714,-84.460418,0.801532,-0.597952
193.569554,-86.916259,0.799587,-0.600551
196.850394,-89.388780,0.797628,-0.603150
200.131234,-91.878104,0.795656,-0.605748
203.412073,-94.384356,0.793671,-0.608347
206.692913,-96.907663,0.791672,-0.610946
209.973753,-99.448155,0.789660,-0.613545
213.254593,-102.005964,0.787633,-0.616144
216.535433,-104.581224,0.785593,-0.618743
219.816273,-107.174070,0.783539,-0.621342
223.097113,-109.784643,0.781471,-0.623941
226.377953,-112.413082,0.779389,-0.626540
229.658793,-115.059531,0.777293,-0.629139
232.939633,-117.724137,0.775182,-0.631738
236.220472,-120.407048,0.773057,-0.634337
239.501312,-123.108415,0.770917,-0.636936
242.782152,-125.828393,0.768762,-0.639535
246.062992,-128.567139,0.766593,-0.642133
249.343832,-131.324812,0.764408,-0.644732
252.624672,-134.101576,0.762209,-0.647331
255.905512,-136.897595,0.759994,-0.649930
259.186352,-139.713039,0.757764,-0.652529
262.467192,-142.548080,0.755518,-0.655128
265.748031,-145.402893,0.753256,-0.657727
269.028871,-148.277657,0.750979,-0.660326
272.309711,-151.172553,0.748686,-0.662925
275.590551,-154.087767,0.746377,-0.665524
278.871391,-157.023490,0.744051,-0.668123
282.152231,-159.979912,0.741709,-0.670722
285.433071,-162.957232,0.739351,-0.673321
288.713911,-165.955649,0.736975,-0.675920
291.994751,-168.975369,0.734583,-0.678519
295.275591,-172.016600,0.732174,-0.681117
298.556430,-175.079555,0.729748,-0.683716
301.837270,-178.164451,0.727304,-0.686315
305.118110,-181.271512,0.724843,-0.688914
308.398950,-184.400962,0.722364,-0.691513
311.679790,-187.553034,0.719867,-0.694112
314.960630,-190.727963,0.717352,-0.696711
318.241470,-193.925991,0.714819,-0.699310
321.522310,-197.147365,0.712267,-0.701909
324.803150,-200.392336,0.709696,-0.704508
328.083990,-203.661161,0.707107,-0.707107
