dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.999988,-0.005000
1.000000,9.994975,0.999987,-0.005050
2.000000,9.989900,0.999987,-0.005100
3.000000,9.984775,0.999987,-0.005150
4.000000,9.979600,0.999986,-0.005200
5.000000,9.974375,0.999986,-0.005250
6.000000,9.969100,0.999986,-0.005300
7.000000,9.963775,0.999986,-0.005350
8.000000,9.958400,0.999985,-0.005400
9.000000,9.952975,0.999985,-0.005450
10.000000,9.947500,0.999985,-0.005500
11.000000,9.941975,0.999985,-0.005550
12.000000,9.936400,0.999984,-0.005600
13.000000,9.930775,0.999984,-0.005650
14.000000,9.925100,0.999984,-0.005700
15.000000,9.919375,0.999983,-0.005750
16.000000,9.913600,0.999983,-0.005800
17.000000,9.907775,0.999983,-0.005850
18.000000,9.901900,0.999983,-0.005900
19.000000,9.895975,0.999982,-0.005950
20.000000,9.890000,0.999982,-0.006000
21.000000,9.883975,0.999982,-0.006050
22.000000,9.877901,0.999981,-0.006100
23.000000,9.871776,0.999981,-0.006150
24.000000,9.865601,0.999981,-0.006200
25.000000,9.859376,0.999980,-0.006250
26.000000,9.853101,0.999980,-0.006300
27.000000,9.846776,0.999980,-0.006350
28.000000,9.840401,0.999980,-0.006400
29.000000,9.833976,0.999979,-0.006450
30.000000,9.827501,0.999979,-0.006500
31.000000,9.820976,0.999979,-0.006550
32.000000,9.814401,0.999978,-0.006600
33.000000,9.807776,0.999978,-0.006650
34.000000,9.801101,0.999978,-0.006700
35.000000,9.794376,0.999977,-0.006750
36.000000,9.787601,0.999977,-0.006800
37.000000,9.780776,0.999977,-0.006850
38.000000,9.773901,0.999976,-0.006900
39.000000,9.766976,0.999976,-0.006950
40.000000,9.760002,0.999976,-0.007000
41.000000,9.752977,0.999975,-0.007050
42.000000,9.745902,0.999975,-0.007100
43.000000,9.738777,0.999974,-0.007150
44.000000,9.731602,0.999974,-0.007200
45.000000,9.724377,0.999974,-0.007250
46.000000,9.717102,0.999973,-0.007300
47.000000,9.709777,0.999973,-0.007350
48.000000,9.702402,0.999973,-0.007400
49.000000,9.694977,0.999972,-0.007450
50.000000,9.687502,0.999972,-0.007500
51.000000,9.679977,0.999972,-0.007550
52.000000,9.672402,0.999971,-0.007600
53.000000,9.664777,0.999971,-0.007650
54.000000,9.657103,0.999970,-0.007700
55.000000,9.649378,0.999970,-0.007750
56.000000,9.641603,0.999970,-0.007800
57.000000,9.633778,0.999969,-0.007850
58.000000,9.625903,0.999969,-0.007900
59.000000,9.617978,0.999968,-0.007950
60.000000,9.610003,0.999968,-0.008000
61.000000,9.601978,0.999968,-0.008050
62.000000,9.593903,0.999967,-0.008100
63.000000,9.585778,0.999967,-0.008150
64.000000,9.577603,0.999966,-0.008200
65.000000,9.569378,0.999966,-0.008250
66.000000,9.561103,0.999966,-0.008300
67.000000,9.552778,0.999965,-0.008350
68.000000,9.544403,0.999965,-0.008400
69.000000,9.535979,0.999964,-0.008450
70.000000,9.527504,0.999964,-0.008500
71.000000,9.518979,0.999963,-0.008550
72.000000,9.510404,0.999963,-0.008600
73.000000,9.501779,0.999963,-0.008650
74.000000,9.493104,0.999962,-0.008700
75.000000,9.484379,0.999962,-0.008750
76.000000,9.475604,0.999961,-0.008800
77.000000,9.466779,0.999961,-0.008850
78.000000,9.457904,0.999960,-0.008900
79.000000,9.448979,0.999960,-0.008950
80.000000,9.440004,0.999960,-0.009000
81.000000,9.430979,0.999959,-0.009050
82.000000,9.421904,0.999959,-0.009100
83.000000,9.412779,0.999958,-0.009150
84.000000,9.403604,0.999958,-0.009200
85.000000,9.394379,0.999957,-0.009250
86.000000,9.385104,0.999957,-0.009300
87.000000,9.375779,0.999956,-0.009350
88.000000,9.366404,0.999956,-0.009400
89.000000,9.356980,0.999955,-0.009450
90.000000,9.347505,0.999955,-0.009500
91.000000,9.337980,0.999954,-0.009550
92.000000,9.328405,0.999954,-0.009600
93.000000,9.318780,0.999953,-0.009650
94.000000,9.309105,0.999953,-0.009700
95.000000,9.299380,0.999952,-0.009750
96.000000,9.289605,0.999952,-0.009800
97.000000,9.279780,0.999951,-0.009850
98.000000,9.269905,0.999951,-0.009900
99.000000,9.259980,0.999951,-0.009950
100.000000,9.250005,0.999950,-0.010000
