dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.999988,-0.005000
3.280833,32.791847,0.999987,-0.005050
6.561667,32.775197,0.999987,-0.005100
9.842500,32.758383,0.999987,-0.005150
13.123333,32.741404,0.999986,-0.005200
16.404167,32.724262,0.999986,-0.005250
19.685000,32.706956,0.999986,-0.005300
22.965833,32.689485,0.999986,-0.005350
26.246667,32.671851,0.999985,-0.005400
29.527500,32.654052,0.999985,-0.005450
32.808333,32.636090,0.999985,-0.005500
36.089167,32.617963,0.999985,-0.005550
39.370000,32.599673,0.999984,-0.005600
42.650833,32.581218,0.999984,-0.005650
45.931667,32.562600,0.999984,-0.005700
49.212500,32.543817,0.999983,-0.005750
52.493333,32.524870,0.999983,-0.005800
55.774167,32.505760,0.999983,-0.005850
59.055000,32.486485,0.999983,-0.005900
62.335833,32.467046,0.999982,-0.005950
65.616667,32.447443,0.999982,-0.006000
68.897500,32.427676,0.999982,-0.006050
72.178333,32.407745,0.999981,-0.006100
75.459167,32.387650,0.999981,-0.006150
78.740000,32.367391,0.999981,-0.006200
82.020833,32.346968,0.999980,-0.006250
85.301667,32.326381,0.999980,-0.006300
88.582500,32.305630,0.999980,-0.006350
91.863333,32.284715,0.999980,-0.006400
95.144167,32.263636,0.999979,-0.006450
98.425000,32.242393,0.999979,-0.006500
101.705833,32.220985,0.999979,-0.006550
104.986667,32.199414,0.999978,-0.006600
108.267500,32.177679,0.999978,-0.006650
111.548333,32.155779,0.999978,-0.006700
114.829167,32.133716,0.999977,-0.006750
118.110000,32.111489,0.999977,-0.006800
121.390833,32.089097,0.999977,-0.006850
124.671667,32.066542,0.999976,-0.006900
127.952500,32.043822,0.999976,-0.006950
131.233333,32.020938,0.999976,-0.007000
134.514167,31.997891,0.999975,-0.007050
137.795000,31.974679,0.999975,-0.007100
141.075833,31.951303,0.999974,-0.007150
144.356667,31.927764,0.999974,-0.007200
147.637500,31.904060,0.999974,-0.007250
150.918333,31.880192,0.999973,-0.007300
154.199167,31.856160,0.999973,-0.007350
157.480000,31.831964,0.999973,-0.007400
160.760833,31.807604,0.999972,-0.007450
164.041667,31.783080,0.999972,-0.007500
167.322500,31.758392,0.999972,-0.007550
170.603333,31.733540,0.999971,-0.007600
173.884167,31.708524,0.999971,-0.007650
177.165000,31.683344,0.999970,-0.007700
180.445833,31.658000,0.999970,-0.007750
183.726667,31.632491,0.999970,-0.007800
187.007500,31.606819,0.999969,-0.007850
190.288333,31.580983,0.999969,-0.007900
193.569167,31.554982,0.999968,-0.007950
196.850000,31.528818,0.999968,-0.008000
200.130833,31.502490,0.999968,-0.008050
203.411667,31.475997,0.999967,-0.008100
206.692500,31.449340,0.999967,-0.008150
209.973333,31.422520,0.999966,-0.008200
213.254167,31.395535,0.999966,-0.008250
216.535000,31.368387,0.999966,-0.008300
219.815833,31.341074,0.999965,-0.008350
223.096667,31.313597,0.999965,-0.008400
226.377500,31.285956,0.999964,-0.008450
229.658333,31.258151,0.999964,-0.008500
232.939167,31.230183,0.999963,-0.008550
236.220000,31.202050,0.999963,-0.008600
239.500833,31.173753,0.999963,-0.008650
242.781667,31.145292,0.999962,-0.008700
246.062500,31.116666,0.999962,-0.008750
249.343333,31.087877,0.999961,-0.008800
252.624167,31.058924,0.999961,-0.008850
255.905000,31.029807,0.999960,-0.008900
259.185833,31.000526,0.999960,-0.008950
262.466667,30.971080,0.999960,-0.009000
265.747500,30.941471,0.999959,-0.009050
269.028333,30.911698,0.999959,-0.009100
272.309167,30.881760,0.999958,-0.009150
275.590000,30.851659,0.999958,-0.009200
278.870833,30.821393,0.999957,-0.009250
282.151667,30.790963,0.999957,-0.009300
285.432500,30.760370,0.999956,-0.009350
288.713333,30.729612,0.999956,-0.009400
291.994167,30.698690,0.999955,-0.009450
295.275000,30.667604,0.999955,-0.009500
298.555833,30.636355,0.999954,-0.009550
301.836667,30.604941,0.999954,-0.009600
305.117500,30.573363,0.999953,-0.009650
308.398333,30.541621,0.999953,-0.009700
311.679167,30.509715,0.999952,-0.009750
314.960000,30.477645,0.999952,-0.009800
318.240833,30.445410,0.999951,-0.009850
321.521667,30.413012,0.999951,-0.009900
324.802500,30.380450,0.999951,-0.009950
328.083333,30.347724,0.999950,-0.010000
