dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.894427,-0.447214
3.280833,31.178144,0.896649,-0.442741
6.561667,29.568308,0.898844,-0.438269
9.842500,27.978676,0.901011,-0.433797
13.123333,26.409104,0.903150,-0.429325
16.404167,24.859449,0.905262,-0.424853
19.685000,23.329572,0.907348,-0.420381
22.965833,21.819337,0.909406,-0.415909
26.246667,20.328610,0.911438,-0.411437
29.527500,18.857262,0.913444,-0.406964
32.808333,17.405166,0.915423,-0.402492
36.089167,15.972196,0.917377,-0.398020
39.370000,14.558230,0.919304,-0.393548
42.650833,13.163150,0.921206,-0.389076
45.931667,11.786839,0.923082,-0.384604
49.212500,10.429183,0.924932,-0.380132
52.493333,9.090069,0.926758,-0.375659
55.774167,7.769388,0.928558,-0.371187
59.055000,6.467034,0.930333,-0.366715
62.335833,5.182901,0.932084,-0.362243
65.616667,3.916888,0.933809,-0.357771
68.897500,2.668893,0.935511,-0.353299
72.178333,1.438820,0.937187,-0.348827
75.459167,0.226571,0.938840,-0.344354
78.740000,-0.967947,0.940468,-0.339882
82.020833,-2.144826,0.942072,-0.335410
85.301667,-3.304156,0.943652,-0.330938
88.582500,-4.446026,0.945209,-0.326466
91.863333,-5.570520,0.946742,-0.321994
95.144167,-6.677724,0.948251,-0.317522
98.425000,-7.767720,0.949737,-0.313050
101.705833,-8.840588,0.951199,-0.308577
104.986667,-9.896408,0.952638,-0.304105
108.267500,-10.935257,0.954055,-0.299633
111.548333,-11.957209,0.955448,-0.295161
114.829167,-12.962339,0.956818,-0.290689
118.110000,-13.950720,0.958165,-0.286217
121.390833,-14.922420,0.959489,-0.281745
124.671667,-15.877511,0.960791,-0.277272
127.952500,-16.816058,0.962071,-0.272800
131.233333,-17.738128,0.963328,-0.268328
134.514167,-18.643786,0.964562,-0.263856
137.795000,-19.533093,0.965774,-0.259384
141.075833,-20.406113,0.966964,-0.254912
144.356667,-21.262904,0.968132,-0.250440
147.637500,-22.103525,0.969278,-0.245967
150.918333,-22.928035,0.970402,-0.241495
154.199167,-23.736488,0.971504,-0.237023
157.480000,-24.528939,0.972584,-0.232551
160.760833,-25.305441,0.973643,-0.228079
164.041667,-26.066048,0.974679,-0.223607
167.322500,-26.810808,0.975695,-0.219135
170.603333,-27.539771,0.976688,-0.214663
173.884167,-28.252987,0.977660,-0.210190
177.165000,-28.950501,0.978611,-0.205718
180.445833,-29.632359,0.979541,-0.201246
183.726667,-30.298606,0.980449,-0.196774
187.007500,-30.949286,0.981336,-0.192302
190.288333,-31.584440,0.982202,-0.187830
193.569167,-32.204109,0.983046,-0.183358
196.850000,-32.808333,0.983870,-0.178885
200.130833,-33.397152,0.984673,-0.174413
203.411667,-33.970602,0.985454,-0.169941
206.692500,-34.528721,0.986215,-0.165469
209.973333,-35.071543,0.986955,-0.160997
213.254167,-35.599103,0.987674,-0.156525
216.535000,-36.111434,0.988372,-0.152053
219.815833,-36.608570,0.989050,-0.147580
223.096667,-37.090540,0.989707,-0.143108
226.377500,-37.557375,0.990343,-0.138636
229.658333,-38.009104,0.990959,-0.134164
232.939167,-38.445756,0.991554,-0.129692
236.220000,-38.867357,0.992129,-0.125220
239.500833,-39.273933,0.992683,-0.120748
242.781667,-39.665511,0.993217,-0.116276
246.062500,-40.042113,0.993730,-0.111803
249.343333,-40.403763,0.994223,-0.107331
252.624167,-40.750484,0.994696,-0.102859
255.905000,-41.082297,0.995148,-0.098387
259.185833,-41.399221,0.995580,-0.093915
262.466667,-41.701277,0.995992,-0.089443
265.747500,-41.988482,0.996383,-0.084971
269.028333,-42.260855,0.996755,-0.080498
272.309167,-42.518411,0.997106,-0.076026
275.590000,-42.761167,0.997437,-0.071554
278.870833,-42.989137,0.997747,-0.067082
282.151667,-43.202335,0.998038,-0.062610
285.432500,-43.400774,0.998309,-0.058138
288.713333,-43.584466,0.998559,-0.053666
291.994167,-43.753422,0.998789,-0.049193
295.275000,-43.907652,0.998999,-0.044721
298.555833,-44.047165,0.999190,-0.040249
301.836667,-44.171971,0.999360,-0.035777
305.117500,-44.282075,0.999510,-0.031305
308.398333,-44.377486,0.999640,-0.026833
311.679167,-44.458209,0.999750,-0.022361
314.960000,-44.524248,0.999840,-0.017889
318.240833,-44.575607,0.999910,-0.013416
321.521667,-44.612290,0.999960,-0.008944
324.802500,-44.634299,0.999990,-0.004472
328.083333,-44.641636,1.000000,0.000000
