dist_along,Y,RefDir_dx,RefDir_dy
-0.000000,32.808333,0.999988,-0.005000
3.280833,32.792011,0.999988,-0.004950
6.561667,32.775853,0.999988,-0.004900
9.842500,32.759859,0.999988,-0.004850
13.123333,32.744029,0.999988,-0.004800
16.404167,32.728363,0.999989,-0.004750
19.685000,32.712861,0.999989,-0.004700
22.965833,32.697523,0.999989,-0.004650
26.246667,32.682349,0.999989,-0.004600
29.527500,32.667340,0.999990,-0.004550
32.808333,32.652494,0.999990,-0.004500
36.089167,32.637812,0.999990,-0.004450
39.370000,32.623295,0.999990,-0.004400
42.650833,32.608941,0.999991,-0.004350
45.931667,32.594751,0.999991,-0.004300
49.212500,32.580726,0.999991,-0.004250
52.493333,32.566864,0.999991,-0.004200
55.774167,32.553167,0.999991,-0.004150
59.055000,32.539634,0.999992,-0.004100
62.335833,32.526264,0.999992,-0.004050
65.616667,32.513059,0.999992,-0.004000
68.897500,32.500018,0.999992,-0.003950
72.178333,32.487141,0.999992,-0.003900
75.459167,32.474427,0.999993,-0.003850
78.740000,32.461878,0.999993,-0.003800
82.020833,32.449493,0.999993,-0.003750
85.301667,32.437272,0.999993,-0.003700
88.582500,32.425215,0.999993,-0.003650
91.863333,32.413322,0.999994,-0.003600
95.144167,32.401593,0.999994,-0.003550
98.425000,32.390028,0.999994,-0.003500
101.705833,32.378628,0.999994,-0.003450
104.986667,32.367391,0.999994,-0.003400
108.267500,32.356318,0.999994,-0.003350
111.548333,32.345409,0.999995,-0.003300
114.829167,32.334665,0.999995,-0.003250
118.110000,32.324084,0.999995,-0.003200
121.390833,32.313668,0.999995,-0.003150
124.671667,32.303415,0.999995,-0.003100
127.952500,32.293327,0.999995,-0.003050
131.233333,32.283402,0.999996,-0.003000
134.514167,32.273642,0.999996,-0.002950
137.795000,32.264045,0.999996,-0.002900
141.075833,32.254613,0.999996,-0.002850
144.356667,32.245345,0.999996,-0.002800
147.637500,32.236241,0.999996,-0.002750
150.918333,32.227300,0.999996,-0.002700
154.199167,32.218524,0.999996,-0.002650
157.480000,32.209912,0.999997,-0.002600
160.760833,32.201464,0.999997,-0.002550
164.041667,32.193180,0.999997,-0.002500
167.322500,32.185060,0.999997,-0.002450
170.603333,32.177104,0.999997,-0.002400
173.884167,32.169312,0.999997,-0.002350
177.165000,32.161684,0.999997,-0.002300
180.445833,32.154220,0.999997,-0.002250
183.726667,32.146921,0.999998,-0.002200
187.007500,32.139785,0.999998,-0.002150
190.288333,32.132813,0.999998,-0.002100
193.569167,32.126006,0.999998,-0.002050
196.850000,32.119362,0.999998,-0.002000
200.130833,32.112882,0.999998,-0.001950
203.411667,32.106567,0.999998,-0.001900
206.692500,32.100415,0.999998,-0.001850
209.973333,32.094428,0.999998,-0.001800
213.254167,32.088604,0.999998,-0.001750
216.535000,32.082945,0.999999,-0.001700
219.815833,32.077450,0.999999,-0.001650
223.096667,32.072118,0.999999,-0.001600
226.377500,32.066951,0.999999,-0.001550
229.658333,32.061948,0.999999,-0.001500
232.939167,32.057109,0.999999,-0.001450
236.220000,32.052434,0.999999,-0.001400
239.500833,32.047923,0.999999,-0.001350
242.781667,32.043576,0.999999,-0.001300
246.062500,32.039393,0.999999,-0.001250
249.343333,32.035374,0.999999,-0.001200
252.624167,32.031519,0.999999,-0.001150
255.905000,32.027828,0.999999,-0.001100
259.185833,32.024301,0.999999,-0.001050
262.466667,32.020938,1.000000,-0.001000
265.747500,32.017739,1.000000,-0.000950
269.028333,32.014705,1.000000,-0.000900
272.309167,32.011834,1.000000,-0.000850
275.590000,32.009127,1.000000,-0.000800
278.870833,32.006585,1.000000,-0.000750
282.151667,32.004206,1.000000,-0.000700
285.432500,32.001991,1.000000,-0.000650
288.713333,31.999941,1.000000,-0.000600
291.994167,31.998055,1.000000,-0.000550
295.275000,31.996332,1.000000,-0.000500
298.555833,31.994774,1.000000,-0.000450
301.836667,31.993379,1.000000,-0.000400
305.117500,31.992149,1.000000,-0.000350
308.398333,31.991083,1.000000,-0.000300
311.679167,31.990181,1.000000,-0.000250
314.960000,31.989442,1.000000,-0.000200
318.240833,31.988868,1.000000,-0.000150
321.521667,31.988458,1.000000,-0.000100
324.802500,31.988212,1.000000,-0.000050
328.083333,31.988130,1.000000,0.000000
