dist_along,Y,RefDir_dx,RefDir_dy
-0.000000,32.808399,0.999988,-0.005000
3.280840,32.792241,0.999988,-0.004850
6.561680,32.776575,0.999989,-0.004700
9.842520,32.761401,0.999990,-0.004550
13.123360,32.746719,0.999990,-0.004400
16.404199,32.732530,0.999991,-0.004250
19.685039,32.718832,0.999992,-0.004100
22.965879,32.705627,0.999992,-0.003950
26.246719,32.692913,0.999993,-0.003800
29.527559,32.680692,0.999993,-0.003650
32.808399,32.668963,0.999994,-0.003500
36.089239,32.657726,0.999994,-0.003350
39.370079,32.646981,0.999995,-0.003200
42.650919,32.636729,0.999995,-0.003050
45.931759,32.626968,0.999996,-0.002900
49.212598,32.617700,0.999996,-0.002750
52.493438,32.608923,0.999997,-0.002600
55.774278,32.600639,0.999997,-0.002450
59.055118,32.592847,0.999997,-0.002300
62.335958,32.585547,0.999998,-0.002150
65.616798,32.578739,0.999998,-0.002000
68.897638,32.572423,0.999998,-0.001850
72.178478,32.566599,0.999999,-0.001700
75.459318,32.561268,0.999999,-0.001550
78.740157,32.556428,0.999999,-0.001400
82.020997,32.552081,0.999999,-0.001250
85.301837,32.548226,0.999999,-0.001100
88.582677,32.544863,1.000000,-0.000950
91.863517,32.541992,1.000000,-0.000800
95.144357,32.539613,1.000000,-0.000650
98.425197,32.537726,1.000000,-0.000500
101.706037,32.536331,1.000000,-0.000350
104.986877,32.535428,1.000000,-0.000200
108.267717,32.535018,1.000000,-0.000050
111.548556,32.535100,1.000000,0.000100
114.829396,32.535673,1.000000,0.000250
118.110236,32.536739,1.000000,0.000400
121.391076,32.538297,1.000000,0.000550
124.671916,32.540347,1.000000,0.000700
127.952756,32.542889,1.000000,0.000850
131.233596,32.545923,1.000000,0.001000
134.514436,32.549450,0.999999,0.001150
137.795276,32.553468,0.999999,0.001300
141.076115,32.557979,0.999999,0.001450
144.356955,32.562982,0.999999,0.001600
147.637795,32.568476,0.999998,0.001750
150.918635,32.574463,0.999998,0.001900
154.199475,32.580942,0.999998,0.002050
157.480315,32.587913,0.999998,0.002200
160.761155,32.595377,0.999997,0.002350
164.041995,32.603332,0.999997,0.002500
167.322835,32.611780,0.999996,0.002650
170.603675,32.620719,0.999996,0.002800
173.884514,32.630151,0.999996,0.002950
177.165354,32.640075,0.999995,0.003100
180.446194,32.650490,0.999995,0.003250
183.727034,32.661399,0.999994,0.003400
187.007874,32.672799,0.999994,0.003550
190.288714,32.684691,0.999993,0.003700
193.569554,32.697075,0.999993,0.003850
196.850394,32.709952,0.999992,0.004000
200.131234,32.723320,0.999991,0.004150
203.412073,32.737181,0.999991,0.004300
206.692913,32.751534,0.999990,0.004450
209.973753,32.766379,0.999989,0.004600
213.254593,32.781716,0.999989,0.004750
216.535433,32.797545,0.999988,0.004900
219.816273,32.813867,0.999987,0.005050
223.097113,32.830680,0.999986,0.005200
226.377953,32.847986,0.999986,0.005350
229.658793,32.865784,0.999985,0.005500
232.939633,32.884073,0.999984,0.005650
236.220472,32.902855,0.999983,0.005800
239.501312,32.922130,0.999982,0.005950
242.782152,32.941896,0.999981,0.006100
246.062992,32.962154,0.999980,0.006250
249.343832,32.982905,0.999980,0.006400
252.624672,33.004147,0.999979,0.006550
255.905512,33.025882,0.999978,0.006700
259.186352,33.048109,0.999977,0.006850
262.467192,33.070828,0.999976,0.007000
265.748031,33.094040,0.999974,0.007150
269.028871,33.117743,0.999973,0.007300
272.309711,33.141939,0.999972,0.007450
275.590551,33.166626,0.999971,0.007600
278.871391,33.191806,0.999970,0.007750
282.152231,33.217478,0.999969,0.007900
285.433071,33.243642,0.999968,0.008050
288.713911,33.270298,0.999966,0.008200
291.994751,33.297447,0.999965,0.008350
295.275591,33.325088,0.999964,0.008500
298.556430,33.353220,0.999963,0.008650
301.837270,33.381845,0.999961,0.008800
305.118110,33.410962,0.999960,0.008950
308.398950,33.440572,0.999959,0.009100
311.679790,33.470673,0.999957,0.009250
314.960630,33.501267,0.999956,0.009400
318.241470,33.532352,0.999954,0.009550
321.522310,33.563930,0.999953,0.009700
324.803150,33.596000,0.999951,0.009850
328.083990,33.628563,0.999950,0.010000
