dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.999988,-0.005000
1.000000,9.995075,0.999988,-0.004850
2.000000,9.990300,0.999989,-0.004700
3.000000,9.985675,0.999990,-0.004550
4.000000,9.981200,0.999990,-0.004400
5.000000,9.976875,0.999991,-0.004250
6.000000,9.972700,0.999992,-0.004100
7.000000,9.968675,0.999992,-0.003950
8.000000,9.964800,0.999993,-0.003800
9.000000,9.961075,0.999993,-0.003650
10.000000,9.957500,0.999994,-0.003500
11.000000,9.954075,0.999994,-0.003350
12.000000,9.950800,0.999995,-0.003200
13.000000,9.947675,0.999995,-0.003050
14.000000,9.944700,0.999996,-0.002900
15.000000,9.941875,0.999996,-0.002750
16.000000,9.939200,0.999997,-0.002600
17.000000,9.936675,0.999997,-0.002450
18.000000,9.934300,0.999997,-0.002300
19.000000,9.932075,0.999998,-0.002150
20.000000,9.930000,0.999998,-0.002000
21.000000,9.928075,0.999998,-0.001850
22.000000,9.926299,0.999999,-0.001700
23.000000,9.924674,0.999999,-0.001550
24.000000,9.923199,0.999999,-0.001400
25.000000,9.921874,0.999999,-0.001250
26.000000,9.920699,0.999999,-0.001100
27.000000,9.919674,1.000000,-0.000950
28.000000,9.918799,1.000000,-0.000800
29.000000,9.918074,1.000000,-0.000650
30.000000,9.917499,1.000000,-0.000500
31.000000,9.917074,1.000000,-0.000350
32.000000,9.916799,1.000000,-0.000200
33.000000,9.916673,1.000000,-0.000050
34.000000,9.916698,1.000000,0.000100
35.000000,9.916873,1.000000,0.000250
36.000000,9.917198,1.000000,0.000400
37.000000,9.917673,1.000000,0.000550
38.000000,9.918298,1.000000,0.000700
39.000000,9.919073,1.000000,0.000850
40.000000,9.919997,1.000000,0.001000
41.000000,9.921072,0.999999,0.001150
42.000000,9.922297,0.999999,0.001300
43.000000,9.923672,0.999999,0.001450
44.000000,9.925197,0.999999,0.001600
45.000000,9.926872,0.999998,0.001750
46.000000,9.928696,0.999998,0.001900
47.000000,9.930671,0.999998,0.002050
48.000000,9.932796,0.999998,0.002200
49.000000,9.935071,0.999997,0.002350
50.000000,9.937496,0.999997,0.002500
51.000000,9.940070,0.999996,0.002650
52.000000,9.942795,0.999996,0.002800
53.000000,9.945670,0.999996,0.002950
54.000000,9.948695,0.999995,0.003100
55.000000,9.951870,0.999995,0.003250
56.000000,9.955194,0.999994,0.003400
57.000000,9.958669,0.999994,0.003550
58.000000,9.962294,0.999993,0.003700
59.000000,9.966069,0.999993,0.003850
60.000000,9.969993,0.999992,0.004000
61.000000,9.974068,0.999991,0.004150
62.000000,9.978293,0.999991,0.004300
63.000000,9.982668,0.999990,0.004450
64.000000,9.987192,0.999989,0.004600
65.000000,9.991867,0.999989,0.004750
66.000000,9.996692,0.999988,0.004900
67.000000,10.001667,0.999987,0.005050
68.000000,10.006791,0.999986,0.005200
69.000000,10.012066,0.999986,0.005350
70.000000,10.017491,0.999985,0.005500
71.000000,10.023066,0.999984,0.005650
72.000000,10.028790,0.999983,0.005800
73.000000,10.034665,0.999982,0.005950
74.000000,10.040690,0.999981,0.006100
75.000000,10.046865,0.999980,0.006250
76.000000,10.053189,0.999980,0.006400
77.000000,10.059664,0.999979,0.006550
78.000000,10.066289,0.999978,0.006700
79.000000,10.073064,0.999977,0.006850
80.000000,10.079988,0.999976,0.007000
81.000000,10.087063,0.999974,0.007150
82.000000,10.094288,0.999973,0.007300
83.000000,10.101663,0.999972,0.007450
84.000000,10.109188,0.999971,0.007600
85.000000,10.116862,0.999970,0.007750
86.000000,10.124687,0.999969,0.007900
87.000000,10.132662,0.999968,0.008050
88.000000,10.140787,0.999966,0.008200
89.000000,10.149062,0.999965,0.008350
90.000000,10.157487,0.999964,0.008500
91.000000,10.166062,0.999963,0.008650
92.000000,10.174786,0.999961,0.008800
93.000000,10.183661,0.999960,0.008950
94.000000,10.192686,0.999959,0.009100
95.000000,10.201861,0.999957,0.009250
96.000000,10.211186,0.999956,0.009400
97.000000,10.220661,0.999954,0.009550
98.000000,10.230286,0.999953,0.009700
99.000000,10.240061,0.999951,0.009850
100.000000,10.249986,0.999950,0.010000
