dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.707107,-0.707107
3.280840,29.539574,0.709696,-0.704508
6.561680,26.294603,0.712267,-0.701909
9.842520,23.073229,0.714819,-0.699310
13.123360,19.875201,0.717352,-0.696711
16.404199,16.700271,0.719867,-0.694112
19.685039,13.548199,0.722364,-0.691513
22.965879,10.418749,0.724843,-0.688914
26.246719,7.311689,0.727304,-0.686315
29.527559,4.226792,0.729748,-0.683716
32.808399,1.163837,0.732174,-0.681117
36.089239,-1.877394,0.734583,-0.678519
39.370079,-4.897113,0.736975,-0.675920
42.650919,-7.895531,0.739351,-0.673321
45.931759,-10.872850,0.741709,-0.670722
49.212598,-13.829273,0.744051,-0.668123
52.493438,-16.764995,0.746377,-0.665524
55.774278,-19.680210,0.748686,-0.662925
59.055118,-22.575106,0.750979,-0.660326
62.335958,-25.449870,0.753256,-0.657727
65.616798,-28.304682,0.755518,-0.655128
68.897638,-31.139723,0.757764,-0.652529
72.178478,-33.955167,0.759994,-0.649930
75.459318,-36.751187,0.762209,-0.647331
78.740157,-39.527950,0.764408,-0.644732
82.020997,-42.285623,0.766593,-0.642133
85.301837,-45.024369,0.768762,-0.639535
88.582677,-47.744347,0.770917,-0.636936
91.863517,-50.445715,0.773057,-0.634337
95.144357,-53.128626,0.775182,-0.631738
98.425197,-55.793231,0.777293,-0.629139
101.706037,-58.439681,0.779389,-0.626540
104.986877,-61.068120,0.781471,-0.623941
108.267717,-63.678692,0.783539,-0.621342
111.548556,-66.271539,0.785593,-0.618743
114.829396,-68.846798,0.787633,-0.616144
118.110236,-71.404607,0.789660,-0.613545
121.391076,-73.945099,0.791672,-0.610946
124.671916,-76.468407,0.793671,-0.608347
127.952756,-78.974659,0.795656,-0.605748
131.233596,-81.463982,0.797628,-0.603150
134.514436,-83.936503,0.799587,-0.600551
137.795276,-86.392344,0.801532,-0.597952
141.076115,-88.831627,0.803464,-0.595353
144.356955,-91.254470,0.805384,-0.592754
147.637795,-93.660992,0.807290,-0.590155
150.918635,-96.051306,0.809184,-0.587556
154.199475,-98.425528,0.811064,-0.584957
157.480315,-100.783767,0.812932,-0.582358
160.761155,-103.126136,0.814788,-0.579759
164.041995,-105.452740,0.816631,-0.577160
167.322835,-107.763688,0.818462,-0.574561
170.603675,-110.059084,0.820280,-0.571962
173.884514,-112.339031,0.822086,-0.569363
177.165354,-114.603631,0.823880,-0.566764
180.446194,-116.852983,0.825662,-0.564166
183.727034,-119.087187,0.827432,-0.561567
187.007874,-121.306338,0.829189,-0.558968
190.288714,-123.510534,0.830936,-0.556369
193.569554,-125.699867,0.832670,-0.553770
196.850394,-127.874431,0.834392,-0.551171
200.131234,-130.034317,0.836103,-0.548572
203.412073,-132.179615,0.837803,-0.545973
206.692913,-134.310413,0.839491,-0.543374
209.973753,-136.426798,0.841167,-0.540775
213.254593,-138.528857,0.842832,-0.538176
216.535433,-140.616675,0.844486,-0.535577
219.816273,-142.690334,0.846129,-0.532978
223.097113,-144.749918,0.847760,-0.530379
226.377953,-146.795507,0.849381,-0.527780
229.658793,-148.827181,0.850990,-0.525182
232.939633,-150.845019,0.852589,-0.522583
236.220472,-152.849099,0.854176,-0.519984
239.501312,-154.839497,0.855753,-0.517385
242.782152,-156.816289,0.857319,-0.514786
246.062992,-158.779549,0.858874,-0.512187
249.343832,-160.729351,0.860419,-0.509588
252.624672,-162.665767,0.861953,-0.506989
255.905512,-164.588868,0.863476,-0.504390
259.186352,-166.498724,0.864989,-0.501791
262.467192,-168.395406,0.866491,-0.499192
265.748031,-170.278981,0.867983,-0.496593
269.028871,-172.149517,0.869465,-0.493994
272.309711,-174.007080,0.870937,-0.491395
275.590551,-175.851736,0.872398,-0.488797
278.871391,-177.683550,0.873849,-0.486198
282.152231,-179.502586,0.875290,-0.483599
285.433071,-181.308907,0.876721,-0.481000
288.713911,-183.102574,0.878142,-0.478401
291.994751,-184.883650,0.879553,-0.475802
295.275591,-186.652194,0.880953,-0.473203
298.556430,-188.408266,0.882345,-0.470604
301.837270,-190.151926,0.883726,-0.468005
305.118110,-191.883232,0.885097,-0.465406
308.398950,-193.602239,0.886459,-0.462807
311.679790,-195.309007,0.887811,-0.460208
314.960630,-197.003589,0.889153,-0.457609
318.241470,-198.686042,0.890486,-0.455010
321.522310,-200.356419,0.891809,-0.452411
324.803150,-202.014775,0.893123,-0.449813
328.083990,-203.661161,0.894427,-0.447214
