dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.707107,-0.707107
3.280833,29.539514,0.709696,-0.704508
6.561667,26.294550,0.712267,-0.701909
9.842500,23.073183,0.714819,-0.699310
13.123333,19.875161,0.717352,-0.696711
16.404167,16.700238,0.719867,-0.694112
19.685000,13.548172,0.722364,-0.691513
22.965833,10.418728,0.724843,-0.688914
26.246667,7.311674,0.727304,-0.686315
29.527500,4.226784,0.729748,-0.683716
32.808333,1.163835,0.732174,-0.681117
36.089167,-1.877390,0.734583,-0.678519
39.370000,-4.897104,0.736975,-0.675920
42.650833,-7.895515,0.739351,-0.673321
45.931667,-10.872829,0.741709,-0.670722
49.212500,-13.829245,0.744051,-0.668123
52.493333,-16.764961,0.746377,-0.665524
55.774167,-19.680170,0.748686,-0.662925
59.055000,-22.575061,0.750979,-0.660326
62.335833,-25.449819,0.753256,-0.657727
65.616667,-28.304626,0.755518,-0.655128
68.897500,-31.139661,0.757764,-0.652529
72.178333,-33.955099,0.759994,-0.649930
75.459167,-36.751113,0.762209,-0.647331
78.740000,-39.527871,0.764408,-0.644732
82.020833,-42.285539,0.766593,-0.642133
85.301667,-45.024279,0.768762,-0.639535
88.582500,-47.744252,0.770917,-0.636936
91.863333,-50.445614,0.773057,-0.634337
95.144167,-53.128519,0.775182,-0.631738
98.425000,-55.793120,0.777293,-0.629139
101.705833,-58.439564,0.779389,-0.626540
104.986667,-61.067998,0.781471,-0.623941
108.267500,-63.678565,0.783539,-0.621342
111.548333,-66.271406,0.785593,-0.618743
114.829167,-68.846661,0.787633,-0.616144
118.110000,-71.404464,0.789660,-0.613545
121.390833,-73.944952,0.791672,-0.610946
124.671667,-76.468254,0.793671,-0.608347
127.952500,-78.974501,0.795656,-0.605748
131.233333,-81.463819,0.797628,-0.603150
134.514167,-83.936335,0.799587,-0.600551
137.795000,-86.392172,0.801532,-0.597952
141.075833,-88.831449,0.803464,-0.595353
144.356667,-91.254288,0.805384,-0.592754
147.637500,-93.660804,0.807290,-0.590155
150.918333,-96.051114,0.809184,-0.587556
154.199167,-98.425331,0.811064,-0.584957
157.480000,-100.783566,0.812932,-0.582358
160.760833,-103.125929,0.814788,-0.579759
164.041667,-105.452529,0.816631,-0.577160
167.322500,-107.763473,0.818462,-0.574561
170.603333,-110.058864,0.820280,-0.571962
173.884167,-112.338806,0.822086,-0.569363
177.165000,-114.603401,0.823880,-0.566764
180.445833,-116.852749,0.825662,-0.564166
183.726667,-119.086948,0.827432,-0.561567
187.007500,-121.306096,0.829189,-0.558968
190.288333,-123.510287,0.830936,-0.556369
193.569167,-125.699616,0.832670,-0.553770
196.850000,-127.874176,0.834392,-0.551171
200.130833,-130.034057,0.836103,-0.548572
203.411667,-132.179350,0.837803,-0.545973
206.692500,-134.310144,0.839491,-0.543374
209.973333,-136.426525,0.841167,-0.540775
213.254167,-138.528580,0.842832,-0.538176
216.535000,-140.616394,0.844486,-0.535577
219.815833,-142.690049,0.846129,-0.532978
223.096667,-144.749628,0.847760,-0.530379
226.377500,-146.795213,0.849381,-0.527780
229.658333,-148.826883,0.850990,-0.525182
232.939167,-150.844717,0.852589,-0.522583
236.220000,-152.848793,0.854176,-0.519984
239.500833,-154.839188,0.855753,-0.517385
242.781667,-156.815976,0.857319,-0.514786
246.062500,-158.779232,0.858874,-0.512187
249.343333,-160.729030,0.860419,-0.509588
252.624167,-162.665441,0.861953,-0.506989
255.905000,-164.588539,0.863476,-0.504390
259.185833,-166.498391,0.864989,-0.501791
262.466667,-168.395069,0.866491,-0.499192
265.747500,-170.278640,0.867983,-0.496593
269.028333,-172.149172,0.869465,-0.493994
272.309167,-174.006732,0.870937,-0.491395
275.590000,-175.851384,0.872398,-0.488797
278.870833,-177.683195,0.873849,-0.486198
282.151667,-179.502227,0.875290,-0.483599
285.432500,-181.308544,0.876721,-0.481000
288.713333,-183.102208,0.878142,-0.478401
291.994167,-184.883280,0.879553,-0.475802
295.275000,-186.651821,0.880953,-0.473203
298.555833,-188.407890,0.882345,-0.470604
301.836667,-190.151546,0.883726,-0.468005
305.117500,-191.882848,0.885097,-0.465406
308.398333,-193.601852,0.886459,-0.462807
311.679167,-195.308616,0.887811,-0.460208
314.960000,-197.003195,0.889153,-0.457609
318.240833,-198.685644,0.890486,-0.455010
321.521667,-200.356018,0.891809,-0.452411
324.802500,-202.014371,0.893123,-0.449813
328.083333,-203.660754,0.894427,-0.447214
