dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.707107,-0.707107
3.280840,29.580264,0.718465,-0.695564
6.561680,26.454283,0.729463,-0.684020
9.842520,23.425901,0.740118,-0.672477
13.123360,20.490962,0.750444,-0.660934
16.404199,17.645659,0.760455,-0.649391
19.685039,14.886496,0.770163,-0.637848
22.965879,12.210256,0.779579,-0.626304
26.246719,9.613968,0.788713,-0.614761
29.527559,7.094886,0.797576,-0.603218
32.808399,4.650462,0.806177,-0.591675
36.089239,2.278333,0.814523,-0.580132
39.370079,-0.023702,0.822622,-0.568588
42.650919,-2.257695,0.830482,-0.557045
45.931759,-4.425559,0.838110,-0.545502
49.212598,-6.529085,0.845511,-0.533959
52.493438,-8.569946,0.852691,-0.522416
55.774278,-10.549715,0.859657,-0.510872
59.055118,-12.469864,0.866412,-0.499329
62.335958,-14.331777,0.872963,-0.487786
65.616798,-16.136756,0.879314,-0.476243
68.897638,-17.886026,0.885468,-0.464700
72.178478,-19.580740,0.891431,-0.453156
75.459318,-21.221988,0.897206,-0.441613
78.740157,-22.810794,0.902796,-0.430070
82.020997,-24.348126,0.908204,-0.418527
85.301837,-25.834900,0.913436,-0.406983
88.582677,-27.271979,0.918492,-0.395440
91.863517,-28.660179,0.923376,-0.383897
95.144357,-30.000273,0.928091,-0.372354
98.425197,-31.292989,0.932639,-0.360811
101.706037,-32.539017,0.937023,-0.349267
104.986877,-33.739011,0.941245,-0.337724
108.267717,-34.893586,0.945307,-0.326181
111.548556,-36.003327,0.949212,-0.314638
114.829396,-37.068783,0.952960,-0.303095
118.110236,-38.090476,0.956555,-0.291551
121.391076,-39.068897,0.959998,-0.280008
124.671916,-40.004510,0.963289,-0.268465
127.952756,-40.897753,0.966432,-0.256922
131.233596,-41.749038,0.969427,-0.245379
134.514436,-42.558752,0.972276,-0.233835
137.795276,-43.327260,0.974980,-0.222292
141.076115,-44.054904,0.977540,-0.210749
144.356955,-44.742003,0.979958,-0.199206
147.637795,-45.388858,0.982234,-0.187663
150.918635,-45.995748,0.984369,-0.176119
154.199475,-46.562932,0.986364,-0.164576
157.480315,-47.090650,0.988221,-0.153033
160.761155,-47.579125,0.989940,-0.141490
164.041995,-48.028561,0.991521,-0.129947
167.322835,-48.439144,0.992966,-0.118403
170.603675,-48.811044,0.994274,-0.106860
173.884514,-49.144412,0.995447,-0.095317
177.165354,-49.439386,0.996485,-0.083774
180.446194,-49.696085,0.997388,-0.072231
183.727034,-49.914613,0.998157,-0.060687
187.007874,-50.095059,0.998792,-0.049144
190.288714,-50.237493,0.999293,-0.037601
193.569554,-50.341975,0.999660,-0.026058
196.850394,-50.408546,0.999895,-0.014515
200.131234,-50.437231,0.999996,-0.002971
203.412073,-50.428044,0.999963,0.008572
206.692913,-50.380980,0.999798,0.020115
209.973753,-50.296020,0.999499,0.031658
213.254593,-50.173130,0.999066,0.043201
216.535433,-50.012262,0.998500,0.054745
219.816273,-49.813350,0.997801,0.066288
223.097113,-49.576314,0.996967,0.077831
226.377953,-49.301059,0.995998,0.089374
229.658793,-48.987472,0.994895,0.100917
232.939633,-48.635427,0.993656,0.112461
236.220472,-48.244780,0.992282,0.124004
239.501312,-47.815368,0.990771,0.135547
242.782152,-47.347016,0.989123,0.147090
246.062992,-46.839527,0.987338,0.158634
249.343832,-46.292690,0.985414,0.170177
252.624672,-45.706273,0.983350,0.181720
255.905512,-45.080027,0.981147,0.193263
259.186352,-44.413682,0.978803,0.204806
262.467192,-43.706950,0.976316,0.216350
265.748031,-42.959521,0.973686,0.227893
269.028871,-42.171065,0.970912,0.239436
272.309711,-41.341229,0.967992,0.250979
275.590551,-40.469637,0.964926,0.262522
278.871391,-39.555890,0.961711,0.274066
282.152231,-38.599564,0.958346,0.285609
285.433071,-37.600208,0.954830,0.297152
288.713911,-36.557345,0.951161,0.308695
291.994751,-35.470470,0.947337,0.320238
295.275591,-34.339047,0.943356,0.331782
298.556430,-33.162511,0.939217,0.343325
301.837270,-31.940261,0.934916,0.354868
305.118110,-30.671665,0.930453,0.366411
308.398950,-29.356051,0.925824,0.377954
311.679790,-27.992711,0.921027,0.389498
314.960630,-26.580895,0.916060,0.401041
318.241470,-25.119810,0.910920,0.412584
321.522310,-23.608617,0.905603,0.424127
324.803150,-22.046428,0.900106,0.435670
328.083990,-20.432303,0.894427,0.447214
