dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,1.000000,0.000000
3.280833,32.800997,0.999990,-0.004472
6.561667,32.778988,0.999960,-0.008944
9.842500,32.742305,0.999910,-0.013416
13.123333,32.690945,0.999840,-0.017889
16.404167,32.624906,0.999750,-0.022361
19.685000,32.544184,0.999640,-0.026833
22.965833,32.448773,0.999510,-0.031305
26.246667,32.338668,0.999360,-0.035777
29.527500,32.213863,0.999190,-0.040249
32.808333,32.074350,0.998999,-0.044721
36.089167,31.920120,0.998789,-0.049193
39.370000,31.751164,0.998559,-0.053666
42.650833,31.567472,0.998309,-0.058138
45.931667,31.369033,0.998038,-0.062610
49.212500,31.155835,0.997747,-0.067082
52.493333,30.927865,0.997437,-0.071554
55.774167,30.685109,0.997106,-0.076026
59.055000,30.427552,0.996755,-0.080498
62.335833,30.155180,0.996383,-0.084971
65.616667,29.867974,0.995992,-0.089443
68.897500,29.565919,0.995580,-0.093915
72.178333,29.248994,0.995148,-0.098387
75.459167,28.917182,0.994696,-0.102859
78.740000,28.570461,0.994223,-0.107331
82.020833,28.208811,0.993730,-0.111803
85.301667,27.832208,0.993217,-0.116276
88.582500,27.440631,0.992683,-0.120748
91.863333,27.034054,0.992129,-0.125220
95.144167,26.612453,0.991554,-0.129692
98.425000,26.175802,0.990959,-0.134164
101.705833,25.724072,0.990343,-0.138636
104.986667,25.257237,0.989707,-0.143108
108.267500,24.775267,0.989050,-0.147580
111.548333,24.278132,0.988372,-0.152053
114.829167,23.765801,0.987674,-0.156525
118.110000,23.238240,0.986955,-0.160997
121.390833,22.695418,0.986215,-0.165469
124.671667,22.137300,0.985454,-0.169941
127.952500,21.563850,0.984673,-0.174413
131.233333,20.975031,0.983870,-0.178885
134.514167,20.370807,0.983046,-0.183358
137.795000,19.751137,0.982202,-0.187830
141.075833,19.115984,0.981336,-0.192302
144.356667,18.465304,0.980449,-0.196774
147.637500,17.799057,0.979541,-0.201246
150.918333,17.117199,0.978611,-0.205718
154.199167,16.419685,0.977660,-0.210190
157.480000,15.706469,0.976688,-0.214663
160.760833,14.977505,0.975695,-0.219135
164.041667,14.232745,0.974679,-0.223607
167.322500,13.472139,0.973643,-0.228079
170.603333,12.695637,0.972584,-0.232551
173.884167,11.903185,0.971504,-0.237023
177.165000,11.094732,0.970402,-0.241495
180.445833,10.270223,0.969278,-0.245967
183.726667,9.429602,0.968132,-0.250440
187.007500,8.572810,0.966964,-0.254912
190.288333,7.699791,0.965774,-0.259384
193.569167,6.810483,0.964562,-0.263856
196.850000,5.904826,0.963328,-0.268328
200.130833,4.982756,0.962071,-0.272800
203.411667,4.044208,0.960791,-0.277272
206.692500,3.089118,0.959489,-0.281745
209.973333,2.117417,0.958165,-0.286217
213.254167,1.129037,0.956818,-0.290689
216.535000,0.123907,0.955448,-0.295161
219.815833,-0.898046,0.954055,-0.299633
223.096667,-1.936894,0.952638,-0.304105
226.377500,-2.992714,0.951199,-0.308577
229.658333,-4.065582,0.949737,-0.313050
232.939167,-5.155578,0.948251,-0.317522
236.220000,-6.262782,0.946742,-0.321994
239.500833,-7.387277,0.945209,-0.326466
242.781667,-8.529146,0.943652,-0.330938
246.062500,-9.688476,0.942072,-0.335410
249.343333,-10.865355,0.940468,-0.339882
252.624167,-12.059873,0.938840,-0.344354
255.905000,-13.272122,0.937187,-0.348827
259.185833,-14.502196,0.935511,-0.353299
262.466667,-15.750190,0.933809,-0.357771
265.747500,-17.016204,0.932084,-0.362243
269.028333,-18.300336,0.930333,-0.366715
272.309167,-19.602690,0.928558,-0.371187
275.590000,-20.923371,0.926758,-0.375659
278.870833,-22.262485,0.924932,-0.380132
282.151667,-23.620142,0.923082,-0.384604
285.432500,-24.996453,0.921206,-0.389076
288.713333,-26.391533,0.919304,-0.393548
291.994167,-27.805498,0.917377,-0.398020
295.275000,-29.238468,0.915423,-0.402492
298.555833,-30.690565,0.913444,-0.406964
301.836667,-32.161912,0.911438,-0.411437
305.117500,-33.652639,0.909406,-0.415909
308.398333,-35.162874,0.907348,-0.420381
311.679167,-36.692751,0.905262,-0.424853
314.960000,-38.242406,0.903150,-0.429325
318.240833,-39.811979,0.901011,-0.433797
321.521667,-41.401610,0.898844,-0.438269
324.802500,-43.011446,0.896649,-0.442741
328.083333,-44.641636,0.894427,-0.447214
