dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,1.000000,0.000000
3.280840,32.815735,0.999990,0.004472
6.561680,32.837744,0.999960,0.008944
9.842520,32.874428,0.999910,0.013416
13.123360,32.925787,0.999840,0.017889
16.404199,32.991826,0.999750,0.022361
19.685039,33.072549,0.999640,0.026833
22.965879,33.167960,0.999510,0.031305
26.246719,33.278065,0.999360,0.035777
29.527559,33.402870,0.999190,0.040249
32.808399,33.542384,0.998999,0.044721
36.089239,33.696615,0.998789,0.049193
39.370079,33.865571,0.998559,0.053666
42.650919,34.049263,0.998309,0.058138
45.931759,34.247702,0.998038,0.062610
49.212598,34.460901,0.997747,0.067082
52.493438,34.688871,0.997437,0.071554
55.774278,34.931628,0.997106,0.076026
59.055118,35.189185,0.996755,0.080498
62.335958,35.461558,0.996383,0.084971
65.616798,35.748764,0.995992,0.089443
68.897638,36.050820,0.995580,0.093915
72.178478,36.367745,0.995148,0.098387
75.459318,36.699558,0.994696,0.102859
78.740157,37.046280,0.994223,0.107331
82.020997,37.407931,0.993730,0.111803
85.301837,37.784534,0.993217,0.116276
88.582677,38.176112,0.992683,0.120748
91.863517,38.582690,0.992129,0.125220
95.144357,39.004291,0.991554,0.129692
98.425197,39.440944,0.990959,0.134164
101.706037,39.892674,0.990343,0.138636
104.986877,40.359510,0.989707,0.143108
108.267717,40.841481,0.989050,0.147580
111.548556,41.338617,0.988372,0.152053
114.829396,41.850950,0.987674,0.156525
118.110236,42.378511,0.986955,0.160997
121.391076,42.921334,0.986215,0.165469
124.671916,43.479454,0.985454,0.169941
127.952756,44.052905,0.984673,0.174413
131.233596,44.641725,0.983870,0.178885
134.514436,45.245951,0.983046,0.183358
137.795276,45.865621,0.982202,0.187830
141.076115,46.500776,0.981336,0.192302
144.356955,47.151457,0.980449,0.196774
147.637795,47.817705,0.979541,0.201246
150.918635,48.499565,0.978611,0.205718
154.199475,49.197081,0.977660,0.210190
157.480315,49.910297,0.976688,0.214663
160.761155,50.639263,0.975695,0.219135
164.041995,51.384024,0.974679,0.223607
167.322835,52.144632,0.973643,0.228079
170.603675,52.921136,0.972584,0.232551
173.884514,53.713589,0.971504,0.237023
177.165354,54.522043,0.970402,0.241495
180.446194,55.346554,0.969278,0.245967
183.727034,56.187178,0.968132,0.250440
187.007874,57.043970,0.966964,0.254912
190.288714,57.916991,0.965774,0.259384
193.569554,58.806301,0.964562,0.263856
196.850394,59.711960,0.963328,0.268328
200.131234,60.634032,0.962071,0.272800
203.412073,61.572581,0.960791,0.277272
206.692913,62.527674,0.959489,0.281745
209.973753,63.499376,0.958165,0.286217
213.254593,64.487759,0.956818,0.290689
216.535433,65.492891,0.955448,0.295161
219.816273,66.514845,0.954055,0.299633
223.097113,67.553696,0.952638,0.304105
226.377953,68.609518,0.951199,0.308577
229.658793,69.682388,0.949737,0.313050
232.939633,70.772386,0.948251,0.317522
236.220472,71.879592,0.946742,0.321994
239.501312,73.004089,0.945209,0.326466
242.782152,74.145961,0.943652,0.330938
246.062992,75.305293,0.942072,0.335410
249.343832,76.482175,0.940468,0.339882
252.624672,77.676695,0.938840,0.344354
255.905512,78.888947,0.937187,0.348827
259.186352,80.119023,0.935511,0.353299
262.467192,81.367020,0.933809,0.357771
265.748031,82.633035,0.932084,0.362243
269.028871,83.917171,0.930333,0.366715
272.309711,85.219527,0.928558,0.371187
275.590551,86.540211,0.926758,0.375659
278.871391,87.879327,0.924932,0.380132
282.152231,89.236987,0.923082,0.384604
285.433071,90.613301,0.921206,0.389076
288.713911,92.008383,0.919304,0.393548
291.994751,93.422351,0.917377,0.398020
295.275591,94.855324,0.915423,0.402492
298.556430,96.307424,0.913444,0.406964
301.837270,97.778775,0.911438,0.411437
305.118110,99.269504,0.909406,0.415909
308.398950,100.779742,0.907348,0.420381
311.679790,102.309623,0.905262,0.424853
314.960630,103.859281,0.903150,0.429325
318.241470,105.428856,0.901011,0.433797
321.522310,107.018491,0.898844,0.438269
324.803150,108.628330,0.896649,0.442741
328.083990,110.258523,0.894427,0.447214
