dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,1.000000,0.000000
1.000000,10.000025,1.000000,0.000050
2.000000,10.000100,1.000000,0.000100
3.000000,10.000225,1.000000,0.000150
4.000000,10.000400,1.000000,0.000200
5.000000,10.000625,1.000000,0.000250
6.000000,10.000900,1.000000,0.000300
7.000000,10.001225,1.000000,0.000350
8.000000,10.001600,1.000000,0.000400
9.000000,10.002025,1.000000,0.000450
10.000000,10.002500,1.000000,0.000500
11.000000,10.003025,1.000000,0.000550
12.000000,10.003600,1.000000,0.000600
13.000000,10.004225,1.000000,0.000650
14.000000,10.004900,1.000000,0.000700
15.000000,10.005625,1.000000,0.000750
16.000000,10.006400,1.000000,0.000800
17.000000,10.007225,1.000000,0.000850
18.000000,10.008100,1.000000,0.000900
19.000000,10.009025,1.000000,0.000950
20.000000,10.010000,1.000000,0.001000
21.000000,10.011025,0.999999,0.001050
22.000000,10.012100,0.999999,0.001100
23.000000,10.013225,0.999999,0.001150
24.000000,10.014400,0.999999,0.001200
25.000000,10.015625,0.999999,0.001250
26.000000,10.016900,0.999999,0.001300
27.000000,10.018225,0.999999,0.001350
28.000000,10.019600,0.999999,0.001400
29.000000,10.021025,0.999999,0.001450
30.000000,10.022500,0.999999,0.001500
31.000000,10.024025,0.999999,0.001550
32.000000,10.025600,0.999999,0.001600
33.000000,10.027225,0.999999,0.001650
34.000000,10.028900,0.999999,0.001700
35.000000,10.030625,0.999998,0.001750
36.000000,10.032400,0.999998,0.001800
37.000000,10.034225,0.999998,0.001850
38.000000,10.036100,0.999998,0.001900
39.000000,10.038025,0.999998,0.001950
40.000000,10.040000,0.999998,0.002000
41.000000,10.042025,0.999998,0.002050
42.000000,10.044099,0.999998,0.002100
43.000000,10.046224,0.999998,0.002150
44.000000,10.048399,0.999998,0.002200
45.000000,10.050624,0.999997,0.002250
46.000000,10.052899,0.999997,0.002300
47.000000,10.055224,0.999997,0.002350
48.000000,10.057599,0.999997,0.002400
49.000000,10.060024,0.999997,0.002450
50.000000,10.062499,0.999997,0.002500
51.000000,10.065024,0.999997,0.002550
52.000000,10.067599,0.999997,0.002600
53.000000,10.070224,0.999996,0.002650
54.000000,10.072899,0.999996,0.002700
55.000000,10.075624,0.999996,0.002750
56.000000,10.078399,0.999996,0.002800
57.000000,10.081224,0.999996,0.002850
58.000000,10.084099,0.999996,0.002900
59.000000,10.087024,0.999996,0.002950
60.000000,10.089999,0.999996,0.003000
61.000000,10.093024,0.999995,0.003050
62.000000,10.096099,0.999995,0.003100
63.000000,10.099224,0.999995,0.003150
64.000000,10.102399,0.999995,0.003200
65.000000,10.105624,0.999995,0.003250
66.000000,10.108899,0.999995,0.003300
67.000000,10.112224,0.999994,0.003350
68.000000,10.115599,0.999994,0.003400
69.000000,10.119024,0.999994,0.003450
70.000000,10.122499,0.999994,0.003500
71.000000,10.126024,0.999994,0.003550
72.000000,10.129599,0.999994,0.003600
73.000000,10.133224,0.999993,0.003650
74.000000,10.136899,0.999993,0.003700
75.000000,10.140624,0.999993,0.003750
76.000000,10.144399,0.999993,0.003800
77.000000,10.148224,0.999993,0.003850
78.000000,10.152099,0.999992,0.003900
79.000000,10.156024,0.999992,0.003950
80.000000,10.159999,0.999992,0.004000
81.000000,10.164024,0.999992,0.004050
82.000000,10.168099,0.999992,0.004100
83.000000,10.172224,0.999991,0.004150
84.000000,10.176399,0.999991,0.004200
85.000000,10.180624,0.999991,0.004250
86.000000,10.184899,0.999991,0.004300
87.000000,10.189224,0.999991,0.004350
88.000000,10.193599,0.999990,0.004400
89.000000,10.198024,0.999990,0.004450
90.000000,10.202498,0.999990,0.004500
91.000000,10.207023,0.999990,0.004550
92.000000,10.211598,0.999989,0.004600
93.000000,10.216223,0.999989,0.004650
94.000000,10.220898,0.999989,0.004700
95.000000,10.225623,0.999989,0.004750
96.000000,10.230398,0.999988,0.004800
97.000000,10.235223,0.999988,0.004850
98.000000,10.240098,0.999988,0.004900
99.000000,10.245023,0.999988,0.004950
100.000000,10.249998,0.999988,0.005000
