dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.894427,0.447214
3.280840,34.422524,0.900106,0.435670
6.561680,35.984713,0.905603,0.424127
9.842520,37.495905,0.910920,0.412584
13.123360,38.956990,0.916060,0.401041
16.404199,40.368806,0.921027,0.389498
19.685039,41.732146,0.925824,0.377954
22.965879,43.047760,0.930453,0.366411
26.246719,44.316357,0.934916,0.354868
29.527559,45.538607,0.939217,0.343325
32.808399,46.715143,0.943356,0.331782
36.089239,47.846566,0.947337,0.320238
39.370079,48.933441,0.951161,0.308695
42.650919,49.976303,0.954830,0.297152
45.931759,50.975659,0.958346,0.285609
49.212598,51.931986,0.961711,0.274066
52.493438,52.845733,0.964926,0.262522
55.774278,53.717325,0.967992,0.250979
59.055118,54.547161,0.970912,0.239436
62.335958,55.335617,0.973686,0.227893
65.616798,56.083046,0.976316,0.216350
68.897638,56.789778,0.978803,0.204806
72.178478,57.456123,0.981147,0.193263
75.459318,58.082369,0.983350,0.181720
78.740157,58.668786,0.985414,0.170177
82.020997,59.215623,0.987338,0.158634
85.301837,59.723112,0.989123,0.147090
88.582677,60.191464,0.990771,0.135547
91.863517,60.620875,0.992282,0.124004
95.144357,61.011523,0.993656,0.112461
98.425197,61.363568,0.994895,0.100917
101.706037,61.677155,0.995998,0.089374
104.986877,61.952410,0.996967,0.077831
108.267717,62.189446,0.997801,0.066288
111.548556,62.388358,0.998500,0.054745
114.829396,62.549226,0.999066,0.043201
118.110236,62.672116,0.999499,0.031658
121.391076,62.757076,0.999798,0.020115
124.671916,62.804140,0.999963,0.008572
127.952756,62.813327,0.999996,-0.002971
131.233596,62.784641,0.999895,-0.014515
134.514436,62.718071,0.999660,-0.026058
137.795276,62.613589,0.999293,-0.037601
141.076115,62.471154,0.998792,-0.049144
144.356955,62.290709,0.998157,-0.060687
147.637795,62.072181,0.997388,-0.072231
150.918635,61.815482,0.996485,-0.083774
154.199475,61.520508,0.995447,-0.095317
157.480315,61.187139,0.994274,-0.106860
160.761155,60.815240,0.992966,-0.118403
164.041995,60.404657,0.991521,-0.129947
167.322835,59.955221,0.989940,-0.141490
170.603675,59.466746,0.988221,-0.153033
173.884514,58.939027,0.986364,-0.164576
177.165354,58.371844,0.984369,-0.176119
180.446194,57.764954,0.982234,-0.187663
183.727034,57.118099,0.979958,-0.199206
187.007874,56.430999,0.977540,-0.210749
190.288714,55.703356,0.974980,-0.222292
193.569554,54.934848,0.972276,-0.233835
196.850394,54.125134,0.969427,-0.245379
200.131234,53.273849,0.966432,-0.256922
203.412073,52.380606,0.963289,-0.268465
206.692913,51.444993,0.959998,-0.280008
209.973753,50.466572,0.956555,-0.291551
213.254593,49.444879,0.952960,-0.303095
216.535433,48.379422,0.949212,-0.314638
219.816273,47.269682,0.945307,-0.326181
223.097113,46.115107,0.941245,-0.337724
226.377953,44.915113,0.937023,-0.349267
229.658793,43.669084,0.932639,-0.360811
232.939633,42.376368,0.928091,-0.372354
236.220472,41.036275,0.923376,-0.383897
239.501312,39.648075,0.918492,-0.395440
242.782152,38.210996,0.913436,-0.406983
246.062992,36.724222,0.908204,-0.418527
249.343832,35.186889,0.902796,-0.430070
252.624672,33.598083,0.897206,-0.441613
255.905512,31.956836,0.891431,-0.453156
259.186352,30.262121,0.885468,-0.464700
262.467192,28.512851,0.879314,-0.476243
265.748031,26.707872,0.872963,-0.487786
269.028871,24.845959,0.866412,-0.499329
272.309711,22.925811,0.859657,-0.510872
275.590551,20.946042,0.852691,-0.522416
278.871391,18.905180,0.845511,-0.533959
282.152231,16.801655,0.838110,-0.545502
285.433071,14.633791,0.830482,-0.557045
288.713911,12.399798,0.822622,-0.568588
291.994751,10.097763,0.814523,-0.580132
295.275591,7.725633,0.806177,-0.591675
298.556430,5.281210,0.797576,-0.603218
301.837270,2.762128,0.788713,-0.614761
305.118110,0.165840,0.779579,-0.626304
308.398950,-2.510400,0.770163,-0.637848
311.679790,-5.269563,0.760455,-0.649391
314.960630,-8.114866,0.750444,-0.660934
318.241470,-11.049805,0.740118,-0.672477
321.522310,-14.078187,0.729463,-0.684020
324.803150,-17.204168,0.718465,-0.695564
328.083990,-20.432303,0.707107,-0.707107
