dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.999988,0.005000
3.280840,32.824557,0.999988,0.004850
6.561680,32.840223,0.999989,0.004700
9.842520,32.855397,0.999990,0.004550
13.123360,32.870079,0.999990,0.004400
16.404199,32.884268,0.999991,0.004250
19.685039,32.897966,0.999992,0.004100
22.965879,32.911171,0.999992,0.003950
26.246719,32.923885,0.999993,0.003800
29.527559,32.936106,0.999993,0.003650
32.808399,32.947835,0.999994,0.003500
36.089239,32.959072,0.999994,0.003350
39.370079,32.969817,0.999995,0.003200
42.650919,32.980069,0.999995,0.003050
45.931759,32.989830,0.999996,0.002900
49.212598,32.999098,0.999996,0.002750
52.493438,33.007875,0.999997,0.002600
55.774278,33.016159,0.999997,0.002450
59.055118,33.023951,0.999997,0.002300
62.335958,33.031251,0.999998,0.002150
65.616798,33.038059,0.999998,0.002000
68.897638,33.044375,0.999998,0.001850
72.178478,33.050198,0.999999,0.001700
75.459318,33.055530,0.999999,0.001550
78.740157,33.060370,0.999999,0.001400
82.020997,33.064717,0.999999,0.001250
85.301837,33.068572,0.999999,0.001100
88.582677,33.071935,1.000000,0.000950
91.863517,33.074806,1.000000,0.000800
95.144357,33.077185,1.000000,0.000650
98.425197,33.079072,1.000000,0.000500
101.706037,33.080467,1.000000,0.000350
104.986877,33.081369,1.000000,0.000200
108.267717,33.081780,1.000000,0.000050
111.548556,33.081698,1.000000,-0.000100
114.829396,33.081125,1.000000,-0.000250
118.110236,33.080059,1.000000,-0.000400
121.391076,33.078501,1.000000,-0.000550
124.671916,33.076451,1.000000,-0.000700
127.952756,33.073909,1.000000,-0.000850
131.233596,33.070874,1.000000,-0.001000
134.514436,33.067348,0.999999,-0.001150
137.795276,33.063330,0.999999,-0.001300
141.076115,33.058819,0.999999,-0.001450
144.356955,33.053816,0.999999,-0.001600
147.637795,33.048322,0.999998,-0.001750
150.918635,33.042335,0.999998,-0.001900
154.199475,33.035856,0.999998,-0.002050
157.480315,33.028884,0.999998,-0.002200
160.761155,33.021421,0.999997,-0.002350
164.041995,33.013466,0.999997,-0.002500
167.322835,33.005018,0.999996,-0.002650
170.603675,32.996079,0.999996,-0.002800
173.884514,32.986647,0.999996,-0.002950
177.165354,32.976723,0.999995,-0.003100
180.446194,32.966307,0.999995,-0.003250
183.727034,32.955399,0.999994,-0.003400
187.007874,32.943999,0.999994,-0.003550
190.288714,32.932107,0.999993,-0.003700
193.569554,32.919723,0.999993,-0.003850
196.850394,32.906846,0.999992,-0.004000
200.131234,32.893477,0.999991,-0.004150
203.412073,32.879617,0.999991,-0.004300
206.692913,32.865264,0.999990,-0.004450
209.973753,32.850419,0.999989,-0.004600
213.254593,32.835082,0.999989,-0.004750
216.535433,32.819253,0.999988,-0.004900
219.816273,32.802931,0.999987,-0.005050
223.097113,32.786118,0.999986,-0.005200
226.377953,32.768812,0.999986,-0.005350
229.658793,32.751014,0.999985,-0.005500
232.939633,32.732724,0.999984,-0.005650
236.220472,32.713942,0.999983,-0.005800
239.501312,32.694668,0.999982,-0.005950
242.782152,32.674902,0.999981,-0.006100
246.062992,32.654644,0.999980,-0.006250
249.343832,32.633893,0.999980,-0.006400
252.624672,32.612650,0.999979,-0.006550
255.905512,32.590916,0.999978,-0.006700
259.186352,32.568689,0.999977,-0.006850
262.467192,32.545970,0.999976,-0.007000
265.748031,32.522758,0.999974,-0.007150
269.028871,32.499055,0.999973,-0.007300
272.309711,32.474859,0.999972,-0.007450
275.590551,32.450172,0.999971,-0.007600
278.871391,32.424992,0.999970,-0.007750
282.152231,32.399320,0.999969,-0.007900
285.433071,32.373156,0.999968,-0.008050
288.713911,32.346499,0.999966,-0.008200
291.994751,32.319351,0.999965,-0.008350
295.275591,32.291710,0.999964,-0.008500
298.556430,32.263578,0.999963,-0.008650
301.837270,32.234953,0.999961,-0.008800
305.118110,32.205836,0.999960,-0.008950
308.398950,32.176226,0.999959,-0.009100
311.679790,32.146125,0.999957,-0.009250
314.960630,32.115531,0.999956,-0.009400
318.241470,32.084446,0.999954,-0.009550
321.522310,32.052868,0.999953,-0.009700
324.803150,32.020797,0.999951,-0.009850
328.083990,31.988235,0.999950,-0.010000
