dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.999988,0.005000
3.280833,32.824491,0.999988,0.004850
6.561667,32.840157,0.999989,0.004700
9.842500,32.855331,0.999990,0.004550
13.123333,32.870013,0.999990,0.004400
16.404167,32.884203,0.999991,0.004250
19.685000,32.897900,0.999992,0.004100
22.965833,32.911105,0.999992,0.003950
26.246667,32.923819,0.999993,0.003800
29.527500,32.936040,0.999993,0.003650
32.808333,32.947769,0.999994,0.003500
36.089167,32.959006,0.999994,0.003350
39.370000,32.969751,0.999995,0.003200
42.650833,32.980003,0.999995,0.003050
45.931667,32.989764,0.999996,0.002900
49.212500,32.999032,0.999996,0.002750
52.493333,33.007809,0.999997,0.002600
55.774167,33.016093,0.999997,0.002450
59.055000,33.023885,0.999997,0.002300
62.335833,33.031185,0.999998,0.002150
65.616667,33.037993,0.999998,0.002000
68.897500,33.044309,0.999998,0.001850
72.178333,33.050132,0.999999,0.001700
75.459167,33.055464,0.999999,0.001550
78.740000,33.060303,0.999999,0.001400
82.020833,33.064651,0.999999,0.001250
85.301667,33.068506,0.999999,0.001100
88.582500,33.071869,1.000000,0.000950
91.863333,33.074740,1.000000,0.000800
95.144167,33.077119,1.000000,0.000650
98.425000,33.079006,1.000000,0.000500
101.705833,33.080401,1.000000,0.000350
104.986667,33.081303,1.000000,0.000200
108.267500,33.081714,1.000000,0.000050
111.548333,33.081632,1.000000,-0.000100
114.829167,33.081058,1.000000,-0.000250
118.110000,33.079993,1.000000,-0.000400
121.390833,33.078435,1.000000,-0.000550
124.671667,33.076385,1.000000,-0.000700
127.952500,33.073843,1.000000,-0.000850
131.233333,33.070808,1.000000,-0.001000
134.514167,33.067282,0.999999,-0.001150
137.795000,33.063263,0.999999,-0.001300
141.075833,33.058753,0.999999,-0.001450
144.356667,33.053750,0.999999,-0.001600
147.637500,33.048255,0.999998,-0.001750
150.918333,33.042269,0.999998,-0.001900
154.199167,33.035790,0.999998,-0.002050
157.480000,33.028818,0.999998,-0.002200
160.760833,33.021355,0.999997,-0.002350
164.041667,33.013400,0.999997,-0.002500
167.322500,33.004952,0.999996,-0.002650
170.603333,32.996013,0.999996,-0.002800
173.884167,32.986581,0.999996,-0.002950
177.165000,32.976657,0.999995,-0.003100
180.445833,32.966241,0.999995,-0.003250
183.726667,32.955333,0.999994,-0.003400
187.007500,32.943933,0.999994,-0.003550
190.288333,32.932041,0.999993,-0.003700
193.569167,32.919657,0.999993,-0.003850
196.850000,32.906780,0.999992,-0.004000
200.130833,32.893412,0.999991,-0.004150
203.411667,32.879551,0.999991,-0.004300
206.692500,32.865198,0.999990,-0.004450
209.973333,32.850353,0.999989,-0.004600
213.254167,32.835016,0.999989,-0.004750
216.535000,32.819187,0.999988,-0.004900
219.815833,32.802866,0.999987,-0.005050
223.096667,32.786052,0.999986,-0.005200
226.377500,32.768747,0.999986,-0.005350
229.658333,32.750949,0.999985,-0.005500
232.939167,32.732659,0.999984,-0.005650
236.220000,32.713877,0.999983,-0.005800
239.500833,32.694603,0.999982,-0.005950
242.781667,32.674837,0.999981,-0.006100
246.062500,32.654578,0.999980,-0.006250
249.343333,32.633828,0.999980,-0.006400
252.624167,32.612585,0.999979,-0.006550
255.905000,32.590850,0.999978,-0.006700
259.185833,32.568624,0.999977,-0.006850
262.466667,32.545904,0.999976,-0.007000
265.747500,32.522693,0.999974,-0.007150
269.028333,32.498990,0.999973,-0.007300
272.309167,32.474794,0.999972,-0.007450
275.590000,32.450107,0.999971,-0.007600
278.870833,32.424927,0.999970,-0.007750
282.151667,32.399255,0.999969,-0.007900
285.432500,32.373091,0.999968,-0.008050
288.713333,32.346435,0.999966,-0.008200
291.994167,32.319286,0.999965,-0.008350
295.275000,32.291646,0.999964,-0.008500
298.555833,32.263513,0.999963,-0.008650
301.836667,32.234888,0.999961,-0.008800
305.117500,32.205771,0.999960,-0.008950
308.398333,32.176162,0.999959,-0.009100
311.679167,32.146061,0.999957,-0.009250
314.960000,32.115467,0.999956,-0.009400
318.240833,32.084381,0.999954,-0.009550
321.521667,32.052803,0.999953,-0.009700
324.802500,32.020733,0.999951,-0.009850
328.083333,31.988171,0.999950,-0.010000
