dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.999988,0.005000
3.280840,32.824885,0.999987,0.005050
6.561680,32.841535,0.999987,0.005100
9.842520,32.858350,0.999987,0.005150
13.123360,32.875328,0.999986,0.005200
16.404199,32.892470,0.999986,0.005250
19.685039,32.909777,0.999986,0.005300
22.965879,32.927247,0.999986,0.005350
26.246719,32.944882,0.999985,0.005400
29.527559,32.962680,0.999985,0.005450
32.808399,32.980643,0.999985,0.005500
36.089239,32.998769,0.999985,0.005550
39.370079,33.017060,0.999984,0.005600
42.650919,33.035514,0.999984,0.005650
45.931759,33.054133,0.999984,0.005700
49.212598,33.072916,0.999983,0.005750
52.493438,33.091863,0.999983,0.005800
55.774278,33.110973,0.999983,0.005850
59.055118,33.130248,0.999983,0.005900
62.335958,33.149687,0.999982,0.005950
65.616798,33.169290,0.999982,0.006000
68.897638,33.189057,0.999982,0.006050
72.178478,33.208988,0.999981,0.006100
75.459318,33.229083,0.999981,0.006150
78.740157,33.249342,0.999981,0.006200
82.020997,33.269765,0.999980,0.006250
85.301837,33.290352,0.999980,0.006300
88.582677,33.311103,0.999980,0.006350
91.863517,33.332018,0.999980,0.006400
95.144357,33.353097,0.999979,0.006450
98.425197,33.374341,0.999979,0.006500
101.706037,33.395748,0.999979,0.006550
104.986877,33.417319,0.999978,0.006600
108.267717,33.439055,0.999978,0.006650
111.548556,33.460954,0.999978,0.006700
114.829396,33.483018,0.999977,0.006750
118.110236,33.505245,0.999977,0.006800
121.391076,33.527637,0.999977,0.006850
124.671916,33.550192,0.999976,0.006900
127.952756,33.572912,0.999976,0.006950
131.233596,33.595795,0.999976,0.007000
134.514436,33.618843,0.999975,0.007050
137.795276,33.642055,0.999975,0.007100
141.076115,33.665431,0.999974,0.007150
144.356955,33.688970,0.999974,0.007200
147.637795,33.712674,0.999974,0.007250
150.918635,33.736542,0.999973,0.007300
154.199475,33.760574,0.999973,0.007350
157.480315,33.784770,0.999973,0.007400
160.761155,33.809130,0.999972,0.007450
164.041995,33.833654,0.999972,0.007500
167.322835,33.858342,0.999972,0.007550
170.603675,33.883194,0.999971,0.007600
173.884514,33.908210,0.999971,0.007650
177.165354,33.933391,0.999970,0.007700
180.446194,33.958735,0.999970,0.007750
183.727034,33.984243,0.999970,0.007800
187.007874,34.009916,0.999969,0.007850
190.288714,34.035752,0.999969,0.007900
193.569554,34.061752,0.999968,0.007950
196.850394,34.087917,0.999968,0.008000
200.131234,34.114245,0.999968,0.008050
203.412073,34.140738,0.999967,0.008100
206.692913,34.167395,0.999967,0.008150
209.973753,34.194215,0.999966,0.008200
213.254593,34.221200,0.999966,0.008250
216.535433,34.248349,0.999966,0.008300
219.816273,34.275661,0.999965,0.008350
223.097113,34.303138,0.999965,0.008400
226.377953,34.330779,0.999964,0.008450
229.658793,34.358584,0.999964,0.008500
232.939633,34.386553,0.999963,0.008550
236.220472,34.414686,0.999963,0.008600
239.501312,34.442983,0.999963,0.008650
242.782152,34.471444,0.999962,0.008700
246.062992,34.500069,0.999962,0.008750
249.343832,34.528858,0.999961,0.008800
252.624672,34.557812,0.999961,0.008850
255.905512,34.586929,0.999960,0.008900
259.186352,34.616210,0.999960,0.008950
262.467192,34.645656,0.999960,0.009000
265.748031,34.675265,0.999959,0.009050
269.028871,34.705039,0.999959,0.009100
272.309711,34.734976,0.999958,0.009150
275.590551,34.765078,0.999958,0.009200
278.871391,34.795343,0.999957,0.009250
282.152231,34.825773,0.999957,0.009300
285.433071,34.856367,0.999956,0.009350
288.713911,34.887124,0.999956,0.009400
291.994751,34.918046,0.999955,0.009450
295.275591,34.949132,0.999955,0.009500
298.556430,34.980382,0.999954,0.009550
301.837270,35.011796,0.999954,0.009600
305.118110,35.043374,0.999953,0.009650
308.398950,35.075116,0.999953,0.009700
311.679790,35.107022,0.999952,0.009750
314.960630,35.139092,0.999952,0.009800
318.241470,35.171327,0.999951,0.009850
321.522310,35.203725,0.999951,0.009900
324.803150,35.236287,0.999951,0.009950
328.083990,35.269013,0.999950,0.010000
