dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.707107,-0.707107
3.280840,29.527559,0.707107,-0.707107
6.561680,26.246719,0.707107,-0.707107
9.842520,22.965879,0.707107,-0.707107
13.123360,19.685039,0.707107,-0.707107
16.404199,16.404199,0.707107,-0.707107
19.685039,13.123360,0.707107,-0.707107
22.965879,9.842520,0.707107,-0.707107
26.246719,6.561680,0.707107,-0.707107
29.527559,3.280840,0.707107,-0.707107
32.808399,-0.000000,0.707107,-0.707107
36.089239,-3.280840,0.707107,-0.707107
39.370079,-6.561680,0.707107,-0.707107
42.650919,-9.842520,0.707107,-0.707107
45.931759,-13.123360,0.707107,-0.707107
49.212598,-16.404199,0.707107,-0.707107
52.493438,-19.685039,0.707107,-0.707107
55.774278,-22.965879,0.707107,-0.707107
59.055118,-26.246719,0.707107,-0.707107
62.335958,-29.527559,0.707107,-0.707107
65.616798,-32.808399,0.707107,-0.707107
68.897638,-36.089239,0.707107,-0.707107
72.178478,-39.370079,0.707107,-0.707107
75.459318,-42.650919,0.707107,-0.707107
78.740157,-45.931759,0.707107,-0.707107
82.020997,-49.212598,0.707107,-0.707107
85.301837,-52.493438,0.707107,-0.707107
88.582677,-55.774278,0.707107,-0.707107
91.863517,-59.055118,0.707107,-0.707107
95.144357,-62.335958,0.707107,-0.707107
98.425197,-65.616798,0.707107,-0.707107
101.706037,-68.897638,0.707107,-0.707107
104.986877,-72.178478,0.707107,-0.707107
108.267717,-75.459318,0.707107,-0.707107
111.548556,-78.740157,0.707107,-0.707107
114.829396,-82.020997,0.707107,-0.707107
118.110236,-85.301837,0.707107,-0.707107
121.391076,-88.582677,0.707107,-0.707107
124.671916,-91.863517,0.707107,-0.707107
127.952756,-95.144357,0.707107,-0.707107
131.233596,-98.425197,0.707107,-0.707107
134.514436,-101.706037,0.707107,-0.707107
137.795276,-104.986877,0.707107,-0.707107
141.076115,-108.267717,0.707107,-0.707107
144.356955,-111.548556,0.707107,-0.707107
147.637795,-114.829396,0.707107,-0.707107
150.918635,-118.110236,0.707107,-0.707107
154.199475,-121.391076,0.707107,-0.707107
157.480315,-124.671916,0.707107,-0.707107
160.761155,-127.952756,0.707107,-0.707107
164.041995,-131.233596,0.707107,-0.707107
167.322835,-134.514436,0.707107,-0.707107
170.603675,-137.795276,0.707107,-0.707107
173.884514,-141.076115,0.707107,-0.707107
177.165354,-144.356955,0.707107,-0.707107
180.446194,-147.637795,0.707107,-0.707107
183.727034,-150.918635,0.707107,-0.707107
187.007874,-154.199475,0.707107,-0.707107
190.288714,-157.480315,0.707107,-0.707107
193.569554,-160.761155,0.707107,-0.707107
196.850394,-164.041995,0.707107,-0.707107
200.131234,-167.322835,0.707107,-0.707107
203.412073,-170.603675,0.707107,-0.707107
206.692913,-173.884514,0.707107,-0.707107
209.973753,-177.165354,0.707107,-0.707107
213.254593,-180.446194,0.707107,-0.707107
216.535433,-183.727034,0.707107,-0.707107
219.816273,-187.007874,0.707107,-0.707107
223.097113,-190.288714,0.707107,-0.707107
226.377953,-193.569554,0.707107,-0.707107
229.658793,-196.850394,0.707107,-0.707107
232.939633,-200.131234,0.707107,-0.707107
236.220472,-203.412073,0.707107,-0.707107
239.501312,-206.692913,0.707107,-0.707107
242.782152,-209.973753,0.707107,-0.707107
246.062992,-213.254593,0.707107,-0.707107
249.343832,-216.535433,0.707107,-0.707107
252.624672,-219.816273,0.707107,-0.707107
255.905512,-223.097113,0.707107,-0.707107
259.186352,-226.377953,0.707107,-0.707107
262.467192,-229.658793,0.707107,-0.707107
265.748031,-232.939633,0.707107,-0.707107
269.028871,-236.220472,0.707107,-0.707107
272.309711,-239.501312,0.707107,-0.707107
275.590551,-242.782152,0.707107,-0.707107
278.871391,-246.062992,0.707107,-0.707107
282.152231,-249.343832,0.707107,-0.707107
285.433071,-252.624672,0.707107,-0.707107
288.713911,-255.905512,0.707107,-0.707107
291.994751,-259.186352,0.707107,-0.707107
295.275591,-262.467192,0.707107,-0.707107
298.556430,-265.748031,0.707107,-0.707107
301.837270,-269.028871,0.707107,-0.707107
305.118110,-272.309711,0.707107,-0.707107
308.398950,-275.590551,0.707107,-0.707107
311.679790,-278.871391,0.707107,-0.707107
314.960630,-282.152231,0.707107,-0.707107
318.241470,-285.433071,0.707107,-0.707107
321.522310,-288.713911,0.707107,-0.707107
324.803150,-291.994751,0.707107,-0.707107
328.083990,-295.275591,0.707107,-0.707107
