dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.894427,-0.447214
3.280840,31.159777,0.892635,-0.450781
6.561680,29.494751,0.890835,-0.454326
9.842520,27.813320,0.889029,-0.457850
13.123360,26.115486,0.887217,-0.461353
16.404199,24.401247,0.885398,-0.464834
19.685039,22.670604,0.883573,-0.468294
22.965879,20.923556,0.881742,-0.471732
26.246719,19.160105,0.879905,-0.475149
29.527559,17.380249,0.878063,-0.478544
32.808399,15.583990,0.876216,-0.481919
36.089239,13.771325,0.874363,-0.485272
39.370079,11.942257,0.872506,-0.488603
42.650919,10.096785,0.870644,-0.491914
45.931759,8.234908,0.868777,-0.495203
49.212598,6.356627,0.866906,-0.498471
52.493438,4.461942,0.865031,-0.501718
55.774278,2.550853,0.863152,-0.504944
59.055118,0.623360,0.861269,-0.508149
62.335958,-1.320538,0.859383,-0.511333
65.616798,-3.280840,0.857493,-0.514496
68.897638,-5.257546,0.855600,-0.517638
72.178478,-7.250656,0.853704,-0.520759
75.459318,-9.260171,0.851805,-0.523860
78.740157,-11.286089,0.849903,-0.526940
82.020997,-13.328412,0.847998,-0.529999
85.301837,-15.387139,0.846092,-0.533038
88.582677,-17.462270,0.844182,-0.536056
91.863517,-19.553806,0.842271,-0.539054
95.144357,-21.661745,0.840358,-0.542031
98.425197,-23.786089,0.838444,-0.544988
101.706037,-25.926837,0.836527,-0.547925
104.986877,-28.083990,0.834609,-0.550842
108.267717,-30.257546,0.832690,-0.553739
111.548556,-32.447507,0.830770,-0.556616
114.829396,-34.653871,0.828849,-0.559473
118.110236,-36.876640,0.826927,-0.562310
121.391076,-39.115814,0.825004,-0.565127
124.671916,-41.371391,0.823080,-0.567925
127.952756,-43.643373,0.821156,-0.570704
131.233596,-45.931759,0.819232,-0.573462
134.514436,-48.236549,0.817307,-0.576202
137.795276,-50.557743,0.815383,-0.578922
141.076115,-52.895341,0.813459,-0.581623
144.356955,-55.249344,0.811534,-0.584305
147.637795,-57.619751,0.809610,-0.586968
150.918635,-60.006562,0.807687,-0.589612
154.199475,-62.409777,0.805764,-0.592237
157.480315,-64.829396,0.803842,-0.594843
160.761155,-67.265420,0.801920,-0.597431
164.041995,-69.717848,0.800000,-0.600000
167.322835,-72.186680,0.798081,-0.602551
170.603675,-74.671916,0.796162,-0.605083
173.884514,-77.173556,0.794245,-0.607598
177.165354,-79.691601,0.792329,-0.610094
180.446194,-82.226050,0.790415,-0.612572
183.727034,-84.776903,0.788502,-0.615032
187.007874,-87.344160,0.786591,-0.617474
190.288714,-89.927822,0.784682,-0.619899
193.569554,-92.527887,0.782774,-0.622306
196.850394,-95.144357,0.780869,-0.624695
200.131234,-97.777231,0.778965,-0.627067
203.412073,-100.426509,0.777064,-0.629422
206.692913,-103.092192,0.775165,-0.631759
209.973753,-105.774278,0.773268,-0.634080
213.254593,-108.472769,0.771373,-0.636383
216.535433,-111.187664,0.769481,-0.638669
219.816273,-113.918963,0.767592,-0.640939
223.097113,-116.666667,0.765705,-0.643192
226.377953,-119.430774,0.763821,-0.645428
229.658793,-122.211286,0.761939,-0.647648
232.939633,-125.008202,0.760061,-0.649852
236.220472,-127.821522,0.758185,-0.652039
239.501312,-130.651247,0.756313,-0.654210
242.782152,-133.497375,0.754443,-0.656365
246.062992,-136.359908,0.752577,-0.658505
249.343832,-139.238845,0.750714,-0.660628
252.624672,-142.134186,0.748854,-0.662735
255.905512,-145.045932,0.746997,-0.664827
259.186352,-147.974081,0.745144,-0.666904
262.467192,-150.918635,0.743294,-0.668965
265.748031,-153.879593,0.741448,-0.671010
269.028871,-156.856955,0.739605,-0.673041
272.309711,-159.850722,0.737766,-0.675056
275.590551,-162.860892,0.735931,-0.677057
278.871391,-165.887467,0.734099,-0.679042
282.152231,-168.930446,0.732272,-0.681013
285.433071,-171.989829,0.730448,-0.682969
288.713911,-175.065617,0.728628,-0.684910
291.994751,-178.157808,0.726812,-0.686837
295.275591,-181.266404,0.724999,-0.688749
298.556430,-184.391404,0.723191,-0.690648
301.837270,-187.532808,0.721387,-0.692532
305.118110,-190.690617,0.719587,-0.694402
308.398950,-193.864829,0.717792,-0.696258
311.679790,-197.055446,0.716000,-0.698100
314.960630,-200.262467,0.714213,-0.699929
318.241470,-203.485892,0.712430,-0.701743
321.522310,-206.725722,0.710651,-0.703545
324.803150,-209.981955,0.708877,-0.705332
328.083990,-213.254593,0.707107,-0.707107
