dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.894427,-0.447214
3.280833,31.159715,0.892635,-0.450781
6.561667,29.494692,0.890835,-0.454326
9.842500,27.813265,0.889029,-0.457850
13.123333,26.115433,0.887217,-0.461353
16.404167,24.401198,0.885398,-0.464834
19.685000,22.670558,0.883573,-0.468294
22.965833,20.923515,0.881742,-0.471732
26.246667,19.160067,0.879905,-0.475149
29.527500,17.380215,0.878063,-0.478544
32.808333,15.583958,0.876216,-0.481919
36.089167,13.771298,0.874363,-0.485272
39.370000,11.942233,0.872506,-0.488603
42.650833,10.096765,0.870644,-0.491914
45.931667,8.234892,0.868777,-0.495203
49.212500,6.356615,0.866906,-0.498471
52.493333,4.461933,0.865031,-0.501718
55.774167,2.550848,0.863152,-0.504944
59.055000,0.623358,0.861269,-0.508149
62.335833,-1.320535,0.859383,-0.511333
65.616667,-3.280833,0.857493,-0.514496
68.897500,-5.257535,0.855600,-0.517638
72.178333,-7.250642,0.853704,-0.520759
75.459167,-9.260152,0.851805,-0.523860
78.740000,-11.286067,0.849903,-0.526940
82.020833,-13.328385,0.847998,-0.529999
85.301667,-15.387108,0.846092,-0.533038
88.582500,-17.462235,0.844182,-0.536056
91.863333,-19.553767,0.842271,-0.539054
95.144167,-21.661702,0.840358,-0.542031
98.425000,-23.786042,0.838444,-0.544988
101.705833,-25.926785,0.836527,-0.547925
104.986667,-28.083933,0.834609,-0.550842
108.267500,-30.257485,0.832690,-0.553739
111.548333,-32.447442,0.830770,-0.556616
114.829167,-34.653802,0.828849,-0.559473
118.110000,-36.876567,0.826927,-0.562310
121.390833,-39.115735,0.825004,-0.565127
124.671667,-41.371308,0.823080,-0.567925
127.952500,-43.643285,0.821156,-0.570704
131.233333,-45.931667,0.819232,-0.573462
134.514167,-48.236452,0.817307,-0.576202
137.795000,-50.557642,0.815383,-0.578922
141.075833,-52.895235,0.813459,-0.581623
144.356667,-55.249233,0.811534,-0.584305
147.637500,-57.619635,0.809610,-0.586968
150.918333,-60.006442,0.807687,-0.589612
154.199167,-62.409652,0.805764,-0.592237
157.480000,-64.829267,0.803842,-0.594843
160.760833,-67.265285,0.801920,-0.597431
164.041667,-69.717708,0.800000,-0.600000
167.322500,-72.186535,0.798081,-0.602551
170.603333,-74.671767,0.796162,-0.605083
173.884167,-77.173402,0.794245,-0.607598
177.165000,-79.691442,0.792329,-0.610094
180.445833,-82.225885,0.790415,-0.612572
183.726667,-84.776733,0.788502,-0.615032
187.007500,-87.343985,0.786591,-0.617474
190.288333,-89.927642,0.784682,-0.619899
193.569167,-92.527702,0.782774,-0.622306
196.850000,-95.144167,0.780869,-0.624695
200.130833,-97.777035,0.778965,-0.627067
203.411667,-100.426308,0.777064,-0.629422
206.692500,-103.091985,0.775165,-0.631759
209.973333,-105.774067,0.773268,-0.634080
213.254167,-108.472552,0.771373,-0.636383
216.535000,-111.187442,0.769481,-0.638669
219.815833,-113.918735,0.767592,-0.640939
223.096667,-116.666433,0.765705,-0.643192
226.377500,-119.430535,0.763821,-0.645428
229.658333,-122.211042,0.761939,-0.647648
232.939167,-125.007952,0.760061,-0.649852
236.220000,-127.821267,0.758185,-0.652039
239.500833,-130.650985,0.756313,-0.654210
242.781667,-133.497108,0.754443,-0.656365
246.062500,-136.359635,0.752577,-0.658505
249.343333,-139.238567,0.750714,-0.660628
252.624167,-142.133902,0.748854,-0.662735
255.905000,-145.045642,0.746997,-0.664827
259.185833,-147.973785,0.745144,-0.666904
262.466667,-150.918333,0.743294,-0.668965
265.747500,-153.879285,0.741448,-0.671010
269.028333,-156.856642,0.739605,-0.673041
272.309167,-159.850402,0.737766,-0.675056
275.590000,-162.860567,0.735931,-0.677057
278.870833,-165.887135,0.734099,-0.679042
282.151667,-168.930108,0.732272,-0.681013
285.432500,-171.989485,0.730448,-0.682969
288.713333,-175.065267,0.728628,-0.684910
291.994167,-178.157452,0.726812,-0.686837
295.275000,-181.266042,0.724999,-0.688749
298.555833,-184.391035,0.723191,-0.690648
301.836667,-187.532433,0.721387,-0.692532
305.117500,-190.690235,0.719587,-0.694402
308.398333,-193.864442,0.717792,-0.696258
311.679167,-197.055052,0.716000,-0.698100
314.960000,-200.262067,0.714213,-0.699929
318.240833,-203.485485,0.712430,-0.701743
321.521667,-206.725308,0.710651,-0.703545
324.802500,-209.981535,0.708877,-0.705332
328.083333,-213.254167,0.707107,-0.707107
