dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.999988,-0.005000
3.280833,32.791847,0.999987,-0.005050
6.561667,32.775197,0.999987,-0.005100
9.842500,32.758383,0.999987,-0.005150
13.123333,32.741404,0.999986,-0.005200
16.404167,32.724262,0.999986,-0.005250
19.685000,32.706956,0.999986,-0.005300
22.965833,32.689485,0.999986,-0.005350
26.246667,32.671851,0.999985,-0.005400
29.527500,32.654052,0.999985,-0.005450
32.808333,32.636090,0.999985,-0.005500
36.089167,32.617963,0.999985,-0.005550
39.370000,32.599672,0.999984,-0.005600
42.650833,32.581218,0.999984,-0.005650
45.931667,32.562599,0.999984,-0.005700
49.212500,32.543816,0.999983,-0.005750
52.493333,32.524869,0.999983,-0.005800
55.774167,32.505758,0.999983,-0.005850
59.055000,32.486484,0.999983,-0.005900
62.335833,32.467045,0.999982,-0.005950
65.616667,32.447442,0.999982,-0.006000
68.897500,32.427675,0.999982,-0.006050
72.178333,32.407744,0.999981,-0.006100
75.459167,32.387648,0.999981,-0.006150
78.740000,32.367389,0.999981,-0.006200
82.020833,32.346966,0.999980,-0.006250
85.301667,32.326379,0.999980,-0.006300
88.582500,32.305628,0.999980,-0.006350
91.863333,32.284712,0.999980,-0.006400
95.144167,32.263633,0.999979,-0.006450
98.425000,32.242390,0.999979,-0.006500
101.705833,32.220982,0.999979,-0.006550
104.986667,32.199411,0.999978,-0.006600
108.267500,32.177675,0.999978,-0.006650
111.548333,32.155776,0.999978,-0.006700
114.829167,32.133712,0.999977,-0.006750
118.110000,32.111484,0.999977,-0.006800
121.390833,32.089093,0.999977,-0.006850
124.671667,32.066537,0.999976,-0.006900
127.952500,32.043817,0.999976,-0.006950
131.233333,32.020933,0.999976,-0.007000
134.514167,31.997885,0.999975,-0.007050
137.795000,31.974674,0.999975,-0.007100
141.075833,31.951298,0.999974,-0.007150
144.356667,31.927758,0.999974,-0.007200
147.637500,31.904054,0.999974,-0.007250
150.918333,31.880186,0.999973,-0.007300
154.199167,31.856153,0.999973,-0.007350
157.480000,31.831957,0.999973,-0.007400
160.760833,31.807597,0.999972,-0.007450
164.041667,31.783073,0.999972,-0.007500
167.322500,31.758385,0.999971,-0.007550
170.603333,31.733532,0.999971,-0.007600
173.884167,31.708516,0.999971,-0.007650
177.165000,31.683336,0.999970,-0.007700
180.445833,31.657991,0.999970,-0.007750
183.726667,31.632483,0.999970,-0.007800
187.007500,31.606810,0.999969,-0.007850
190.288333,31.580974,0.999969,-0.007900
193.569167,31.554973,0.999968,-0.007950
196.850000,31.528808,0.999968,-0.008000
200.130833,31.502480,0.999968,-0.008050
203.411667,31.475987,0.999967,-0.008100
206.692500,31.449330,0.999967,-0.008150
209.973333,31.422509,0.999966,-0.008200
213.254167,31.395524,0.999966,-0.008250
216.535000,31.368376,0.999966,-0.008300
219.815833,31.341063,0.999965,-0.008350
223.096667,31.313586,0.999965,-0.008400
226.377500,31.285945,0.999964,-0.008450
229.658333,31.258140,0.999964,-0.008500
232.939167,31.230170,0.999963,-0.008550
236.220000,31.202037,0.999963,-0.008600
239.500833,31.173740,0.999963,-0.008650
242.781667,31.145279,0.999962,-0.008700
246.062500,31.116654,0.999962,-0.008750
249.343333,31.087864,0.999961,-0.008800
252.624167,31.058911,0.999961,-0.008850
255.905000,31.029794,0.999960,-0.008900
259.185833,31.000512,0.999960,-0.008950
262.466667,30.971067,0.999960,-0.009000
265.747500,30.941457,0.999959,-0.009050
269.028333,30.911684,0.999959,-0.009100
272.309167,30.881746,0.999958,-0.009150
275.590000,30.851644,0.999958,-0.009200
278.870833,30.821379,0.999957,-0.009250
282.151667,30.790949,0.999957,-0.009300
285.432500,30.760355,0.999956,-0.009350
288.713333,30.729597,0.999956,-0.009400
291.994167,30.698675,0.999955,-0.009450
295.275000,30.667590,0.999955,-0.009500
298.555833,30.636340,0.999954,-0.009550
301.836667,30.604926,0.999954,-0.009600
305.117500,30.573348,0.999953,-0.009650
308.398333,30.541606,0.999953,-0.009700
311.679167,30.509699,0.999952,-0.009750
314.960000,30.477629,0.999952,-0.009800
318.240833,30.445395,0.999951,-0.009850
321.521667,30.412997,0.999951,-0.009900
324.802500,30.380435,0.999951,-0.009950
328.083333,30.347708,0.999950,-0.010000
