dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.894427,-0.447214
3.280833,31.176119,0.896212,-0.443625
6.561667,29.560308,0.897990,-0.440015
9.842500,27.960902,0.899761,-0.436384
13.123333,26.377900,0.901523,-0.432731
16.404167,24.811302,0.903278,-0.429057
19.685000,23.261108,0.905024,-0.425361
22.965833,21.727319,0.906761,-0.421644
26.246667,20.209933,0.908490,-0.417906
29.527500,18.708952,0.910211,-0.414146
32.808333,17.224375,0.911922,-0.410365
36.089167,15.756202,0.913623,-0.406562
39.370000,14.304433,0.915315,-0.402739
42.650833,12.869069,0.916997,-0.398894
45.931667,11.450108,0.918669,-0.395028
49.212500,10.047552,0.920331,-0.391141
52.493333,8.661400,0.921982,-0.387232
55.774167,7.291652,0.923623,-0.383303
59.055000,5.938308,0.925252,-0.379353
62.335833,4.601369,0.926870,-0.375382
65.616667,3.280833,0.928477,-0.371391
68.897500,1.976702,0.930072,-0.367378
72.178333,0.688975,0.931655,-0.363345
75.459167,-0.582348,0.933225,-0.359292
78.740000,-1.837267,0.934784,-0.355218
82.020833,-3.075781,0.936329,-0.351123
85.301667,-4.297892,0.937862,-0.347009
88.582500,-5.503598,0.939381,-0.342874
91.863333,-6.692900,0.940887,-0.338719
95.144167,-7.865798,0.942380,-0.334545
98.425000,-9.022292,0.943858,-0.330350
101.705833,-10.162381,0.945323,-0.326136
104.986667,-11.286067,0.946773,-0.321903
108.267500,-12.393348,0.948208,-0.317650
111.548333,-13.484225,0.949629,-0.313377
114.829167,-14.558698,0.951034,-0.309086
118.110000,-15.616767,0.952424,-0.304776
121.390833,-16.658431,0.953799,-0.300447
124.671667,-17.683692,0.955157,-0.296099
127.952500,-18.692548,0.956500,-0.291732
131.233333,-19.685000,0.957826,-0.287348
134.514167,-20.661048,0.959136,-0.282945
137.795000,-21.620692,0.960429,-0.278524
141.075833,-22.563931,0.961705,-0.274086
144.356667,-23.490767,0.962964,-0.269630
147.637500,-24.401198,0.964205,-0.265156
150.918333,-25.295225,0.965429,-0.260666
154.199167,-26.172848,0.966635,-0.256158
157.480000,-27.034067,0.967823,-0.251634
160.760833,-27.878881,0.968992,-0.247093
164.041667,-28.707292,0.970143,-0.242536
167.322500,-29.519298,0.971274,-0.237962
170.603333,-30.314900,0.972387,-0.233373
173.884167,-31.094098,0.973481,-0.228768
177.165000,-31.856892,0.974555,-0.224148
180.445833,-32.603281,0.975610,-0.219512
183.726667,-33.333267,0.976644,-0.214862
187.007500,-34.046848,0.977659,-0.210197
190.288333,-34.744025,0.978653,-0.205517
193.569167,-35.424798,0.979627,-0.200824
196.850000,-36.089167,0.980581,-0.196116
200.130833,-36.737131,0.981513,-0.191395
203.411667,-37.368692,0.982424,-0.186661
206.692500,-37.983848,0.983315,-0.181913
209.973333,-38.582600,0.984183,-0.177153
213.254167,-39.164948,0.985030,-0.172380
216.535000,-39.730892,0.985856,-0.167595
219.815833,-40.280431,0.986659,-0.162799
223.096667,-40.813567,0.987441,-0.157991
226.377500,-41.330298,0.988200,-0.153171
229.658333,-41.830625,0.988936,-0.148340
232.939167,-42.314548,0.989650,-0.143499
236.220000,-42.782067,0.990342,-0.138648
239.500833,-43.233181,0.991010,-0.133786
242.781667,-43.667892,0.991656,-0.128915
246.062500,-44.086198,0.992278,-0.124035
249.343333,-44.488100,0.992877,-0.119145
252.624167,-44.873598,0.993452,-0.114247
255.905000,-45.242692,0.994004,-0.109340
259.185833,-45.595381,0.994533,-0.104426
262.466667,-45.931667,0.995037,-0.099504
265.747500,-46.251548,0.995518,-0.094574
269.028333,-46.555025,0.995974,-0.089638
272.309167,-46.842098,0.996407,-0.084695
275.590000,-47.112767,0.996815,-0.079745
278.870833,-47.367031,0.997199,-0.074790
282.151667,-47.604892,0.997559,-0.069829
285.432500,-47.826348,0.997894,-0.064863
288.713333,-48.031400,0.998205,-0.059892
291.994167,-48.220048,0.998491,-0.054917
295.275000,-48.392292,0.998752,-0.049938
298.555833,-48.548131,0.998989,-0.044955
301.836667,-48.687567,0.999201,-0.039968
305.117500,-48.810598,0.999388,-0.034979
308.398333,-48.917225,0.999550,-0.029987
311.679167,-49.007448,0.999688,-0.024992
314.960000,-49.081267,0.999800,-0.019996
318.240833,-49.138681,0.999888,-0.014998
321.521667,-49.179692,0.999950,-0.010000
324.802500,-49.204298,0.999988,-0.005000
328.083333,-49.212500,1.000000,0.000000
