dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.894427,-0.447214
1.000000,9.507500,0.899761,-0.436384
2.000000,9.030000,0.905024,-0.425361
3.000000,8.567500,0.910211,-0.414146
4.000000,8.120000,0.915315,-0.402739
5.000000,7.687500,0.920331,-0.391141
6.000000,7.270000,0.925252,-0.379353
7.000000,6.867500,0.930072,-0.367378
8.000000,6.480000,0.934784,-0.355218
9.000000,6.107500,0.939381,-0.342874
10.000000,5.750000,0.943858,-0.330350
11.000000,5.407500,0.948208,-0.317650
12.000000,5.080000,0.952424,-0.304776
13.000000,4.767500,0.956500,-0.291732
14.000000,4.470000,0.960429,-0.278524
15.000000,4.187500,0.964205,-0.265156
16.000000,3.920000,0.967823,-0.251634
17.000000,3.667500,0.971274,-0.237962
18.000000,3.430000,0.974555,-0.224148
19.000000,3.207500,0.977659,-0.210197
20.000000,3.000000,0.980581,-0.196116
21.000000,2.807500,0.983315,-0.181913
22.000000,2.630000,0.985856,-0.167595
23.000000,2.467500,0.988200,-0.153171
24.000000,2.320000,0.990342,-0.138648
25.000000,2.187500,0.992278,-0.124035
26.000000,2.070000,0.994004,-0.109340
27.000000,1.967500,0.995518,-0.094574
28.000000,1.880000,0.996815,-0.079745
29.000000,1.807500,0.997894,-0.064863
30.000000,1.750000,0.998752,-0.049938
31.000000,1.707500,0.999388,-0.034979
32.000000,1.680000,0.999800,-0.019996
33.000000,1.667500,0.999988,-0.005000
34.000000,1.670000,0.999950,0.010000
35.000000,1.687500,0.999688,0.024992
36.000000,1.720000,0.999201,0.039968
37.000000,1.767500,0.998491,0.054917
38.000000,1.830000,0.997559,0.069829
39.000000,1.907500,0.996407,0.084695
40.000000,2.000000,0.995037,0.099504
41.000000,2.107500,0.993452,0.114247
42.000000,2.230000,0.991656,0.128915
43.000000,2.367500,0.989650,0.143499
44.000000,2.520000,0.987441,0.157991
45.000000,2.687500,0.985030,0.172380
46.000000,2.870000,0.982424,0.186661
47.000000,3.067500,0.979627,0.200824
48.000000,3.280000,0.976644,0.214862
49.000000,3.507500,0.973481,0.228768
50.000000,3.750000,0.970143,0.242536
51.000000,4.007500,0.966635,0.256158
52.000000,4.280000,0.962964,0.269630
53.000000,4.567500,0.959136,0.282945
54.000000,4.870000,0.955157,0.296099
55.000000,5.187500,0.951034,0.309086
56.000000,5.520000,0.946773,0.321903
57.000000,5.867500,0.942380,0.334545
58.000000,6.230000,0.937862,0.347009
59.000000,6.607500,0.933225,0.359292
60.000000,7.000000,0.928477,0.371391
61.000000,7.407500,0.923623,0.383303
62.000000,7.830000,0.918669,0.395028
63.000000,8.267500,0.913623,0.406562
64.000000,8.720000,0.908490,0.417906
65.000000,9.187500,0.903278,0.429057
66.000000,9.670000,0.897990,0.440015
67.000000,10.167500,0.892635,0.450781
68.000000,10.680000,0.887217,0.461353
69.000000,11.207500,0.881742,0.471732
70.000000,11.750000,0.876216,0.481919
71.000000,12.307500,0.870644,0.491914
72.000000,12.880000,0.865031,0.501718
73.000000,13.467500,0.859383,0.511333
74.000000,14.070000,0.853704,0.520759
75.000000,14.687500,0.847998,0.529999
76.000000,15.320000,0.842271,0.539054
77.000000,15.967500,0.836527,0.547925
78.000000,16.630000,0.830770,0.556616
79.000000,17.307500,0.825004,0.565127
80.000000,18.000000,0.819232,0.573462
81.000000,18.707500,0.813459,0.581623
82.000000,19.430000,0.807687,0.589612
83.000000,20.167500,0.801920,0.597431
84.000000,20.920000,0.796162,0.605083
85.000000,21.687500,0.790415,0.612572
86.000000,22.470000,0.784682,0.619899
87.000000,23.267500,0.778965,0.627067
88.000000,24.080000,0.773268,0.634080
89.000000,24.907500,0.767592,0.640939
90.000000,25.750000,0.761939,0.647648
91.000000,26.607500,0.756313,0.654210
92.000000,27.480000,0.750714,0.660628
93.000000,28.367500,0.745144,0.666904
94.000000,29.270000,0.739605,0.673041
95.000000,30.187500,0.734099,0.679042
96.000000,31.120000,0.728628,0.684910
97.000000,32.067500,0.723191,0.690648
98.000000,33.030000,0.717792,0.696258
99.000000,34.007500,0.712430,0.701743
100.000000,35.000000,0.707107,0.707107
