dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.999988,-0.005000
1.000000,9.995075,0.999988,-0.004850
2.000000,9.990300,0.999989,-0.004700
3.000000,9.985675,0.999990,-0.004550
4.000000,9.981200,0.999990,-0.004400
5.000000,9.976875,0.999991,-0.004250
6.000000,9.972700,0.999992,-0.004100
7.000000,9.968675,0.999992,-0.003950
8.000000,9.964800,0.999993,-0.003800
9.000000,9.961075,0.999993,-0.003650
10.000000,9.957500,0.999994,-0.003500
11.000000,9.954075,0.999994,-0.003350
12.000000,9.950800,0.999995,-0.003200
13.000000,9.947675,0.999995,-0.003050
14.000000,9.944700,0.999996,-0.002900
15.000000,9.941875,0.999996,-0.002750
16.000000,9.939200,0.999997,-0.002600
17.000000,9.936675,0.999997,-0.002450
18.000000,9.934300,0.999997,-0.002300
19.000000,9.932075,0.999998,-0.002150
20.000000,9.930000,0.999998,-0.002000
21.000000,9.928075,0.999998,-0.001850
22.000000,9.926300,0.999999,-0.001700
23.000000,9.924675,0.999999,-0.001550
24.000000,9.923200,0.999999,-0.001400
25.000000,9.921875,0.999999,-0.001250
26.000000,9.920700,0.999999,-0.001100
27.000000,9.919675,1.000000,-0.000950
28.000000,9.918800,1.000000,-0.000800
29.000000,9.918075,1.000000,-0.000650
30.000000,9.917500,1.000000,-0.000500
31.000000,9.917075,1.000000,-0.000350
32.000000,9.916800,1.000000,-0.000200
33.000000,9.916675,1.000000,-0.000050
34.000000,9.916700,1.000000,0.000100
35.000000,9.916875,1.000000,0.000250
36.000000,9.917200,1.000000,0.000400
37.000000,9.917675,1.000000,0.000550
38.000000,9.918300,1.000000,0.000700
39.000000,9.919075,1.000000,0.000850
40.000000,9.920000,1.000000,0.001000
41.000000,9.921075,0.999999,0.001150
42.000000,9.922300,0.999999,0.001300
43.000000,9.923675,0.999999,0.001450
44.000000,9.925200,0.999999,0.001600
45.000000,9.926875,0.999998,0.001750
46.000000,9.928700,0.999998,0.001900
47.000000,9.930675,0.999998,0.002050
48.000000,9.932800,0.999998,0.002200
49.000000,9.935075,0.999997,0.002350
50.000000,9.937500,0.999997,0.002500
51.000000,9.940075,0.999996,0.002650
52.000000,9.942800,0.999996,0.002800
53.000000,9.945675,0.999996,0.002950
54.000000,9.948700,0.999995,0.003100
55.000000,9.951875,0.999995,0.003250
56.000000,9.955200,0.999994,0.003400
57.000000,9.958675,0.999994,0.003550
58.000000,9.962300,0.999993,0.003700
59.000000,9.966075,0.999993,0.003850
60.000000,9.970000,0.999992,0.004000
61.000000,9.974075,0.999991,0.004150
62.000000,9.978300,0.999991,0.004300
63.000000,9.982675,0.999990,0.004450
64.000000,9.987200,0.999989,0.004600
65.000000,9.991875,0.999989,0.004750
66.000000,9.996700,0.999988,0.004900
67.000000,10.001675,0.999987,0.005050
68.000000,10.006800,0.999986,0.005200
69.000000,10.012075,0.999986,0.005350
70.000000,10.017500,0.999985,0.005500
71.000000,10.023075,0.999984,0.005650
72.000000,10.028800,0.999983,0.005800
73.000000,10.034675,0.999982,0.005950
74.000000,10.040700,0.999981,0.006100
75.000000,10.046875,0.999980,0.006250
76.000000,10.053200,0.999980,0.006400
77.000000,10.059675,0.999979,0.006550
78.000000,10.066300,0.999978,0.006700
79.000000,10.073075,0.999977,0.006850
80.000000,10.080000,0.999976,0.007000
81.000000,10.087075,0.999974,0.007150
82.000000,10.094300,0.999973,0.007300
83.000000,10.101675,0.999972,0.007450
84.000000,10.109200,0.999971,0.007600
85.000000,10.116875,0.999970,0.007750
86.000000,10.124700,0.999969,0.007900
87.000000,10.132675,0.999968,0.008050
88.000000,10.140800,0.999966,0.008200
89.000000,10.149075,0.999965,0.008350
90.000000,10.157500,0.999964,0.008500
91.000000,10.166075,0.999963,0.008650
92.000000,10.174800,0.999961,0.008800
93.000000,10.183675,0.999960,0.008950
94.000000,10.192700,0.999959,0.009100
95.000000,10.201875,0.999957,0.009250
96.000000,10.211200,0.999956,0.009400
97.000000,10.220675,0.999954,0.009550
98.000000,10.230300,0.999953,0.009700
99.000000,10.240075,0.999951,0.009850
100.000000,10.250000,0.999950,0.010000
