dist_along,Y,RefDir_dx,RefDir_dy
-0.000000,32.808399,0.999950,-0.010000
3.280840,32.775673,0.999951,-0.009950
6.561680,32.743110,0.999951,-0.009900
9.842520,32.710712,0.999951,-0.009850
13.123360,32.678478,0.999952,-0.009800
16.404199,32.646407,0.999952,-0.009750
19.685039,32.614501,0.999953,-0.009700
22.965879,32.582759,0.999953,-0.009650
26.246719,32.551181,0.999954,-0.009600
29.527559,32.519767,0.999954,-0.009550
32.808399,32.488517,0.999955,-0.009500
36.089239,32.457431,0.999955,-0.009450
39.370079,32.426509,0.999956,-0.009400
42.650919,32.395751,0.999956,-0.009350
45.931759,32.365157,0.999957,-0.009300
49.212598,32.334728,0.999957,-0.009250
52.493438,32.304462,0.999958,-0.009200
55.774278,32.274360,0.999958,-0.009150
59.055118,32.244423,0.999959,-0.009100
62.335958,32.214649,0.999959,-0.009050
65.616798,32.185039,0.999960,-0.009000
68.897638,32.155594,0.999960,-0.008950
72.178478,32.126312,0.999960,-0.008900
75.459318,32.097195,0.999961,-0.008850
78.740157,32.068241,0.999961,-0.008800
82.020997,32.039452,0.999962,-0.008750
85.301837,32.010827,0.999962,-0.008700
88.582677,31.982365,0.999963,-0.008650
91.863517,31.954068,0.999963,-0.008600
95.144357,31.925935,0.999963,-0.008550
98.425197,31.897966,0.999964,-0.008500
101.706037,31.870161,0.999964,-0.008450
104.986877,31.842520,0.999965,-0.008400
108.267717,31.815043,0.999965,-0.008350
111.548556,31.787730,0.999966,-0.008300
114.829396,31.760581,0.999966,-0.008250
118.110236,31.733596,0.999966,-0.008200
121.391076,31.706775,0.999967,-0.008150
124.671916,31.680118,0.999967,-0.008100
127.952756,31.653625,0.999968,-0.008050
131.233596,31.627297,0.999968,-0.008000
134.514436,31.601132,0.999968,-0.007950
137.795276,31.575131,0.999969,-0.007900
141.076115,31.549295,0.999969,-0.007850
144.356955,31.523622,0.999970,-0.007800
147.637795,31.498114,0.999970,-0.007750
150.918635,31.472769,0.999970,-0.007700
154.199475,31.447589,0.999971,-0.007650
157.480315,31.422572,0.999971,-0.007600
160.761155,31.397720,0.999971,-0.007550
164.041995,31.373031,0.999972,-0.007500
167.322835,31.348507,0.999972,-0.007450
170.603675,31.324147,0.999973,-0.007400
173.884514,31.299951,0.999973,-0.007350
177.165354,31.275919,0.999973,-0.007300
180.446194,31.252051,0.999974,-0.007250
183.727034,31.228346,0.999974,-0.007200
187.007874,31.204806,0.999974,-0.007150
190.288714,31.181430,0.999975,-0.007100
193.569554,31.158219,0.999975,-0.007050
196.850394,31.135171,0.999976,-0.007000
200.131234,31.112287,0.999976,-0.006950
203.412073,31.089567,0.999976,-0.006900
206.692913,31.067011,0.999977,-0.006850
209.973753,31.044619,0.999977,-0.006800
213.254593,31.022392,0.999977,-0.006750
216.535433,31.000328,0.999978,-0.006700
219.816273,30.978428,0.999978,-0.006650
223.097113,30.956693,0.999978,-0.006600
226.377953,30.935121,0.999979,-0.006550
229.658793,30.913714,0.999979,-0.006500
232.939633,30.892470,0.999979,-0.006450
236.220472,30.871391,0.999980,-0.006400
239.501312,30.850476,0.999980,-0.006350
242.782152,30.829724,0.999980,-0.006300
246.062992,30.809137,0.999980,-0.006250
249.343832,30.788714,0.999981,-0.006200
252.624672,30.768455,0.999981,-0.006150
255.905512,30.748360,0.999981,-0.006100
259.186352,30.728428,0.999982,-0.006050
262.467192,30.708661,0.999982,-0.006000
265.748031,30.689058,0.999982,-0.005950
269.028871,30.669619,0.999983,-0.005900
272.309711,30.650344,0.999983,-0.005850
275.590551,30.631234,0.999983,-0.005800
278.871391,30.612287,0.999983,-0.005750
282.152231,30.593504,0.999984,-0.005700
285.433071,30.574885,0.999984,-0.005650
288.713911,30.556430,0.999984,-0.005600
291.994751,30.538140,0.999985,-0.005550
295.275591,30.520013,0.999985,-0.005500
298.556430,30.502051,0.999985,-0.005450
301.837270,30.484252,0.999985,-0.005400
305.118110,30.466617,0.999986,-0.005350
308.398950,30.449147,0.999986,-0.005300
311.679790,30.431841,0.999986,-0.005250
314.960630,30.414698,0.999986,-0.005200
318.241470,30.397720,0.999987,-0.005150
321.522310,30.380906,0.999987,-0.005100
324.803150,30.364255,0.999987,-0.005050
328.083990,30.347769,0.999988,-0.005000
