dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.707107,-0.707107
3.280833,29.552106,0.712430,-0.701743
6.561667,26.345092,0.717792,-0.696258
9.842500,23.187290,0.723191,-0.690648
13.123333,20.078700,0.728628,-0.684910
16.404167,17.019323,0.734099,-0.679042
19.685000,14.009158,0.739605,-0.673041
22.965833,11.048206,0.745144,-0.666904
26.246667,8.136467,0.750714,-0.660628
29.527500,5.273940,0.756313,-0.654210
32.808333,2.460625,0.761939,-0.647648
36.089167,-0.303477,0.767592,-0.640939
39.370000,-3.018367,0.773268,-0.634080
42.650833,-5.684044,0.778965,-0.627067
45.931667,-8.300508,0.784682,-0.619899
49.212500,-10.867760,0.790415,-0.612572
52.493333,-13.385800,0.796162,-0.605083
55.774167,-15.854627,0.801920,-0.597431
59.055000,-18.274242,0.807687,-0.589612
62.335833,-20.644644,0.813459,-0.581623
65.616667,-22.965833,0.819232,-0.573462
68.897500,-25.237810,0.825004,-0.565127
72.178333,-27.460575,0.830770,-0.556616
75.459167,-29.634127,0.836527,-0.547925
78.740000,-31.758467,0.842271,-0.539054
82.020833,-33.833594,0.847998,-0.529999
85.301667,-35.859508,0.853704,-0.520759
88.582500,-37.836210,0.859383,-0.511333
91.863333,-39.763700,0.865031,-0.501718
95.144167,-41.641977,0.870644,-0.491914
98.425000,-43.471042,0.876216,-0.481919
101.705833,-45.250894,0.881742,-0.471732
104.986667,-46.981533,0.887217,-0.461353
108.267500,-48.662960,0.892635,-0.450781
111.548333,-50.295175,0.897990,-0.440015
114.829167,-51.878177,0.903278,-0.429057
118.110000,-53.411967,0.908490,-0.417906
121.390833,-54.896544,0.913623,-0.406562
124.671667,-56.331908,0.918669,-0.395028
127.952500,-57.718060,0.923623,-0.383303
131.233333,-59.055000,0.928477,-0.371391
134.514167,-60.342727,0.933225,-0.359292
137.795000,-61.581242,0.937862,-0.347009
141.075833,-62.770544,0.942380,-0.334545
144.356667,-63.910633,0.946773,-0.321903
147.637500,-65.001510,0.951034,-0.309086
150.918333,-66.043175,0.955157,-0.296099
154.199167,-67.035627,0.959136,-0.282945
157.480000,-67.978867,0.962964,-0.269630
160.760833,-68.872894,0.966635,-0.256158
164.041667,-69.717708,0.970143,-0.242536
167.322500,-70.513310,0.973481,-0.228768
170.603333,-71.259700,0.976644,-0.214862
173.884167,-71.956877,0.979627,-0.200824
177.165000,-72.604842,0.982424,-0.186661
180.445833,-73.203594,0.985030,-0.172380
183.726667,-73.753133,0.987441,-0.157991
187.007500,-74.253460,0.989650,-0.143499
190.288333,-74.704575,0.991656,-0.128915
193.569167,-75.106477,0.993452,-0.114247
196.850000,-75.459167,0.995037,-0.099504
200.130833,-75.762644,0.996407,-0.084695
203.411667,-76.016908,0.997559,-0.069829
206.692500,-76.221960,0.998491,-0.054917
209.973333,-76.377800,0.999201,-0.039968
213.254167,-76.484427,0.999688,-0.024992
216.535000,-76.541842,0.999950,-0.010000
219.815833,-76.550044,0.999988,0.005000
223.096667,-76.509033,0.999800,0.019996
226.377500,-76.418810,0.999388,0.034979
229.658333,-76.279375,0.998752,0.049938
232.939167,-76.090727,0.997894,0.064863
236.220000,-75.852867,0.996815,0.079745
239.500833,-75.565794,0.995518,0.094574
242.781667,-75.229508,0.994004,0.109340
246.062500,-74.844010,0.992278,0.124035
249.343333,-74.409300,0.990342,0.138648
252.624167,-73.925377,0.988200,0.153171
255.905000,-73.392242,0.985856,0.167595
259.185833,-72.809894,0.983315,0.181913
262.466667,-72.178333,0.980581,0.196116
265.747500,-71.497560,0.977659,0.210197
269.028333,-70.767575,0.974555,0.224148
272.309167,-69.988377,0.971274,0.237962
275.590000,-69.159967,0.967823,0.251634
278.870833,-68.282344,0.964205,0.265156
282.151667,-67.355508,0.960429,0.278524
285.432500,-66.379460,0.956500,0.291732
288.713333,-65.354200,0.952424,0.304776
291.994167,-64.279727,0.948208,0.317650
295.275000,-63.156042,0.943858,0.330350
298.555833,-61.983144,0.939381,0.342874
301.836667,-60.761033,0.934784,0.355218
305.117500,-59.489710,0.930072,0.367378
308.398333,-58.169175,0.925252,0.379353
311.679167,-56.799427,0.920331,0.391141
314.960000,-55.380467,0.915315,0.402739
318.240833,-53.912294,0.910211,0.414146
321.521667,-52.394908,0.905024,0.425361
324.802500,-50.828310,0.899761,0.436384
328.083333,-49.212500,0.894427,0.447214
