dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,1.000000,0.000000
3.280833,32.808251,1.000000,-0.000050
6.561667,32.808005,1.000000,-0.000100
9.842500,32.807595,1.000000,-0.000150
13.123333,32.807021,1.000000,-0.000200
16.404167,32.806283,1.000000,-0.000250
19.685000,32.805381,1.000000,-0.000300
22.965833,32.804314,1.000000,-0.000350
26.246667,32.803084,1.000000,-0.000400
29.527500,32.801690,1.000000,-0.000450
32.808333,32.800131,1.000000,-0.000500
36.089167,32.798409,1.000000,-0.000550
39.370000,32.796522,1.000000,-0.000600
42.650833,32.794472,1.000000,-0.000650
45.931667,32.792257,1.000000,-0.000700
49.212500,32.789879,1.000000,-0.000750
52.493333,32.787336,1.000000,-0.000800
55.774167,32.784629,1.000000,-0.000850
59.055000,32.781759,1.000000,-0.000900
62.335833,32.778724,1.000000,-0.000950
65.616667,32.775525,1.000000,-0.001000
68.897500,32.772162,0.999999,-0.001050
72.178333,32.768635,0.999999,-0.001100
75.459167,32.764944,0.999999,-0.001150
78.740000,32.761089,0.999999,-0.001200
82.020833,32.757070,0.999999,-0.001250
85.301667,32.752887,0.999999,-0.001300
88.582500,32.748540,0.999999,-0.001350
91.863333,32.744029,0.999999,-0.001400
95.144167,32.739354,0.999999,-0.001450
98.425000,32.734515,0.999999,-0.001500
101.705833,32.729511,0.999999,-0.001550
104.986667,32.724344,0.999999,-0.001600
108.267500,32.719013,0.999999,-0.001650
111.548333,32.713517,0.999999,-0.001700
114.829167,32.707858,0.999998,-0.001750
118.110000,32.702034,0.999998,-0.001800
121.390833,32.696047,0.999998,-0.001850
124.671667,32.689895,0.999998,-0.001900
127.952500,32.683580,0.999998,-0.001950
131.233333,32.677100,0.999998,-0.002000
134.514167,32.670456,0.999998,-0.002050
137.795000,32.663649,0.999998,-0.002100
141.075833,32.656677,0.999998,-0.002150
144.356667,32.649541,0.999998,-0.002200
147.637500,32.642241,0.999997,-0.002250
150.918333,32.634777,0.999997,-0.002300
154.199167,32.627149,0.999997,-0.002350
157.480000,32.619357,0.999997,-0.002400
160.760833,32.611401,0.999997,-0.002450
164.041667,32.603281,0.999997,-0.002500
167.322500,32.594997,0.999997,-0.002550
170.603333,32.586549,0.999997,-0.002600
173.884167,32.577937,0.999996,-0.002650
177.165000,32.569161,0.999996,-0.002700
180.445833,32.560220,0.999996,-0.002750
183.726667,32.551116,0.999996,-0.002800
187.007500,32.541848,0.999996,-0.002850
190.288333,32.532415,0.999996,-0.002900
193.569167,32.522819,0.999996,-0.002950
196.850000,32.513058,0.999996,-0.003000
200.130833,32.503134,0.999995,-0.003050
203.411667,32.493045,0.999995,-0.003100
206.692500,32.482793,0.999995,-0.003150
209.973333,32.472376,0.999995,-0.003200
213.254167,32.461795,0.999995,-0.003250
216.535000,32.451051,0.999995,-0.003300
219.815833,32.440142,0.999994,-0.003350
223.096667,32.429069,0.999994,-0.003400
226.377500,32.417832,0.999994,-0.003450
229.658333,32.406431,0.999994,-0.003500
232.939167,32.394866,0.999994,-0.003550
236.220000,32.383137,0.999994,-0.003600
239.500833,32.371244,0.999993,-0.003650
242.781667,32.359187,0.999993,-0.003700
246.062500,32.346966,0.999993,-0.003750
249.343333,32.334581,0.999993,-0.003800
252.624167,32.322032,0.999993,-0.003850
255.905000,32.309319,0.999992,-0.003900
259.185833,32.296441,0.999992,-0.003950
262.466667,32.283400,0.999992,-0.004000
265.747500,32.270195,0.999992,-0.004050
269.028333,32.256825,0.999992,-0.004100
272.309167,32.243292,0.999991,-0.004150
275.590000,32.229594,0.999991,-0.004200
278.870833,32.215733,0.999991,-0.004250
282.151667,32.201707,0.999991,-0.004300
285.432500,32.187518,0.999991,-0.004350
288.713333,32.173164,0.999990,-0.004400
291.994167,32.158646,0.999990,-0.004450
295.275000,32.143965,0.999990,-0.004500
298.555833,32.129119,0.999990,-0.004550
301.836667,32.114109,0.999989,-0.004600
305.117500,32.098935,0.999989,-0.004650
308.398333,32.083597,0.999989,-0.004700
311.679167,32.068095,0.999989,-0.004750
314.960000,32.052429,0.999988,-0.004800
318.240833,32.036599,0.999988,-0.004850
321.521667,32.020605,0.999988,-0.004900
324.802500,32.004447,0.999988,-0.004950
328.083333,31.988125,0.999988,-0.005000
