dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,1.000000,0.000000
1.000000,10.002500,0.999988,0.005000
2.000000,10.010000,0.999950,0.010000
3.000000,10.022500,0.999888,0.014998
4.000000,10.040000,0.999800,0.019996
5.000000,10.062500,0.999688,0.024992
6.000000,10.090000,0.999550,0.029987
7.000000,10.122500,0.999388,0.034979
8.000000,10.160000,0.999201,0.039968
9.000000,10.202500,0.998989,0.044955
10.000000,10.250000,0.998752,0.049938
11.000000,10.302500,0.998491,0.054917
12.000000,10.360000,0.998205,0.059892
13.000000,10.422500,0.997894,0.064863
14.000000,10.490000,0.997559,0.069829
15.000000,10.562500,0.997199,0.074790
16.000000,10.640000,0.996815,0.079745
17.000000,10.722500,0.996407,0.084695
18.000000,10.810000,0.995974,0.089638
19.000000,10.902500,0.995518,0.094574
20.000000,11.000000,0.995037,0.099504
21.000000,11.102500,0.994533,0.104426
22.000000,11.210000,0.994004,0.109340
23.000000,11.322500,0.993452,0.114247
24.000000,11.440000,0.992877,0.119145
25.000000,11.562500,0.992278,0.124035
26.000000,11.690000,0.991656,0.128915
27.000000,11.822500,0.991010,0.133786
28.000000,11.960000,0.990342,0.138648
29.000000,12.102500,0.989650,0.143499
30.000000,12.250000,0.988936,0.148340
31.000000,12.402500,0.988200,0.153171
32.000000,12.560000,0.987441,0.157991
33.000000,12.722500,0.986659,0.162799
34.000000,12.890000,0.985856,0.167595
35.000000,13.062500,0.985030,0.172380
36.000000,13.240000,0.984183,0.177153
37.000000,13.422500,0.983315,0.181913
38.000000,13.610000,0.982424,0.186661
39.000000,13.802500,0.981513,0.191395
40.000000,14.000000,0.980581,0.196116
41.000000,14.202500,0.979627,0.200824
42.000000,14.410000,0.978653,0.205517
43.000000,14.622500,0.977659,0.210197
44.000000,14.840000,0.976644,0.214862
45.000000,15.062500,0.975610,0.219512
46.000000,15.290000,0.974555,0.224148
47.000000,15.522500,0.973481,0.228768
48.000000,15.760000,0.972387,0.233373
49.000000,16.002500,0.971274,0.237962
50.000000,16.250000,0.970143,0.242536
51.000000,16.502500,0.968992,0.247093
52.000000,16.760000,0.967823,0.251634
53.000000,17.022500,0.966635,0.256158
54.000000,17.290000,0.965429,0.260666
55.000000,17.562500,0.964205,0.265156
56.000000,17.840000,0.962964,0.269630
57.000000,18.122500,0.961705,0.274086
58.000000,18.410000,0.960429,0.278524
59.000000,18.702500,0.959136,0.282945
60.000000,19.000000,0.957826,0.287348
61.000000,19.302500,0.956500,0.291732
62.000000,19.610000,0.955157,0.296099
63.000000,19.922500,0.953799,0.300447
64.000000,20.240000,0.952424,0.304776
65.000000,20.562500,0.951034,0.309086
66.000000,20.890000,0.949629,0.313377
67.000000,21.222500,0.948208,0.317650
68.000000,21.560000,0.946773,0.321903
69.000000,21.902500,0.945323,0.326136
70.000000,22.250000,0.943858,0.330350
71.000000,22.602500,0.942380,0.334545
72.000000,22.960000,0.940887,0.338719
73.000000,23.322500,0.939381,0.342874
74.000000,23.690000,0.937862,0.347009
75.000000,24.062500,0.936329,0.351123
76.000000,24.440000,0.934784,0.355218
77.000000,24.822500,0.933225,0.359292
78.000000,25.210000,0.931655,0.363345
79.000000,25.602500,0.930072,0.367378
80.000000,26.000000,0.928477,0.371391
81.000000,26.402500,0.926870,0.375382
82.000000,26.810000,0.925252,0.379353
83.000000,27.222500,0.923623,0.383303
84.000000,27.640000,0.921982,0.387232
85.000000,28.062500,0.920331,0.391141
86.000000,28.490000,0.918669,0.395028
87.000000,28.922500,0.916997,0.398894
88.000000,29.360000,0.915315,0.402739
89.000000,29.802500,0.913623,0.406562
90.000000,30.250000,0.911922,0.410365
91.000000,30.702500,0.910211,0.414146
92.000000,31.160000,0.908490,0.417906
93.000000,31.622500,0.906761,0.421644
94.000000,32.090000,0.905024,0.425361
95.000000,32.562500,0.903278,0.429057
96.000000,33.040000,0.901523,0.432731
97.000000,33.522500,0.899761,0.436384
98.000000,34.010000,0.897990,0.440015
99.000000,34.502500,0.896212,0.443625
100.000000,35.000000,0.894427,0.447214
