dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.999988,0.005000
1.000000,10.004975,0.999988,0.004950
2.000000,10.009900,0.999988,0.004900
3.000000,10.014775,0.999988,0.004850
4.000000,10.019600,0.999988,0.004800
5.000000,10.024375,0.999989,0.004750
6.000000,10.029100,0.999989,0.004700
7.000000,10.033775,0.999989,0.004650
8.000000,10.038400,0.999989,0.004600
9.000000,10.042975,0.999990,0.004550
10.000000,10.047500,0.999990,0.004500
11.000000,10.051975,0.999990,0.004450
12.000000,10.056400,0.999990,0.004400
13.000000,10.060775,0.999991,0.004350
14.000000,10.065100,0.999991,0.004300
15.000000,10.069375,0.999991,0.004250
16.000000,10.073600,0.999991,0.004200
17.000000,10.077775,0.999991,0.004150
18.000000,10.081900,0.999992,0.004100
19.000000,10.085975,0.999992,0.004050
20.000000,10.090000,0.999992,0.004000
21.000000,10.093975,0.999992,0.003950
22.000000,10.097900,0.999992,0.003900
23.000000,10.101775,0.999993,0.003850
24.000000,10.105600,0.999993,0.003800
25.000000,10.109375,0.999993,0.003750
26.000000,10.113100,0.999993,0.003700
27.000000,10.116775,0.999993,0.003650
28.000000,10.120400,0.999994,0.003600
29.000000,10.123975,0.999994,0.003550
30.000000,10.127500,0.999994,0.003500
31.000000,10.130975,0.999994,0.003450
32.000000,10.134400,0.999994,0.003400
33.000000,10.137775,0.999994,0.003350
34.000000,10.141100,0.999995,0.003300
35.000000,10.144375,0.999995,0.003250
36.000000,10.147600,0.999995,0.003200
37.000000,10.150775,0.999995,0.003150
38.000000,10.153900,0.999995,0.003100
39.000000,10.156975,0.999995,0.003050
40.000000,10.160000,0.999996,0.003000
41.000000,10.162975,0.999996,0.002950
42.000000,10.165900,0.999996,0.002900
43.000000,10.168775,0.999996,0.002850
44.000000,10.171600,0.999996,0.002800
45.000000,10.174375,0.999996,0.002750
46.000000,10.177100,0.999996,0.002700
47.000000,10.179775,0.999996,0.002650
48.000000,10.182400,0.999997,0.002600
49.000000,10.184975,0.999997,0.002550
50.000000,10.187500,0.999997,0.002500
51.000000,10.189975,0.999997,0.002450
52.000000,10.192400,0.999997,0.002400
53.000000,10.194775,0.999997,0.002350
54.000000,10.197100,0.999997,0.002300
55.000000,10.199375,0.999997,0.002250
56.000000,10.201600,0.999998,0.002200
57.000000,10.203775,0.999998,0.002150
58.000000,10.205900,0.999998,0.002100
59.000000,10.207975,0.999998,0.002050
60.000000,10.210000,0.999998,0.002000
61.000000,10.211975,0.999998,0.001950
62.000000,10.213900,0.999998,0.001900
63.000000,10.215775,0.999998,0.001850
64.000000,10.217600,0.999998,0.001800
65.000000,10.219375,0.999998,0.001750
66.000000,10.221100,0.999999,0.001700
67.000000,10.222775,0.999999,0.001650
68.000000,10.224400,0.999999,0.001600
69.000000,10.225975,0.999999,0.001550
70.000000,10.227500,0.999999,0.001500
71.000000,10.228975,0.999999,0.001450
72.000000,10.230400,0.999999,0.001400
73.000000,10.231775,0.999999,0.001350
74.000000,10.233100,0.999999,0.001300
75.000000,10.234375,0.999999,0.001250
76.000000,10.235600,0.999999,0.001200
77.000000,10.236775,0.999999,0.001150
78.000000,10.237900,0.999999,0.001100
79.000000,10.238975,0.999999,0.001050
80.000000,10.240000,1.000000,0.001000
81.000000,10.240975,1.000000,0.000950
82.000000,10.241900,1.000000,0.000900
83.000000,10.242775,1.000000,0.000850
84.000000,10.243600,1.000000,0.000800
85.000000,10.244375,1.000000,0.000750
86.000000,10.245100,1.000000,0.000700
87.000000,10.245775,1.000000,0.000650
88.000000,10.246400,1.000000,0.000600
89.000000,10.246975,1.000000,0.000550
90.000000,10.247500,1.000000,0.000500
91.000000,10.247975,1.000000,0.000450
92.000000,10.248400,1.000000,0.000400
93.000000,10.248775,1.000000,0.000350
94.000000,10.249100,1.000000,0.000300
95.000000,10.249375,1.000000,0.000250
96.000000,10.249600,1.000000,0.000200
97.000000,10.249775,1.000000,0.000150
98.000000,10.249900,1.000000,0.000100
99.000000,10.249975,1.000000,0.000050
100.000000,10.250000,1.000000,0.000000
