dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.999988,0.005000
3.280840,32.824885,0.999987,0.005050
6.561680,32.841535,0.999987,0.005100
9.842520,32.858350,0.999987,0.005150
13.123360,32.875328,0.999986,0.005200
16.404199,32.892470,0.999986,0.005250
19.685039,32.909777,0.999986,0.005300
22.965879,32.927247,0.999986,0.005350
26.246719,32.944882,0.999985,0.005400
29.527559,32.962680,0.999985,0.005450
32.808399,32.980643,0.999985,0.005500
36.089239,32.998770,0.999985,0.005550
39.370079,33.017060,0.999984,0.005600
42.650919,33.035515,0.999984,0.005650
45.931759,33.054134,0.999984,0.005700
49.212598,33.072917,0.999983,0.005750
52.493438,33.091864,0.999983,0.005800
55.774278,33.110974,0.999983,0.005850
59.055118,33.130249,0.999983,0.005900
62.335958,33.149688,0.999982,0.005950
65.616798,33.169291,0.999982,0.006000
68.897638,33.189058,0.999982,0.006050
72.178478,33.208990,0.999981,0.006100
75.459318,33.229085,0.999981,0.006150
78.740157,33.249344,0.999981,0.006200
82.020997,33.269767,0.999980,0.006250
85.301837,33.290354,0.999980,0.006300
88.582677,33.311106,0.999980,0.006350
91.863517,33.332021,0.999980,0.006400
95.144357,33.353100,0.999979,0.006450
98.425197,33.374344,0.999979,0.006500
101.706037,33.395751,0.999979,0.006550
104.986877,33.417323,0.999978,0.006600
108.267717,33.439058,0.999978,0.006650
111.548556,33.460958,0.999978,0.006700
114.829396,33.483022,0.999977,0.006750
118.110236,33.505249,0.999977,0.006800
121.391076,33.527641,0.999977,0.006850
124.671916,33.550197,0.999976,0.006900
127.952756,33.572917,0.999976,0.006950
131.233596,33.595801,0.999976,0.007000
134.514436,33.618848,0.999975,0.007050
137.795276,33.642060,0.999975,0.007100
141.076115,33.665436,0.999974,0.007150
144.356955,33.688976,0.999974,0.007200
147.637795,33.712680,0.999974,0.007250
150.918635,33.736549,0.999973,0.007300
154.199475,33.760581,0.999973,0.007350
157.480315,33.784777,0.999973,0.007400
160.761155,33.809137,0.999972,0.007450
164.041995,33.833661,0.999972,0.007500
167.322835,33.858350,0.999971,0.007550
170.603675,33.883202,0.999971,0.007600
173.884514,33.908219,0.999971,0.007650
177.165354,33.933399,0.999970,0.007700
180.446194,33.958743,0.999970,0.007750
183.727034,33.984252,0.999970,0.007800
187.007874,34.009925,0.999969,0.007850
190.288714,34.035761,0.999969,0.007900
193.569554,34.061762,0.999968,0.007950
196.850394,34.087927,0.999968,0.008000
200.131234,34.114255,0.999968,0.008050
203.412073,34.140748,0.999967,0.008100
206.692913,34.167405,0.999967,0.008150
209.973753,34.194226,0.999966,0.008200
213.254593,34.221211,0.999966,0.008250
216.535433,34.248360,0.999966,0.008300
219.816273,34.275673,0.999965,0.008350
223.097113,34.303150,0.999965,0.008400
226.377953,34.330791,0.999964,0.008450
229.658793,34.358596,0.999964,0.008500
232.939633,34.386565,0.999963,0.008550
236.220472,34.414698,0.999963,0.008600
239.501312,34.442995,0.999963,0.008650
242.782152,34.471457,0.999962,0.008700
246.062992,34.500082,0.999962,0.008750
249.343832,34.528871,0.999961,0.008800
252.624672,34.557825,0.999961,0.008850
255.905512,34.586942,0.999960,0.008900
259.186352,34.616224,0.999960,0.008950
262.467192,34.645669,0.999960,0.009000
265.748031,34.675279,0.999959,0.009050
269.028871,34.705052,0.999959,0.009100
272.309711,34.734990,0.999958,0.009150
275.590551,34.765092,0.999958,0.009200
278.871391,34.795358,0.999957,0.009250
282.152231,34.825787,0.999957,0.009300
285.433071,34.856381,0.999956,0.009350
288.713911,34.887139,0.999956,0.009400
291.994751,34.918061,0.999955,0.009450
295.275591,34.949147,0.999955,0.009500
298.556430,34.980397,0.999954,0.009550
301.837270,35.011811,0.999954,0.009600
305.118110,35.043389,0.999953,0.009650
308.398950,35.075131,0.999953,0.009700
311.679790,35.107037,0.999952,0.009750
314.960630,35.139108,0.999952,0.009800
318.241470,35.171342,0.999951,0.009850
321.522310,35.203740,0.999951,0.009900
324.803150,35.236302,0.999951,0.009950
328.083990,35.269029,0.999950,0.010000
