dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.707107,0.707107
3.280833,36.080965,0.708877,0.705332
6.561667,39.337192,0.710651,0.703545
9.842500,42.577015,0.712430,0.701743
13.123333,45.800433,0.714213,0.699929
16.404167,49.007448,0.716000,0.698100
19.685000,52.198058,0.717792,0.696258
22.965833,55.372265,0.719587,0.694402
26.246667,58.530067,0.721387,0.692532
29.527500,61.671465,0.723191,0.690648
32.808333,64.796458,0.724999,0.688749
36.089167,67.905048,0.726812,0.686837
39.370000,70.997233,0.728628,0.684910
42.650833,74.073015,0.730448,0.682969
45.931667,77.132392,0.732272,0.681013
49.212500,80.175365,0.734099,0.679042
52.493333,83.201933,0.735931,0.677057
55.774167,86.212098,0.737766,0.675056
59.055000,89.205858,0.739605,0.673041
62.335833,92.183215,0.741448,0.671010
65.616667,95.144167,0.743294,0.668965
68.897500,98.088715,0.745144,0.666904
72.178333,101.016858,0.746997,0.664827
75.459167,103.928598,0.748854,0.662735
78.740000,106.823933,0.750714,0.660628
82.020833,109.702865,0.752577,0.658505
85.301667,112.565392,0.754443,0.656365
88.582500,115.411515,0.756313,0.654210
91.863333,118.241233,0.758185,0.652039
95.144167,121.054548,0.760061,0.649852
98.425000,123.851458,0.761939,0.647648
101.705833,126.631965,0.763821,0.645428
104.986667,129.396067,0.765705,0.643192
108.267500,132.143765,0.767592,0.640939
111.548333,134.875058,0.769481,0.638669
114.829167,137.589948,0.771373,0.636383
118.110000,140.288433,0.773268,0.634080
121.390833,142.970515,0.775165,0.631759
124.671667,145.636192,0.777064,0.629422
127.952500,148.285465,0.778965,0.627067
131.233333,150.918333,0.780869,0.624695
134.514167,153.534798,0.782774,0.622306
137.795000,156.134858,0.784682,0.619899
141.075833,158.718515,0.786591,0.617474
144.356667,161.285767,0.788502,0.615032
147.637500,163.836615,0.790415,0.612572
150.918333,166.371058,0.792329,0.610094
154.199167,168.889098,0.794245,0.607598
157.480000,171.390733,0.796162,0.605083
160.760833,173.875965,0.798081,0.602551
164.041667,176.344792,0.800000,0.600000
167.322500,178.797215,0.801920,0.597431
170.603333,181.233233,0.803842,0.594843
173.884167,183.652848,0.805764,0.592237
177.165000,186.056058,0.807687,0.589612
180.445833,188.442865,0.809610,0.586968
183.726667,190.813267,0.811534,0.584305
187.007500,193.167265,0.813459,0.581623
190.288333,195.504858,0.815383,0.578922
193.569167,197.826048,0.817307,0.576202
196.850000,200.130833,0.819232,0.573462
200.130833,202.419215,0.821156,0.570704
203.411667,204.691192,0.823080,0.567925
206.692500,206.946765,0.825004,0.565127
209.973333,209.185933,0.826927,0.562310
213.254167,211.408698,0.828849,0.559473
216.535000,213.615058,0.830770,0.556616
219.815833,215.805015,0.832690,0.553739
223.096667,217.978567,0.834609,0.550842
226.377500,220.135715,0.836527,0.547925
229.658333,222.276458,0.838444,0.544988
232.939167,224.400798,0.840358,0.542031
236.220000,226.508733,0.842271,0.539054
239.500833,228.600265,0.844182,0.536056
242.781667,230.675392,0.846092,0.533038
246.062500,232.734115,0.847998,0.529999
249.343333,234.776433,0.849903,0.526940
252.624167,236.802348,0.851805,0.523860
255.905000,238.811858,0.853704,0.520759
259.185833,240.804965,0.855600,0.517638
262.466667,242.781667,0.857493,0.514496
265.747500,244.741965,0.859383,0.511333
269.028333,246.685858,0.861269,0.508149
272.309167,248.613348,0.863152,0.504944
275.590000,250.524433,0.865031,0.501718
278.870833,252.419115,0.866906,0.498471
282.151667,254.297392,0.868777,0.495203
285.432500,256.159265,0.870644,0.491914
288.713333,258.004733,0.872506,0.488603
291.994167,259.833798,0.874363,0.485272
295.275000,261.646458,0.876216,0.481919
298.555833,263.442715,0.878063,0.478544
301.836667,265.222567,0.879905,0.475149
305.117500,266.986015,0.881742,0.471732
308.398333,268.733058,0.883573,0.468294
311.679167,270.463698,0.885398,0.464834
314.960000,272.177933,0.887217,0.461353
318.240833,273.875765,0.889029,0.457850
321.521667,275.557192,0.890835,0.454326
324.802500,277.222215,0.892635,0.450781
328.083333,278.870833,0.894427,0.447214
