dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.999950,0.010000
3.280833,32.841060,0.999951,0.009950
6.561667,32.873622,0.999951,0.009900
9.842500,32.906020,0.999951,0.009850
13.123333,32.938254,0.999952,0.009800
16.404167,32.970324,0.999952,0.009750
19.685000,33.002231,0.999953,0.009700
22.965833,33.033973,0.999953,0.009650
26.246667,33.065551,0.999954,0.009600
29.527500,33.096965,0.999954,0.009550
32.808333,33.128215,0.999955,0.009500
36.089167,33.159300,0.999955,0.009450
39.370000,33.190222,0.999956,0.009400
42.650833,33.220980,0.999956,0.009350
45.931667,33.251574,0.999957,0.009300
49.212500,33.282004,0.999957,0.009250
52.493333,33.312269,0.999958,0.009200
55.774167,33.342371,0.999958,0.009150
59.055000,33.372309,0.999959,0.009100
62.335833,33.402082,0.999959,0.009050
65.616667,33.431692,0.999960,0.009000
68.897500,33.461137,0.999960,0.008950
72.178333,33.490419,0.999960,0.008900
75.459167,33.519536,0.999961,0.008850
78.740000,33.548489,0.999961,0.008800
82.020833,33.577279,0.999962,0.008750
85.301667,33.605904,0.999962,0.008700
88.582500,33.634365,0.999963,0.008650
91.863333,33.662662,0.999963,0.008600
95.144167,33.690795,0.999963,0.008550
98.425000,33.718765,0.999964,0.008500
101.705833,33.746570,0.999964,0.008450
104.986667,33.774211,0.999965,0.008400
108.267500,33.801688,0.999965,0.008350
111.548333,33.829001,0.999966,0.008300
114.829167,33.856149,0.999966,0.008250
118.110000,33.883134,0.999966,0.008200
121.390833,33.909955,0.999967,0.008150
124.671667,33.936612,0.999967,0.008100
127.952500,33.963105,0.999968,0.008050
131.233333,33.989433,0.999968,0.008000
134.514167,34.015598,0.999968,0.007950
137.795000,34.041599,0.999969,0.007900
141.075833,34.067435,0.999969,0.007850
144.356667,34.093108,0.999970,0.007800
147.637500,34.118616,0.999970,0.007750
150.918333,34.143961,0.999970,0.007700
154.199167,34.169141,0.999971,0.007650
157.480000,34.194157,0.999971,0.007600
160.760833,34.219010,0.999971,0.007550
164.041667,34.243698,0.999972,0.007500
167.322500,34.268222,0.999972,0.007450
170.603333,34.292582,0.999973,0.007400
173.884167,34.316778,0.999973,0.007350
177.165000,34.340811,0.999973,0.007300
180.445833,34.364679,0.999974,0.007250
183.726667,34.388383,0.999974,0.007200
187.007500,34.411923,0.999974,0.007150
190.288333,34.435299,0.999975,0.007100
193.569167,34.458510,0.999975,0.007050
196.850000,34.481558,0.999976,0.007000
200.130833,34.504442,0.999976,0.006950
203.411667,34.527162,0.999976,0.006900
206.692500,34.549718,0.999977,0.006850
209.973333,34.572109,0.999977,0.006800
213.254167,34.594337,0.999977,0.006750
216.535000,34.616401,0.999978,0.006700
219.815833,34.638300,0.999978,0.006650
223.096667,34.660036,0.999978,0.006600
226.377500,34.681607,0.999979,0.006550
229.658333,34.703015,0.999979,0.006500
232.939167,34.724258,0.999979,0.006450
236.220000,34.745337,0.999980,0.006400
239.500833,34.766253,0.999980,0.006350
242.781667,34.787004,0.999980,0.006300
246.062500,34.807591,0.999980,0.006250
249.343333,34.828014,0.999981,0.006200
252.624167,34.848273,0.999981,0.006150
255.905000,34.868369,0.999981,0.006100
259.185833,34.888300,0.999982,0.006050
262.466667,34.908067,0.999982,0.006000
265.747500,34.927670,0.999982,0.005950
269.028333,34.947109,0.999983,0.005900
272.309167,34.966383,0.999983,0.005850
275.590000,34.985494,0.999983,0.005800
278.870833,35.004441,0.999983,0.005750
282.151667,35.023224,0.999984,0.005700
285.432500,35.041843,0.999984,0.005650
288.713333,35.060297,0.999984,0.005600
291.994167,35.078588,0.999985,0.005550
295.275000,35.096715,0.999985,0.005500
298.555833,35.114677,0.999985,0.005450
301.836667,35.132476,0.999985,0.005400
305.117500,35.150110,0.999986,0.005350
308.398333,35.167581,0.999986,0.005300
311.679167,35.184887,0.999986,0.005250
314.960000,35.202029,0.999986,0.005200
318.240833,35.219008,0.999987,0.005150
321.521667,35.235822,0.999987,0.005100
324.802500,35.252472,0.999987,0.005050
328.083333,35.268958,0.999988,0.005000
