DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,23483975.625295,6704364.930733,25.496586,-0.732787,0.680457,-0.000818,-0.680458,-0.732787,0.000000,-0.000599,0.000557,1.000000
248.306905,23483793.669175,6704533.893123,25.026309,-0.732774,0.680446,-0.005987,-0.680458,-0.732787,-0.000063,-0.004430,0.004028,0.999982
496.613810,23483618.913802,6704709.993762,22.311611,-0.637997,0.769933,-0.012795,-0.769996,-0.638049,-0.000018,-0.008178,0.009840,0.999918
744.920715,23483471.225006,6704909.548136,20.367583,-0.584331,0.811510,-0.002863,-0.811514,-0.584334,-0.000079,-0.001737,0.002278,0.999996
993.227620,23483311.055794,6705098.556440,19.563929,-0.743469,0.668731,-0.007270,-0.668748,-0.743489,-0.000079,-0.005458,0.004804,0.999974
1241.534524,23483103.828300,6705233.536752,16.875622,-0.912149,0.409686,-0.011909,-0.409714,-0.912214,-0.000075,-0.010894,0.004811,0.999929
1489.841429,23482865.276647,6705298.774987,14.310193,-0.993742,0.111523,-0.006310,-0.111525,-0.993762,0.000000,-0.006271,0.000704,0.999980
1738.148334,23482617.184517,6705302.006186,13.470717,-0.999797,-0.019948,-0.002738,0.019948,-0.999801,0.000000,-0.002738,-0.000055,0.999996
1986.455239,23482368.927020,6705297.052930,12.156111,-0.999795,-0.019948,-0.003560,0.019949,-0.999801,-0.000051,-0.003559,-0.000122,0.999994
2234.762144,23482120.666777,6705292.262084,12.080006,-0.999951,-0.009862,0.000000,0.009862,-0.999951,-0.000008,0.000000,-0.000008,1.000000
2483.069049,23481873.714057,6705313.532175,12.401440,-0.983509,0.180855,0.001487,-0.180856,-0.983510,0.000000,0.001462,-0.000269,0.999999
2731.375954,23481629.944664,6705360.782306,13.308958,-0.981541,0.190938,0.010958,-0.190950,-0.981600,0.000000,0.010757,-0.002093,0.999940
2979.682859,23481386.206648,6705408.196424,16.401955,-0.981523,0.190935,0.012514,-0.190950,-0.981600,0.000000,0.012283,-0.002389,0.999922
3227.989764,23481142.468632,6705455.610542,19.509443,-0.981523,0.190935,0.012514,-0.190950,-0.981600,0.000000,0.012283,-0.002389,0.999922
3476.296668,23480898.730616,6705503.024660,22.554383,-0.981548,0.190940,0.010277,-0.190950,-0.981600,0.000000,0.010088,-0.001962,0.999947
3724.603573,23480654.992600,6705550.438777,24.234413,-0.981584,0.190946,0.005720,-0.190949,-0.981600,-0.000019,0.005611,-0.001111,0.999984
3972.910478,23480411.254584,6705597.852895,25.655216,-0.981583,0.190944,0.005899,-0.190948,-0.981600,-0.000092,0.005773,-0.001217,0.999983
