DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,620369.797100,603789.789700,0.000000,0.208800,0.977958,0.000000,-0.977958,0.208800,-0.000000,0.000000,0.000000,1.000000
40.036560,620378.006119,603828.975176,0.060055,0.193108,0.981177,-0.000173,-0.974509,0.191775,-0.116425,-0.114200,0.022653,0.993200
80.073120,620384.954314,603868.400264,0.120110,0.145750,0.989321,-0.000343,-0.962513,0.141720,-0.231266,-0.228747,0.034041,0.972891
120.109680,620389.388416,603908.180539,0.150000,0.071567,0.997436,0.000000,-0.955370,0.068549,-0.287348,-0.286611,0.020565,0.957826
160.146240,620390.652708,603948.186431,0.150000,-0.008444,0.999964,0.000000,-0.957792,-0.008088,-0.287348,-0.287338,-0.002426,0.957826
200.182800,620388.712975,603988.165267,0.150000,-0.088402,0.996085,0.000000,-0.954076,-0.084674,-0.287348,-0.286223,-0.025402,0.957826
240.219360,620383.581647,604027.860850,0.150000,-0.167793,0.985822,0.000000,-0.944246,-0.160717,-0.287348,-0.283274,-0.048215,0.957826
280.255920,620375.291607,604067.018801,0.150000,-0.246109,0.969242,0.000000,-0.928366,-0.235730,-0.287348,-0.278510,-0.070719,0.957826
320.292480,620363.895980,604105.388184,0.150000,-0.322848,0.946451,0.000000,-0.906536,-0.309232,-0.287348,-0.271961,-0.092770,0.957826
360.329040,620349.467791,604142.723117,0.150000,-0.397518,0.917595,0.000000,-0.878896,-0.380753,-0.287348,-0.263669,-0.114226,0.957826
400.365600,620332.099502,604178.784348,0.150000,-0.469640,0.882858,0.000000,-0.845625,-0.449834,-0.287348,-0.253687,-0.134950,0.957826
440.402160,620311.902413,604213.340786,0.150000,-0.538753,0.842464,0.000000,-0.806934,-0.516032,-0.287348,-0.242080,-0.154810,0.957826
480.438720,620289.005951,604246.170985,0.150000,-0.604413,0.796671,0.000000,-0.763072,-0.578923,-0.287348,-0.228922,-0.173677,0.957826
520.475280,620263.557264,604277.064930,0.141727,-0.664941,0.746896,0.000387,-0.718824,-0.639808,-0.271914,-0.202839,-0.181091,0.962321
560.511840,620235.942097,604306.045122,0.081672,-0.708243,0.705969,0.000225,-0.697123,-0.699319,-0.158027,-0.111401,-0.112083,0.987435
600.548400,620207.086726,604333.797417,0.021617,-0.727423,0.686189,0.000060,-0.685586,-0.726780,-0.041991,-0.028767,-0.030590,0.999118
640.584960,620177.873705,604361.174873,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
680.621520,620148.653858,604388.545052,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
720.658080,620119.434011,604415.915231,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
760.694640,620090.214164,604443.285410,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
800.731200,620060.994318,604470.655589,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
840.767760,620031.774471,604498.025768,0.000000,-0.729829,0.683630,0.000000,-0.683630,-0.729829,0.000000,0.000000,0.000000,1.000000
880.804320,620002.579179,604525.422108,0.047766,-0.728538,0.685005,-0.000138,-0.682048,-0.725411,-0.092679,-0.063587,-0.067425,0.995696
920.840880,619973.618438,604553.065836,0.107821,-0.718968,0.695043,-0.000309,-0.679800,-0.703292,-0.207972,-0.144769,-0.149313,0.978135
960.877440,619945.192506,604581.258274,0.150000,-0.700996,0.713165,0.000000,-0.683088,-0.671433,-0.287348,-0.204926,-0.201430,0.957826
1000.914000,619917.511383,604610.182077,0.150000,-0.681714,0.731619,0.000000,-0.700764,-0.652963,-0.287348,-0.210229,-0.195889,0.957826
1040.950560,619890.612034,604639.834329,0.150000,-0.661946,0.749552,0.000000,-0.717940,-0.634029,-0.287348,-0.215382,-0.190209,0.957826
1080.987120,619864.513622,604670.193905,0.150000,-0.641706,0.766951,0.000000,-0.734606,-0.614643,-0.287348,-0.220382,-0.184393,0.957826
1121.023680,619839.234738,604701.239178,0.150000,-0.621009,0.783803,0.000000,-0.750747,-0.594819,-0.287348,-0.225224,-0.178446,0.957826
1161.060240,619814.793390,604732.948033,0.150000,-0.599870,0.800098,0.000000,-0.766355,-0.574571,-0.287348,-0.229906,-0.172371,0.957826
1201.096800,619791.206989,604765.297882,0.150000,-0.578303,0.815822,0.000000,-0.781416,-0.553914,-0.287348,-0.234425,-0.166174,0.957826
1241.133360,619768.492339,604798.265678,0.150000,-0.556325,0.830965,0.000000,-0.795920,-0.532862,-0.287348,-0.238776,-0.159859,0.957826
1281.169920,619746.665619,604831.827938,0.150000,-0.533950,0.845516,0.000000,-0.809858,-0.511431,-0.287348,-0.242957,-0.153429,0.957826
1321.206480,619725.742379,604865.960752,0.150000,-0.511195,0.859465,0.000000,-0.823218,-0.489636,-0.287348,-0.246965,-0.146891,0.957826
1361.243040,619705.737524,604900.639806,0.150000,-0.488075,0.872802,0.000000,-0.835992,-0.467491,-0.287348,-0.250798,-0.140247,0.957826
1401.279600,619686.665304,604935.840394,0.150000,-0.464608,0.885516,0.000000,-0.848171,-0.445014,-0.287348,-0.254451,-0.133504,0.957826
1441.316160,619668.539306,604971.537441,0.150000,-0.440810,0.897600,0.000000,-0.859745,-0.422220,-0.287348,-0.257924,-0.126666,0.957826
1481.352720,619651.366003,605007.702539,0.122172,-0.416471,0.909149,0.000334,-0.883686,-0.404720,-0.235163,-0.213660,-0.098241,0.971956
