DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,500.000000,2500.000000,100.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
123.370702,603.539206,2432.918237,102.158987,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
246.741404,707.078412,2365.836474,104.317975,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
370.112106,810.617617,2298.754710,106.476962,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
493.482808,914.156823,2231.672947,108.635949,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
616.853510,1017.696029,2164.591184,110.794936,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
740.224212,1121.235235,2097.509421,112.953924,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
863.594914,1224.774441,2030.427657,115.112911,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
986.965616,1328.313647,1963.345894,117.271898,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1110.336318,1431.852852,1896.264131,119.430886,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1233.707020,1535.392058,1829.182368,121.580109,0.839133,-0.543664,0.016918,0.543741,0.839253,0.000000,-0.014199,0.009199,0.999857
1357.077722,1638.931264,1762.100604,123.536823,0.839161,-0.543682,0.014799,0.543741,0.839253,0.000000,-0.012420,0.008047,0.999890
1480.448424,1742.470470,1695.018841,125.231938,0.839185,-0.543698,0.012679,0.543741,0.839253,0.000000,-0.010641,0.006894,0.999920
1603.819125,1846.009676,1627.937078,126.665453,0.839206,-0.543711,0.010559,0.543741,0.839253,0.000000,-0.008861,0.005741,0.999944
1727.189827,1949.548881,1560.855315,127.837369,0.839223,-0.543722,0.008439,0.543741,0.839253,0.000000,-0.007082,0.004588,0.999964
1850.560529,2053.088087,1493.773551,128.747685,0.839236,-0.543731,0.006318,0.543741,0.839253,0.000000,-0.005303,0.003436,0.999980
1973.931231,2156.706508,1426.815600,129.396402,0.848444,-0.529268,0.004198,0.529273,0.848452,0.000000,-0.003562,0.002222,0.999991
2097.301933,2265.138015,1368.133035,129.783519,0.907132,-0.420840,0.002078,0.420841,0.907134,0.000000,-0.001885,0.000874,0.999998
2220.672635,2379.966744,1323.239850,129.909038,0.952027,-0.306013,-0.000043,0.306013,0.952027,0.000000,0.000041,-0.000013,1.000000
2344.043337,2499.447180,1292.818469,129.772956,0.982447,-0.186532,-0.002163,0.186532,0.982449,0.000000,0.002125,-0.000404,0.999998
2467.414039,2621.763096,1277.331327,129.375276,0.997927,-0.064216,-0.004284,0.064216,0.997936,0.000000,0.004275,-0.000275,0.999991
2590.784741,2745.055165,1277.013845,128.715995,0.998233,0.059075,-0.006404,-0.059076,0.998253,0.000000,0.006393,0.000378,0.999979
2714.155443,2867.449219,1291.870850,127.795116,0.983361,0.181463,-0.008524,-0.181470,0.983396,0.000000,0.008383,0.001547,0.999964
2837.526145,2987.084742,1321.676499,126.624739,0.953543,0.301090,-0.009999,-0.301105,0.953591,0.000000,0.009535,0.003011,0.999950
2960.896847,3102.143149,1365.977717,125.391032,0.909244,0.416143,-0.009999,-0.416164,0.909290,0.000000,0.009092,0.004161,0.999950
3084.267549,3210.875435,1424.101077,124.157325,0.851124,0.524870,-0.009999,-0.524896,0.851166,0.000000,0.008511,0.005249,0.999950
3207.638251,3311.628756,1495.163046,122.923618,0.780065,0.625618,-0.009999,-0.625649,0.780104,0.000000,0.007801,0.006256,0.999950
3331.008953,3402.871557,1578.083407,121.689911,0.697149,0.716856,-0.009999,-0.716892,0.697184,0.000000,0.006971,0.007169,0.999950
3454.379655,3483.216853,1671.601685,120.456204,0.603635,0.797198,-0.009999,-0.797238,0.603666,0.000000,0.006036,0.007972,0.999950
3577.750357,3551.443312,1774.296307,119.222497,0.500946,0.865421,-0.009999,-0.865464,0.500971,0.000000,0.005009,0.008654,0.999950
3701.121059,3606.513822,1884.606206,117.988790,0.390642,0.920489,-0.009999,-0.920535,0.390661,0.000000,0.003906,0.009205,0.999950
3824.491761,3647.591254,2000.854560,116.755083,0.274399,0.961564,-0.009999,-0.961612,0.274413,0.000000,0.002744,0.009616,0.999950
3947.862463,3676.579580,2120.755126,115.521375,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4071.233165,3704.280212,2240.975778,114.287668,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4194.603867,3731.980844,2361.196430,113.053961,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4317.974569,3759.681476,2481.417081,111.820254,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4441.345271,3787.382108,2601.637733,110.607915,0.224523,0.974428,-0.008966,-0.974467,0.224532,0.000000,0.002013,0.008737,0.999960
4564.715973,3815.082740,2721.858385,109.691982,0.224528,0.974450,-0.005882,-0.974467,0.224532,0.000000,0.001321,0.005732,0.999983
4688.086674,3842.783372,2842.079036,109.156558,0.224531,0.974463,-0.002798,-0.974467,0.224532,0.000000,0.000628,0.002726,0.999996
4811.457376,3870.484003,2962.299688,109.001641,0.224532,0.974467,0.000286,-0.974467,0.224532,0.000000,-0.000064,-0.000279,1.000000
4934.828078,3898.184635,3082.520340,109.227233,0.224530,0.974461,0.003371,-0.974467,0.224532,0.000000,-0.000757,-0.003285,0.999994
5058.198780,3925.885267,3202.740992,109.833333,0.224527,0.974446,0.006455,-0.974467,0.224532,0.000000,-0.001449,-0.006290,0.999979
