DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,500.000000,2500.000000,100.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
100.000000,583.925279,2445.625856,101.750000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
200.000000,667.850558,2391.251712,103.500000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
300.000000,751.775837,2336.877568,105.250000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
400.000000,835.701116,2282.503424,107.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
500.000000,919.626395,2228.129280,108.750000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
600.000000,1003.551674,2173.755135,110.500000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
700.000000,1087.476953,2119.380991,112.250000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
800.000000,1171.402232,2065.006847,114.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
900.000000,1255.327511,2010.632703,115.750000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1000.000000,1339.252790,1956.258559,117.500000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1100.000000,1423.178069,1901.884415,119.250000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1200.000000,1507.103348,1847.510271,121.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1300.000000,1591.028627,1793.136127,122.664062,0.839148,-0.543674,0.015779,0.543741,0.839253,0.000000,-0.013243,0.008580,0.999875
1400.000000,1674.953906,1738.761983,124.156250,0.839170,-0.543688,0.014061,0.543741,0.839253,0.000000,-0.011801,0.007646,0.999901
1500.000000,1758.879185,1684.387839,125.476563,0.839189,-0.543700,0.012343,0.543741,0.839253,0.000000,-0.010359,0.006711,0.999924
1600.000000,1842.804464,1630.013695,126.625000,0.839205,-0.543711,0.010624,0.543741,0.839253,0.000000,-0.008917,0.005777,0.999944
1700.000000,1926.729743,1575.639551,127.601563,0.839220,-0.543720,0.008906,0.543741,0.839253,0.000000,-0.007474,0.004843,0.999960
1800.000000,2010.655022,1521.265406,128.406250,0.839231,-0.543727,0.007187,0.543741,0.839253,0.000000,-0.006032,0.003908,0.999974
1900.000000,2094.580301,1466.891262,129.039062,0.839240,-0.543733,0.005469,0.543741,0.839253,0.000000,-0.004590,0.002974,0.999985
2000.000000,2179.001927,1413.307953,129.500000,0.861953,-0.506974,0.003750,0.506977,0.861959,0.000000,-0.003232,0.001901,0.999993
2100.000000,2267.587052,1367.000880,129.789062,0.908265,-0.418391,0.002031,0.418392,0.908266,0.000000,-0.001845,0.000850,0.999998
2200.000000,2360.352614,1329.768906,129.906250,0.945498,-0.325627,0.000312,0.325627,0.945498,0.000000,-0.000295,0.000102,1.000000
2300.000000,2456.371730,1301.984039,129.851562,0.973282,-0.229607,-0.001406,0.229608,0.973283,0.000000,0.001369,-0.000323,0.999999
2400.000000,2554.685009,1283.923897,129.625000,0.991339,-0.131294,-0.003125,0.131294,0.991343,0.000000,0.003098,-0.000410,0.999995
2500.000000,2654.310136,1275.768931,129.226562,0.999487,-0.031669,-0.004844,0.031669,0.999498,0.000000,0.004841,-0.000153,0.999988
2600.000000,2754.251691,1277.600623,128.656250,0.997645,0.068271,-0.006562,-0.068272,0.997667,0.000000,0.006547,0.000448,0.999978
2700.000000,2853.511090,1289.400671,127.914062,0.985833,0.167526,-0.008281,-0.167532,0.985867,0.000000,0.008164,0.001387,0.999966
2800.000000,2951.096566,1311.051173,127.000000,0.964168,0.265104,-0.010000,-0.265117,0.964216,0.000000,0.009642,0.002651,0.999950
2900.000000,3046.033078,1342.335804,126.000000,0.932885,0.360036,-0.009999,-0.360054,0.932932,0.000000,0.009329,0.003600,0.999950
3000.000000,3137.372052,1382.941979,125.000000,0.892281,0.451370,-0.009999,-0.451393,0.892325,0.000000,0.008923,0.004514,0.999950
3100.000000,3224.200857,1432.463974,124.000000,0.842761,0.538195,-0.009999,-0.538222,0.842803,0.000000,0.008428,0.005382,0.999950
3200.000000,3305.651931,1490.406981,123.000000,0.784821,0.619642,-0.009999,-0.619673,0.784860,0.000000,0.007848,0.006196,0.999950
3300.000000,3380.911439,1556.192053,122.000000,0.719039,0.694897,-0.009999,-0.694932,0.719075,0.000000,0.007190,0.006949,0.999950
3400.000000,3449.227416,1629.161888,121.000000,0.646073,0.763210,-0.009999,-0.763248,0.646105,0.000000,0.006461,0.007632,0.999950
3500.000000,3509.917269,1708.587396,120.000000,0.566652,0.823897,-0.009999,-0.823938,0.566680,0.000000,0.005667,0.008239,0.999950
3600.000000,3562.374606,1793.674981,119.000000,0.481568,0.876352,-0.009999,-0.876395,0.481592,0.000000,0.004816,0.008764,0.999950
3700.000000,3606.075290,1883.574479,118.000000,0.391673,0.920050,-0.009999,-0.920096,0.391693,0.000000,0.003917,0.009201,0.999950
3800.000000,3640.582679,1977.387642,117.000000,0.297865,0.954556,-0.009999,-0.954603,0.297880,0.000000,0.002979,0.009546,0.999950
3900.000000,3665.832941,2074.114746,116.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4000.000000,3688.286110,2171.561425,115.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4100.000000,3710.739278,2269.008104,114.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4200.000000,3733.192447,2366.454782,113.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4300.000000,3755.645616,2463.901461,112.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4400.000000,3778.098784,2561.348140,111.000000,0.224520,0.974418,-0.009999,-0.974467,0.224532,0.000000,0.002245,0.009744,0.999950
4500.000000,3800.551953,2658.794819,110.125000,0.224525,0.974439,-0.007500,-0.974467,0.224532,0.000000,0.001684,0.007308,0.999972
